中国共产党章程|||STATUTS DU PARTI COMMUNISTE CHINOIS
毛泽东思想是马克思列宁主义在中国的运用和发展，是被实践证明了的关于中国革命和建设的正确的理论原则和经验总结，是中国共产党集体智慧的结晶。|||La pensée de Mao Zedong, c’est le marxisme-léninisme appliqué et développé en Chine ; elle constitue un ensemble de principes théoriques et le bilan réalisé au cours de l’expérience que constituent la révolution et l’édification en Chine, dont l’application a prouvé la justesse. Elle est la quintessence de la sagesse collective du Parti communiste chinois.
在毛泽东思想指引下，中国共产党领导全国各族人民，经过长期的反对帝国主义、封建主义、官僚资本主义的革命斗争，取得了新民主主义革命的胜利，建立了人民民主专政的中华人民共和国；|||À la lumière de la pensée de Mao Zedong, notre Parti a dirigé le peuple multiethnique de la Chine dans sa longue lutte révolutionnaire contre l’impérialisme, le féodalisme et le capitalisme bureaucratique, et l’a conduit à la victoire de la révolution de démocratie nouvelle et à la fondation de la République populaire de Chine, qui est un État de dictature démocratique populaire.
新中国成立以后，顺利地进行了社会主义改造，完成了从新民主主义到社会主义的过渡，确立了社会主义基本制度，发展了社会主义的经济、政治和文化。|||Après la fondation de la Chine nouvelle, le Parti a conduit au succès la transformation socialiste ; le pays a pu alors réaliser le passage de la démocratie nouvelle au socialisme, il a institué son régime fondamental et il a développé son économie, sa politique et sa culture, tous basés sur le socialisme.
十一届三中全会以来，以邓小平同志为主要代表的中国共产党人，总结新中国成立以来正反两方面的经验，解放思想，实事求是，实现全党工作中心向经济建设的转移，实行改革开放，开辟了社会主义事业发展的新时期，逐步形成了建设中国特色社会主义的路线、方针、政策，阐明了在中国建设社会主义、巩固和发展社会主义的基本问题，创立了邓小平理论。|||Après le troisième plénum du XIe Comité central du Parti, les communistes chinois avec le camarade Deng Xiaoping en qualité de représentant principal, ont fait un bilan de leur expérience, tant sous ses aspects positifs que sous ses côtés négatifs, depuis la fondation de la Chine nouvelle et, en s’affranchissant des contraintes et en faisant preuve de réalisme, ils ont décidé que le Parti concentrerait désormais ses efforts sur le développement économique et s’engagerait dans la réforme et l’ouverture sur l’extérieur, inaugurant ainsi une ère nouvelle dans le développement de la cause socialiste. En élaborant graduellement la ligne, les principes et les mesures politiques pour la mise en place d’un socialisme à la chinoise, ils ont formulé la théorie de Deng Xiaoping, qui met en lumière les problèmes fondamentaux concernant la construction, la consolidation et le développement du socialisme en Chine.
邓小平理论是马克思列宁主义的基本原理同当代中国实践和时代特征相结合的产物，是毛泽东思想在新的历史条件下的继承和发展，是马克思主义在中国发展的新阶段，是当代中国的马克思主义，是中国共产党集体智慧的结晶，引导着我国社会主义现代化事业不断前进。|||Née de la combinaison des principes fondamentaux du marxisme-léninisme avec l’expérience chinoise à l’époque actuelle et avec ses caractéristiques, la théorie de Deng Xiaoping illustre une parfaite continuation et une extension de la pensée de Mao Zedong dans le nouveau contexte historique. Marquant une étape nouvelle dans le développement du marxisme en Chine, elle représente le marxisme chinois de notre temps, elle est la quintessence de la sagesse collective du Parti communiste chinois et guide notre marche en avant au cours de l’entreprise de modernisation socialiste de notre pays.
十三届四中全会以来，以江泽民同志为主要代表的中国共产党人，在建设中国特色社会主义的实践中，加深了对什么是社会主义、怎样建设社会主义和建设什么样的党、怎样建设党的认识，积累了治党治国新的宝贵经验，形成了“三个代表”重要思想。|||Depuis le quatrième plénum du XIIIe Comité central, les communistes chinois, avec le camarade Jiang Zemin en qualité de représentant, ont parfaitement compris, au cours de l’expérience de construction du socialisme à la chinoise, ce que celui-ci représente vraiment, comment on doit l’édifier, quel type de parti on doit forger et comment on doit agir. Ils ont acquis une nouvelle et précieuse expérience quant à l’administration du Parti et du pays, ce qui a abouti à la formulation de la pensée importante de la « Triple Représentation ».
“三个代表”重要思想是对马克思列宁主义、毛泽东思想、邓小平理论的继承和发展，反映了当代世界和中国的发展变化对党和国家工作的新要求，是加强和改进党的建设、推进我国社会主义自我完善和发展的强大理论武器，是中国共产党集体智慧的结晶，是党必须长期坚持的指导思想。|||Cette pensée représente une continuation et un développement du marxisme-léninisme, de la pensée de Mao Zedong et de la théorie de Deng Xiaoping, elle reflète les nouvelles exigences imposées à l’activité du Parti et de l’État par l’évolution du monde actuel et de la Chine elle-même et par les profonds changements qu’elle a connus. Elle constitue à la fois un puissant instrument théorique pour renforcer et améliorer l’édification du Parti et promouvoir l’autoperfectionnement et le développement du socialisme chinois, elle est une véritable cristallisation du génie collectif du Parti communiste chinois et une idéologie directrice à laquelle le Parti devra se conformer à long terme.
始终做到“三个代表”，是我们党的立党之本、执政之基、力量之源。|||L’observance constante de la « Triple Représentation » constitue le fondement du Parti, les assises de son exercice du pouvoir et la source de sa force.
十六大以来，以胡锦涛同志为主要代表的中国共产党人，坚持以邓小平理论和“三个代表”重要思想为指导，根据新的发展要求，深刻认识和回答了新形势下实现什么样的发展、怎样发展等重大问题，形成了以人为本、全面协调可持续发展的科学发展观。|||Depuis le XVIe Congrès du Parti communiste chinois, à la lumière de la théorie de Deng Xiaoping et de la pensée importante de la « Triple Représentation » et conformément aux nouvelles exigences du développement, les communistes chinois, avec le camarade Hu Jintao comme principal représentant, ont apporté, grâce à l’approfondissement de leurs connaissances, des réponses aux questions d’importance majeure telles que « Pour quel type de développement faut-il opter dans la nouvelle situation ? » et « De quelle manière faut-il se développer ? », formant ainsi le concept de développement scientifique dont l’essence même consiste à réaliser un développement intégral, coordonné et durable plaçant l’homme au centre de toutes les préoccupations.
科学发展观是同马克思列宁主义、毛泽东思想、邓小平理论、“三个代表”重要思想既一脉相承又与时俱进的科学理论，是马克思主义关于发展的世界观和方法论的集中体现，是马克思主义中国化重大成果，是中国共产党集体智慧的结晶，是发展中国特色社会主义必须长期坚持的指导思想。|||C’est là une théorie scientifique qui s’adapte parfaitement à la marche du temps et qui vient en droite ligne du marxisme-léninisme, de la pensée de Mao Zedong, de la théorie de Deng Xiaoping et de la pensée importante de la « Triple Représentation ». En tant qu’expression concentrée de la conception du monde et de la méthodologie marxistes en matière de développement, le concept de développement scientifique représente les importants acquis de la sinisation du marxisme, la cristallisation de la sagesse collective du Parti et une pensée directrice qu’il faudra maintenir sur le long terme dans l’édification du socialisme à la chinoise.
十八大以来，以习近平同志为主要代表的中国共产党人，顺应时代发展，从理论和实践结合上系统回答了新时代坚持和发展什么样的中国特色社会主义、怎样坚持和发展中国特色社会主义这个重大时代课题，创立了习近平新时代中国特色社会主义思想。|||Depuis le XVIIIe Congrès du Parti, les communistes chinois, avec le camarade Xi Jinping comme représentant principal, ont suivi la tendance de développement de notre époque et donné une réponse systématique, en combinant la théorie et la pratique, à une question magistrale qui se pose dans notre temps : quel type de socialisme à la chinoise doit-on maintenir et développer à la nouvelle ère et comment le maintenir et le développer. La pensée de Xi Jinping sur le socialisme à la chinoise de la nouvelle ère a ainsi été créée.
习近平新时代中国特色社会主义思想是对马克思列宁主义、毛泽东思想、邓小平理论、“三个代表”重要思想、科学发展观的继承和发展，是马克思主义中国化最新成果，是党和人民实践经验和集体智慧的结晶，是中国特色社会主义理论体系的重要组成部分，是全党全国人民为实现中华民族伟大复兴而奋斗的行动指南，必须长期坚持并不断发展。|||En tant que continuation et développement du marxisme-léninisme, de la pensée de Mao Zedong, de la théorie de Deng Xiaoping, de la pensée importante de la « Triple Représentation » et du concept de développement scientifique, la pensée de Xi Jinping sur le socialisme à la chinoise de la nouvelle ère représente le dernier acquis de la sinisation du marxisme ainsi que la cristallisation de l’expérience et de la sagesse collective du Parti et du peuple. Elle est un élément essentiel du système théorique du socialisme à la chinoise, et un guide d’action pour tout le Parti et tout le peuple dans leurs efforts de réalisation du grand renouveau de la nation chinoise. Il faut perpétuer cette pensée tout en la développant.
在习近平新时代中国特色社会主义思想指导下，中国共产党领导全国各族人民，统揽伟大斗争、伟大工程、伟大事业、伟大梦想，推动中国特色社会主义进入了新时代。|||À la lumière de la pensée de Xi Jinping sur le socialisme à la chinoise de la nouvelle ère et à la tête de tous les Chinois sans distinction d’ethnies, le PCC, en orchestrant dans leur ensemble la grande lutte, la grande œuvre, la grande cause et le grand rêve, a réussi à conduire le socialisme à la chinoise dans une nouvelle ère.
改革开放以来我们取得一切成绩和进步的根本原因，归结起来就是：开辟了中国特色社会主义道路，形成了中国特色社会主义理论体系，确立了中国特色社会主义制度，发展了中国特色社会主义文化。|||Tous les succès que nous avons remportés, tous les progrès que nous avons enregistrés depuis le lancement de la politique de réforme et d’ouverture sont dus, en somme, au fait que nous avons ouvert la voie originale d’un socialisme à la chinoise, mis en place un système théorique typiquement chinois du socialisme, instauré un régime social aux couleurs chinoises et développé une culture socialiste à la chinoise.
全党同志要倍加珍惜、长期坚持和不断发展党历经艰辛开创的这条道路、这个理论体系、这个制度、这个文化，高举中国特色社会主义伟大旗帜，坚定道路自信、理论自信、制度自信、文化自信，贯彻党的基本理论、基本路线、基本方略，为实现推进现代化建设、完成祖国统一、维护世界和平与促进共同发展这三大历史任务，实现“两个一百年”奋斗目标、实现中华民族伟大复兴的中国梦而奋斗。|||Tous les camarades du Parti doivent faire preuve d’un attachement sans faille à ces acquis que notre Parti a su réaliser au prix d’énormes efforts, pour les perpétuer et les développer sans discontinuer. Ils sont appelés, en brandissant bien haut l’étendard du socialisme à la chinoise, à raffermir la confiance dans la voie, la théorie, le régime et la culture du socialisme à la chinoise, à appliquer la théorie, la ligne et la stratégie fondamentales du Parti, et à travailler dur pour remplir les trois tâches historiques qui consistent à faire progresser la modernisation du pays, à réaliser la réunification de la patrie, à contribuer à la sauvegarde de la paix mondiale et au développement commun, ainsi que pour réaliser les objectifs des « deux centenaires » et le rêve chinois du grand renouveau de la nation.
我国正处于并将长期处于社会主义初级阶段。这是在原本经济文化落后的中国建设社会主义现代化不可逾越的历史阶段，需要上百年的时间。|||Notre pays reste et restera pendant longtemps encore dans la phase primaire du socialisme, étape historique incontournable pour la modernisation socialiste d’un pays autrefois arriéré du point de vue économique et culturel, modernisation qui demandera une centaine d’années pour arriver à son terme.
我国的社会主义建设，必须从我国的国情出发，走中国特色社会主义道路。|||Il faut, pour réaliser la modernisation socialiste, partir de conditions concrètes qui nous sont propres et suivre une voie socialiste particulière à la Chine.
在现阶段，我国社会的主要矛盾是人民日益增长的美好生活需要和不平衡不充分的发展之间的矛盾。|||À l’étape actuelle, la contradiction principale au sein de notre société est celle entre l’aspiration croissante de la population à une vie meilleure et le développement déséquilibré et insuffisant de la Chine.
由于国内的因素和国际的影响，阶级斗争还在一定范围内长期存在，在某种条件下还有可能激化，但已经不是主要矛盾。|||En raison de facteurs internes et d’influences étrangères, la lutte des classes se poursuivra à long terme, quoique dans une sphère limitée, et elle pourrait même s’exacerber dans certaines conditions ; mais elle ne constitue plus un élément fondamental.
我国社会主义建设的根本任务，是进一步解放生产力，发展生产力，逐步实现社会主义现代化，并且为此而改革生产关系和上层建筑中不适应生产力发展的方面和环节。|||En Chine, l’édification du socialisme a pour tâche principale de libérer et de développer les forces productives, de réaliser progressivement la modernisation socialiste et de réformer à cet effet ce qui, dans les rapports de production et la superstructure, ne correspond pas au développement des forces productives.
必须坚持和完善公有制为主体、多种所有制经济共同发展的基本经济制度，坚持和完善按劳分配为主体、多种分配方式并存的分配制度，鼓励一部分地区和一部分人先富起来，逐步消灭贫穷，达到共同富裕，在生产发展和社会财富增长的基础上不断满足人民日益增长的美好生活需要，促进人的全面发展。|||Nous maintiendrons et perfectionnerons le régime économique de base composé de divers systèmes de propriété, avec une prédominance accordée au secteur public, et nous continuerons à appliquer et parfaire le système basé principalement sur la rémunération selon le travail fourni, mais autorisant la coexistence de plusieurs modes de distribution. Nous encouragerons une partie des régions tout comme des individus à s’enrichir les premiers, en vue de faire disparaître progressivement la pauvreté et d’arriver finalement à un enrichissement commun ; ainsi, grâce au développement de la production et à l’accroissement des richesses de la société, nous satisferons l’aspiration croissante de la population à une vie meilleure et nous favoriserons l’épanouissement général de l’homme.
发展是我们党执政兴国的第一要务。|||Pour notre Parti, le développement constitue une tâche primordiale dans l’exercice du pouvoir en vue d’assurer le renouveau de la nation.
必须坚持以人民为中心的发展思想，坚持创新、协调、绿色、开放、共享的发展理念。各项工作都要把有利于发展社会主义社会的生产力，有利于增强社会主义国家的综合国力，有利于提高人民的生活水平，作为总的出发点和检验标准，尊重劳动、尊重知识、尊重人才、尊重创造，做到发展为了人民、发展依靠人民、发展成果由人民共享。|||Nous devons rester fidèles au concept de développement centré sur le peuple, poursuivre un développement innovant, coordonné, écologique, ouvert et partagé, et dans toutes nos activités, considérer comme point de départ et critère absolu la question de savoir si elles sont favorables au développement des forces productives de la société socialiste, au renforcement de la puissance globale de l’État socialiste et à l’amélioration des conditions de vie de la population. Nous devons également rendre hommage au travail, au savoir, au talent et à la créativité, de manière à réaliser un développement pour le peuple, par le peuple et dans l’intérêt général du peuple.
跨入新世纪，我国进入全面建设小康社会、加快推进社会主义现代化的新的发展阶段。|||À partir du nouveau siècle, notre pays s’est engagé dans une nouvelle étape dans le processus de construction in extenso d’une société de moyenne aisance et d’accélération de la modernisation socialiste.
必须按照中国特色社会主义事业“五位一体”总体布局和“四个全面”战略布局，统筹推进经济建设、政治建设、文化建设、社会建设、生态文明建设，协调推进全面建成小康社会、全面深化改革、全面依法治国、全面从严治党。|||Il nous incombe donc, conformément aux dispositions d’ensemble dites « Plan global en cinq axes » et aux dispositions stratégiques des « Quatre Intégralités » pour la construction du socialisme à la chinoise, d’assurer un développement coordonné qui couvre les domaines économique, politique, culturel, social et écologique, et de promouvoir de façon coordonnée l’édification intégrale de la société de moyenne aisance, l’approfondissement intégral de la réforme, la promotion intégrale de la gouvernance de l’État en vertu de la loi et l’application intégrale d’une discipline rigoureuse dans les rangs du Parti.
在新世纪新时代，经济和社会发展的战略目标是，到建党一百年时，全面建成小康社会；到新中国成立一百年时，全面建成社会主义现代化强国。|||Les objectifs stratégiques du développement économique et social que nous cherchons à atteindre dans la nouvelle ère du siècle actuel se définissent comme suit : achever l’édification intégrale d’une société de moyenne aisance à l’occasion du centenaire du PCC et l’édification intégrale d’un grand pays socialiste moderne au moment du centenaire de la fondation de la Chine nouvelle.
中国共产党在社会主义初级阶段的基本路线是：领导和团结全国各族人民，以经济建设为中心，坚持四项基本原则，坚持改革开放，自力更生，艰苦创业，为把我国建设成为富强民主文明和谐美丽的社会主义现代化强国而奋斗。|||Dans la phase primaire du socialisme, le Parti communiste chinois définit comme suit sa ligne fondamentale : diriger et unir autour de lui le peuple multiethnique de la Chine, centrer ses efforts sur le développement économique, maintenir les quatre principes fondamentaux, la réforme et l’ouverture, ne compter que sur ses propres forces, travailler dur dans un esprit novateur, et lutter pour faire de la Chine un grand pays socialiste beau, moderne, prospère, puissant, démocratique, harmonieux et hautement civilisé.
中国共产党在领导社会主义事业中，必须坚持以经济建设为中心，其他各项工作都服从和服务于这个中心。|||Maître d’œuvre de l’édification socialiste, le Parti communiste chinois doit concentrer ses efforts sur le développement économique, les autres préoccupations ayant un rôle subalterne ou auxiliaire.
要实施科教兴国战略、人才强国战略、创新驱动发展战略、乡村振兴战略、区域协调发展战略、可持续发展战略、军民融合发展战略，充分发挥科学技术作为第一生产力的作用，充分发挥创新作为引领发展第一动力的作用，依靠科技进步，提高劳动者素质，促进国民经济更高质量、更有效率、更加公平、更可持续发展。|||Il faut donc appliquer la stratégie de redressement de la nation par les sciences et l’éducation, la stratégie du renouveau national grâce à l’émergence de talents, les stratégies de développement par l’innovation, de redressement des campagnes, de développement interrégional coordonné et de développement durable, ainsi que la stratégie d’intégration militaro-civile. Il faut faire jouer pleinement leur rôle aux sciences et aux technologies en tant que forces productives de premier ordre, mettre pleinement en valeur le rôle d’entraînement de l’innovation en tant que premier moteur de développement, s’appuyer sur les progrès scientifiques et techniques et améliorer la qualification des travailleurs, de manière à favoriser un développement de meilleure qualité, plus efficace, plus équitable et plus durable.
坚持社会主义道路、坚持人民民主专政、坚持中国共产党的领导、坚持马克思列宁主义毛泽东思想这四项基本原则，是我们的立国之本。|||Le maintien des quatre principes fondamentaux — voie socialiste, dictature de démocratie populaire, direction du Parti communiste, marxisme-léninisme et pensée de Mao Zedong — est le garant de la pérennité de notre État.
在社会主义现代化建设的整个过程中，必须坚持四项基本原则，反对资产阶级自由化。|||Durant tout le processus de modernisation socialiste, il faut maintenir ces principes fondamentaux et lutter contre la libéralisation bourgeoise.
坚持改革开放，是我们的强国之路。|||La poursuite de la politique de réforme et d’ouverture est la seule voie conduisant à la prospérité de notre pays.
只有改革开放，才能发展中国、发展社会主义、发展马克思主义。|||C’est seulement en appliquant cette politique que nous arriverons à développer le pays, le socialisme et le marxisme.
要全面深化改革，完善和发展中国特色社会主义制度，推进国家治理体系和治理能力现代化。|||Nous devons approfondir intégralement la réforme, perfectionner et développer le régime socialiste à la chinoise et promouvoir la modernisation du système et de la capacité de gouvernance de l’État.
要从根本上改革束缚生产力发展的经济体制，坚持和完善社会主义市场经济体制；与此相适应，要进行政治体制改革和其他领域的改革。|||Il faut changer fondamentalement le régime économique qui entrave le développement des forces productives, maintenir et perfectionner le système d’économie de marché socialiste. Parallèlement, il faut entreprendre la réforme des institutions politiques et engager la réforme dans d’autres domaines.
要坚持对外开放的基本国策，吸收和借鉴人类社会创造的一切文明成果。|||Il faut rester fidèle à la politique fondamentale de l’État qu’est l’ouverture sur l’extérieur et s’appliquer à assimiler tous les acquis de la civilisation.
改革开放应当大胆探索，勇于开拓，提高改革决策的科学性，更加注重改革的系统性、整体性、协同性，在实践中开创新路。|||Dans l’application de la réforme et de l’ouverture, le Parti doit tenter des essais audacieux et avoir le courage de se lancer dans de nouvelles expériences. Il doit aussi renforcer, dans la réforme, le caractère scientifique des prises de décisions, accentuer le caractère systématique, global et coordonné de la réforme, et ouvrir des voies nouvelles dans la pratique.
中国共产党领导人民发展社会主义市场经济。|||Le Parti communiste chinois conduit notre peuple à développer l’économie de marché socialiste.
毫不动摇地巩固和发展公有制经济，毫不动摇地鼓励、支持、引导非公有制经济发展。|||Il est fermement déterminé à consolider et développer l’économie publique, et à encourager, soutenir et conduire l’extension des économies non publiques.
发挥市场在资源配置中的决定性作用，更好发挥政府作用，建立完善的宏观调控体系。|||Il lui importe de permettre au marché de jouer un rôle décisif dans la distribution des ressources et au gouvernement de mieux jouer son rôle, et de construire un système de contrôle macroéconomique perfectionné.
统筹城乡发展、区域发展、经济社会发展、人与自然和谐发展、国内发展和对外开放，调整经济结构，转变经济发展方式，推进供给侧结构性改革。|||Il lui faut procéder à une planification générale destinée à coordonner le développement des villes et des campagnes comme celui des diverses régions, planification destinée aussi à étendre le progrès économique et social, à harmoniser les rapports entre l’homme et la nature et à concilier le développement intérieur avec l’ouverture sur l’extérieur. Il veille à la restructuration économique, au changement de mode de développement économique et à la promotion de la réforme structurelle du côté de l’offre.
促进新型工业化、信息化、城镇化、农业现代化同步发展，建设社会主义新农村，走中国特色新型工业化道路，建设创新型国家和世界科技强国。|||Il s’attache à synchroniser le développement d’une industrialisation de type nouveau, de l’informatisation, de l’urbanisation et de la modernisation agricole, et à construire de nouvelles campagnes socialistes. Il poursuit une voie d’industrialisation de type nouveau à la chinoise pour faire de la Chine un pays novateur et un État puissant en sciences et technologies dans le monde.
中国共产党领导人民发展社会主义民主政治。|||Le Parti communiste chinois dirige le peuple dans le développement de la démocratie politique socialiste.
坚持党的领导、人民当家作主、依法治国有机统一，走中国特色社会主义政治发展道路，扩大社会主义民主，建设中国特色社会主义法治体系，建设社会主义法治国家，巩固人民民主专政，建设社会主义政治文明。|||Il veille à intégrer de façon organique la direction du Parti, la gouvernance de l’État en fonction de la loi et le maintien du statut des citoyens en tant que maîtres du pays. Il est déterminé à poursuivre dans la voie du développement politique socialiste à la chinoise, à accroître la démocratie socialiste, à établir un ordre légal socialiste à la chinoise, à édifier un État de droit socialiste, à consolider la dictature de démocratie populaire et à construire une civilisation politique socialiste.
坚持和完善人民代表大会制度、中国共产党领导的多党合作和政治协商制度、民族区域自治制度以及基层群众自治制度。|||Il maintient et améliore le système d’assemblée populaire, celui de coopération multipartite et de consultation politique placé sous sa direction, ainsi que le régime d’autonomie régionale de minorités ethniques et celui d’autonomie à la base.
发展更加广泛、更加充分、更加健全的人民民主，推进协商民主广泛、多层、制度化发展，切实保障人民管理国家事务和社会事务、管理经济和文化事业的权利。|||Il s’efforce de mettre en place une démocratie populaire qui soit plus large, plus complète et plus développée, et de promouvoir un large développement institutionnel, à plusieurs niveaux, de la démocratie consultative afin d’assurer au peuple le droit d’administrer les affaires de l’État et de la société, ainsi que de gérer les affaires économiques et culturelles.
尊重和保障人权。|||Il respecte et protège les droits de l’homme.
广开言路，建立健全民主选举、民主决策、民主管理、民主监督的制度和程序。|||Il encourage la libre expression des opinions et travaille à la mise en place et au perfectionnement d’un système et d’une procédure démocratiques en matière d’élection, de prise de décision, d’administration et de contrôle.
完善中国特色社会主义法律体系，加强法律实施工作，实现国家各项工作法治化。|||Il améliore le système légal socialiste à la chinoise et renforce l’exécution des lois, de manière à réaliser la gouvernance des affaires de l’État dans le respect de la loi.
中国共产党领导人民发展社会主义先进文化。|||Le Parti communiste chinois dirige le peuple dans le développement d’une culture socialiste avancée.
建设社会主义精神文明，实行依法治国和以德治国相结合，提高全民族的思想道德素质和科学文化素质，为改革开放和社会主义现代化建设提供强大的思想保证、精神动力和智力支持，建设社会主义文化强国。|||Il veille à bâtir une civilisation spirituelle socialiste, à gouverner le pays en respect de la loi et des valeurs morales et à améliorer la formation de toute la nation aussi bien sur le plan des idées et de la morale que dans les domaines des sciences et de la culture, afin de fournir une ferme garantie idéologique, une puissante force morale et un solide appui intellectuel à l’entreprise de réforme et d’ouverture comme à la modernisation socialiste, et de développer un puissant pays culturel socialiste.
加强社会主义核心价值体系建设，坚持马克思主义指导思想，树立中国特色社会主义共同理想，弘扬以爱国主义为核心的民族精神和以改革创新为核心的时代精神，培育和践行社会主义核心价值观，倡导社会主义荣辱观，增强民族自尊、自信和自强精神，抵御资本主义和封建主义腐朽思想的侵蚀，扫除各种社会丑恶现象，努力使我国人民成为有理想、有道德、有文化、有纪律的人民。|||Il veille à renforcer l’édification des valeurs essentielles du socialisme, à se guider sur la pensée directrice marxiste, à forger un idéal commun pour le socialisme à la chinoise, à faire rayonner l’esprit national centré sur le patriotisme, à valoriser l’esprit de l’époque axé sur la réforme et l’innovation, à cultiver et mettre en pratique les valeurs essentielles socialistes et à mettre à l’honneur la conception socialiste de l’honneur et du déshonneur. Il doit inculquer à toute la nation le sens de la dignité, la confiance en soi et l’esprit d’autoperfectionnement, de façon à la prémunir contre l’action corrosive des idées féodales et capitalistes corrompues et de manière à faire disparaître les abus sociaux. Grâce à ces efforts, notre peuple conservera un idéal élevé et une haute moralité, il sera cultivé et discipliné.
对党员要进行共产主义远大理想教育。|||Le Parti veille à doter ses membres du noble idéal communiste.
大力发展教育、科学、文化事业，推动中华优秀传统文化创造性转化、创新性发展，继承革命文化，发展社会主义先进文化，提高国家文化软实力。|||Il s’attache à développer l’enseignement, la science et la culture, à promouvoir une transformation novatrice et un développement innovant des bonnes traditions culturelles chinoises, à poursuivre les traditions de la culture révolutionnaire, à développer la culture socialiste à caractère avancé, et à accroître le « soft power » culturel du pays.
牢牢掌握意识形态工作领导权，不断巩固马克思主义在意识形态领域的指导地位，巩固全党全国人民团结奋斗的共同思想基础。|||Il faut maintenir fermement le rôle directeur du Parti dans le travail idéologique, renforcer sans cesse la position du marxisme comme idéologie directrice et consolider l’assise idéologique de la lutte solidaire de tout le Parti et tout le peuple.
中国共产党领导人民构建社会主义和谐社会。|||Le Parti communiste chinois dirige le peuple dans la construction d’une société harmonieuse socialiste.
按照民主法治、公平正义、诚信友爱、充满活力、安定有序、人与自然和谐相处的总要求和共同建设、共同享有的原则，以保障和改善民生为重点，解决好人民最关心、最直接、最现实的利益问题，使发展成果更多更公平惠及全体人民，不断增强人民群众获得感，努力形成全体人民各尽其能、各得其所而又和谐相处的局面。|||En réponse à l’exigence générale de mise en place d’une société harmonieuse où régneront la démocratie, la légalité, l’équité, la justice, l’honnêteté, la solidarité, le dynamisme, l’ordre et la symbiose entre l’homme et la nature, et en fonction du principe de partage des fruits récoltés grâce aux efforts de tous, il doit s’attacher à résoudre les problèmes qui préoccupent particulièrement la population et qui touchent à ses intérêts vitaux de la manière la plus directe tout en mettant l’accent sur la protection et l’amélioration de son bien-être. Il veille à ce que toute la population bénéficie davantage et de façon plus équitable des fruits du développement et éprouve davantage de sentiment de satisfaction. Il s’efforce d’aménager un contexte où chacun donnera sa véritable mesure, aura sa place dans la société et vivra dans l’harmonie.
加强和创新社会治理。|||Il travaille à renforcer et à innover la gouvernance sociale.
严格区分和正确处理敌我矛盾和人民内部矛盾这两类不同性质的矛盾。|||Il distingue avec clairvoyance les antagonismes pouvant se faire jour au sein de la population, de ceux qui existent entre nous et nos véritables ennemis, et il préconise une solution correcte selon leur nature.
加强社会治安综合治理，依法坚决打击各种危害国家安全和利益、危害社会稳定和经济发展的犯罪活动和犯罪分子，保持社会长期稳定。|||En vue d’assurer une stabilité sociale à long terme, il travaille au renforcement global de la sécurité publique, et combat résolument, avec les armes de la loi, les activités et les éléments criminels susceptibles de porter atteinte à la sécurité et aux intérêts de l’État, à la stabilité de la société et au développement économique.
