坚持多边主义，谋求共同安全|||PRÉSERVER LE MULTILATÉRALISME ET RECHERCHER LA SÉCURITÉ COLLECTIVE
中国自拥有核武器第一天起，就明确主张在世界范围内最终全面禁止和彻底销毁核武器，明确承诺在任何时候和任何情况下都不首先使用核武器。|||Dès le premier jour où nous nous sommes dotés d’armes nucléaires, nous avons plaidé clairement pour l’interdiction complète et la destruction totale des armes nucléaires dans le monde, et nous nous sommes engagés ouvertement à ne jamais utiliser en premier les armes nucléaires, à aucun moment et en aucune circonstance.
中国长期奉行无条件不对无核武器国家和无核武器区使用或威胁使用核武器的政策。|||La Chine applique depuis toujours une politique de ne pas employer ni menacer d’employer, en aucun cas, les armes nucléaires contre les pays et zones exempts d’armes nucléaires.
中国从不回避本国承担的国际裁军和军控义务，始终把自身的核力量维持在国家安全需要的最低水平，从来不与任何国家比规模、比数量。|||Elle ne se soustrait jamais à ses obligations internationales sur le désarmement et le contrôle des armements, maintient toujours ses forces nucléaires au strict besoin de la sécurité nationale et ne rivalise jamais d’ampleur ou de quantité avec d’autres pays.
主席先生，|||Monsieur le Président,
不断推进国际军控、裁军与防扩散进程，是维护世界和平与安全的重要手段，也是坚持和促进多边主义的具体体现。|||Faire avancer sans cesse le processus international de contrôle des armements, de désarmement et de non-prolifération constitue non seulement un moyen important pour préserver la paix et la sécurité dans le monde, mais aussi un travail concret pour poursuivre et promouvoir le multilatéralisme.
对于如何推进这一进程，中方提出以下几点看法：|||Dans ce sens, je voudrais partager avec vous quelques-unes de mes réflexions.
第一，共同维护全球战略稳定。|||Premièrement, nous devons préserver ensemble la stabilité stratégique mondiale.
核裁军应当始终遵循公平合理、逐步削减、向下平衡原则，两个最大的核武器国家应以可核查、不可逆和有法律约束力的方式，进一步大幅削减各自核武库，从而为多边核裁军进程创造条件。|||Il faut toujours observer les principes d’une réduction juste, raisonnable, progressive et d’équilibre vers le bas dans les actions de désarmement nucléaire. Les deux plus grands États dotés d’armes nucléaires doivent poursuivre de façon vérifiable, irréversible et juridiquement contraignante la réduction massive de leurs arsenaux nucléaires de sorte à créer des conditions favorables au désarmement nucléaire multilatéral.
安理会五常应当共同确认“核战争打不赢也打不得”这一重要原则，在减少战略风险等方面加强合作，并就更广泛战略安全议题深化战略对话、增进战略互信。|||Les cinq membres permanents du Conseil de Sécurité doivent réaffirmer ensemble le principe important selon lequel une guerre nucléaire ne peut pas être gagnée et ne doit jamais être menée, intensifier leur coopération en matière de réduction de risques stratégiques, approfondir leur dialogue stratégique et renforcer leur confiance mutuelle stratégique sur plus de dossiers liés à la sécurité stratégique.
中国提出五核国缔结“互不首先使用核武器条约”的倡议和条约草案已经有20多年，我们将继续坚持并推动这一倡议。|||Il y a plus de 20 ans, la Chine a proposé aux cinq pays dotés d’armes nucléaires de conclure un traité sur le non-recours en premier aux armes nucléaires les uns contre les autres et soumis un texte de projet. Nous poursuivrons avec résolution ces efforts.
裁谈会应当立即启动“对无核武器国家安全保证”国际法律文书谈判，并尽早取得实质性进展。|||La Conférence du Désarmement doit lancer immédiatement les négociations sur un instrument juridique international en matière de garanties de sécurité des États non dotés d’armes nucléaires et œuvrer à réaliser des progrès substantiels dans les plus brefs délais.
中方反对个别国家发展和部署影响战略稳定的地区和全球反导系统，反对在别国周边地区部署陆基中程导弹。|||La Chine s’oppose au développement et au déploiement par certain pays des systèmes de défense antimissile régionaux et globaux qui nuisent à la stabilité stratégique, et s’oppose au déploiement des missiles de portée intermédiaire basés à terre dans les régions périphériques des autres pays.
第二，遵守国际军控条约。|||Deuxièmement, nous devons respecter les traités internationaux en matière de contrôle des armements.
《不扩散核武器条约》机制具有不可替代的特殊重要意义，缔约国应平衡推进条约核裁军、核不扩散、和平利用核能三大目标，并使其在新的历史时期焕发出新的活力，为维护世界和平与安全、服务全球可持续发展发挥更大的作用。|||Le régime du Traité sur la non-prolifération des armes nucléaires revêt une importance particulière et joue un rôle irremplaçable. Les États parties doivent travailler à faire avancer de manière équilibrée les actions autour des trois piliers du Traité : désarmement nucléaire, non-prolifération nucléaire et utilisation de l’énergie nucléaire à des fins pacifiques, et à le dynamiser dans la nouvelle époque historique de sorte qu’il apporte une contribution encore plus grande à la préservation de la paix et de la sécurité et au développement durable dans le monde.
各方应支持《全面禁核试条约》核查机制建设和运行，并且为推动条约早日生效继续努力。|||Les différentes parties doivent soutenir la construction et le fonctionnement du régime de vérification du Traité d’interdiction complète des essais nucléaires (TICE), et poursuivre leurs efforts visant à promouvoir l’entrée en vigueur du TICE le plus tôt possible.
所有核武器国家都应当恪守暂停核试的承诺。|||Tous les États dotés d’armes nucléaires doivent honorer leurs engagements d’observer le moratoire des essais nucléaires.
裁谈会应当继续致力于为“禁止生产核武器用裂变材料条约”的谈判做好准备，围绕确保条约实现核裁军、防扩散双重目标开展实质性工作。|||La Conférence du Désarmement doit continuer de préparer la négociation d’un traité d’interdiction de la production de matières fissiles pour les armes nucléaires et mener des travaux substantiels pour réaliser le double objectif du désarmement nucléaire et de la non-prolifération.
中国呼吁有关国家切实履行《禁止化学武器公约》义务，尽快完成库存化武、遗弃化武的销毁。|||La Chine appelle les pays concernés à s’acquitter effectivement des obligations stipulées dans la Convention sur l’interdiction des armes chimiques et à détruire dans les meilleurs délais leurs stocks d’armes chimiques et les armes chimiques abandonnées.
中国愿以加入《武器贸易条约》为契机，更加深入地参与防止常规武器非法转让国际努力，支持非洲国家提出的“消弭枪声”倡议。|||La Chine entend saisir l’opportunité offerte par son adhésion au Traité sur le commerce des armes pour participer de manière approfondie aux efforts internationaux visant à prévenir le transfert illicite d’armes conventionnelles. Elle soutient l’initiative « Faire taire les armes en Afrique » avancée par les pays africains.
第三，谈判解决防扩散问题。|||Troisièmement, nous devons gérer les dossiers de la non-prolifération par voie de négociation.
伊朗核问题全面协议是经安理会决议核可的重要多边外交成果，是国际核不扩散体系和中东地区和平稳定的关键支柱。|||Le Plan d’action global commun sur le nucléaire iranien (JCPOA) est un acquis majeur de la diplomatie multilatérale endossé par la résolution du Conseil de Sécurité des Nations Unies, et un pilier essentiel du régime international de la non-prolifération nucléaire et de la paix et de la stabilité au Moyen-Orient.
美方的单边霸凌行径是伊朗核问题的根源，率先解除对伊朗的制裁是重返全面协议的正确逻辑。|||Les agissements unilatéraux d’intimidation des États-Unis sont la racine de la crise nucléaire iranienne. Il faut lever les sanctions contre l’Iran avant de retourner au JCPOA, voilà la bonne logique.
鉴于美伊恢复履约的谈判已经进入冲刺阶段，当事方应尽快作出政治决断，加大外交努力，推动全面协议重返正轨。|||Les négociations sur le retour des États-Unis et de l’Iran au JCPOA sont dans la dernière ligne droite. Il incombe à toutes les parties concernées de prendre rapidement des décisions politiques et de multiplier les efforts diplomatiques en vue de ramener le JCPOA à la bonne voie.
中方倡议建立海湾地区安全多边对话平台，逐步打造共同、综合、合作、可持续的中东安全架构。|||La Chine a proposé de créer une plateforme de dialogue multilatéral pour la région du Golfe de sorte à bâtir progressivement une architecture de sécurité commune, globale, coopérative et durable au Moyen-Orient.
中方支持建立中东无大规模杀伤性武器区，并愿为此作出积极努力。|||Nous soutenons la création au Moyen-Orient d’une zone exempte d’armes nucléaires et d’autres armes de destruction massive et entendons travailler activement dans ce sens.
无论地区和国际形势如何变化，中方都始终坚持维护朝鲜半岛和平稳定，坚持通过对话和协商解决问题，主张按照“双轨并进”思路和分阶段、同步走原则，推动实现半岛完全无核化和建立半岛永久和平机制两大目标。|||Quelle que soit l’évolution des situations régionale et internationale, la Chine se prononce toujours pour le maintien de la paix et de la stabilité dans la péninsule coréenne et le règlement des questions par dialogue et consultations. Nous préconisons l’« approche à double voie » et le principe de procéder par étapes et de manière synchronisée pour promouvoir la réalisation des deux objectifs majeurs, à savoir la dénucléarisation complète de la péninsule et la mise en place d’un mécanisme de paix durable.
中方愿继续与各方一道，为推动半岛问题政治解决进程，实现半岛长治久安作出不懈努力。|||Et nous continuerons de faire des efforts inlassables avec les autres parties pour promouvoir le processus de règlement politique et réaliser la paix et la stabilité durables dans la péninsule.
第四，完善全球新兴领域安全治理。|||Quatrièmement, nous devons perfectionner la gouvernance mondiale pour la sécurité dans de nouveaux domaines.
防止外空武器化及外空军备竞赛的紧迫性日益上升。|||L’urgence de prévenir l’arsenalisation de l’espace et la course aux armements dans l’espace s’affirme chaque jour davantage.
中方呼吁裁谈会尽早启动旨在防止外空军备竞赛的条约谈判，欢迎各方就中国与俄罗斯共同提出的条约草案提出建设性意见。|||La Chine appelle la Conférence du Désarmement à lancer rapidement les négociations sur un traité de la prévention de la course aux armements dans l’espace et est ouverte à toute proposition constructive sur le projet du traité relatif à la prévention du déploiement d’armes dans l’espace et de la menace ou de l’emploi de la force contre des objets spatiaux (PPWT) qu’elle a avancé conjointement avec la Russie.
一个开放、合作、和平、安全的网络空间，对各国和世界都具有重要意义。|||Un cyberespace d’ouverture, de coopération, de paix et de sécurité revêt une signification importante pour tous les pays et le monde entier.
中方提出的《全球数据安全倡议》，旨在聚焦各方的共同关切，为维护全球数据和网络安全提出建设性解决方案。|||L’Initiative mondiale sur la sécurité des données lancée par la Chine prend en considération les préoccupations communes des différentes parties et offre une solution constructive pour préserver la sécurité des données et la cybersécurité dans le monde.
不久前，中方同阿拉伯国家联盟发表《中阿数据安全合作倡议》，体现了双方维护网络和数据安全的共同呼声。|||La Chine a récemment publié avec la Ligue des États arabes l’Initiative de coopération sur la sécurité des données, laquelle a traduit l’appel commun des deux parties à la préservation de la cybersécurité et de la sécurité des données.
中方愿以倡议为基础同各方携手打造全球数字治理规则。|||La Chine entend s’appuyer sur cette initiative pour élaborer ensemble avec toutes les parties des règles internationales en matière de gouvernance numérique.
人工智能在军事领域的广泛应用，引发了安全、法律、人道、伦理等诸多关切。|||L’utilisation généralisée de l’intelligence artificielle dans le domaine militaire a suscité des préoccupations sécuritaires, juridiques, humanitaires et éthiques.
中方愿与各方共同探讨“致命性自主武器系统”问题的全球性解决之道。|||La Chine entend explorer avec toutes les parties une solution planétaire aux problèmes liés aux systèmes d’armes létales autonomes (LAWS).
新兴技术是“双刃剑”。|||Les technologies émergentes sont une épée à double tranchant.
我们既要最大限度地防止其武器化，又要避免对和平利用及国际合作造成妨碍，尤其要反对个别国家借国家安全之名行科技封锁之实。|||Nous devons d’un côté, travailler à prévenir dans la plus grande mesure leur militarisation, et de l’autre éviter d’entraver leur usage pacifique et la coopération internationale en la matière. En particulier, nous devons nous opposer à ce que certain pays pratique le blocus technico-scientifique sous prétexte de la sécurité nationale.
联合国应在此方面发挥核心作用。|||L’ONU a un rôle central à jouer à cet égard.
中方正酝酿就此向今年联大提交决议草案，推动联合国开启包容、透明、公正的国际进程，以更加平衡的方式处理防扩散与和平利用之间的关系。|||La Chine envisage de soumettre à l’Assemblée générale de cette année un projet de résolution sur ce sujet pour pousser l’ONU à ouvrir un processus international inclusif, transparent et impartial, et à gérer de manière plus équilibrée le rapport entre la non-prolifération et l’usage pacifique.
新冠肺炎疫情凸显全球生物安全治理面临的新挑战，各国应通过更为紧密的国际合作共筑安全屏障。|||La COVID-19 a mis en évidence les nouveaux défis auxquels est confrontée la gouvernance mondiale pour la sécurité biologique. Tous les pays sont invités à bâtir ensemble un rempart sûr par une coopération internationale plus étroite.
中方支持《禁止生物武器公约》建立核查机制，敦促美国放弃独家阻挡公约核查议定书谈判的立场。|||La Chine soutient la création d’un régime de vérification dans le cadre de la Convention sur l’interdiction des armes biologiques et exhorte les États-Unis à rejeter sa position unilatérale consistant à entraver la négociation sur un protocole de vérification juridiquement contraignant.
中方一贯倡导负责任的生物科研，中外科学家近期达成了“科学家生物安全行为准则天津指南”，我们鼓励所有利益攸关方自愿采用，并共同推进相关国际讨论进程。|||La Chine préconise depuis toujours une recherche biologique responsable. Récemment, des scientifiques chinois et étrangers ont publié le Guide de la biosécurité de Tianjin sur les codes de conduite des scientifiques. Nous encourageons toutes les parties prenantes à l’utiliser de leur propre volonté et à promouvoir ensemble des discussions multilatérales y relatives.
中方支持哈萨克斯坦总统托卡耶夫提出的建立国际生物安全机构的倡议，支持俄罗斯提出的《打击生化恐怖主义国际公约》倡议。|||La Chine soutient l’initiative avancée par le Président kazakh Kassym-Jomart Tokaïev de créer une agence internationale pour la sécurité biologique, et celle avancée par la Russie sur une convention internationale pour la suppression des actes de terrorisme chimique et biologique.
主席先生，|||Monsieur le Président,
联合国肩负着维护国际和平与安全的重要使命。|||L’ONU assume des responsabilités importantes pour le maintien de la paix et de la sécurité dans le monde.
中方高度赞赏联合国秘书长古特雷斯提出的“裁军议程”，并将继续为推动这一议程的落实作出努力。|||La Chine apprécie hautement l’Agenda du désarmement lancé par le Secrétaire général de l’ONU Antonio Guterres et continuera d’œuvrer à sa réalisation.
裁谈会作为唯一全球性多边裁军谈判机构，应与时俱进、守正创新。|||La Conférence du Désarmement, instance multilatérale unique de la communauté internationale pour les négociations dans le domaine du désarmement, est appelée à évoluer avec le temps et à innover.
成员国之间应加强协调，充分照顾彼此正当关切，尽快制定全面平衡的工作计划，早日开展实质性工作。|||Les pays membres ont à renforcer leur concertation, à prendre pleinement en compte les préoccupations légitimes de part et d’autre, à élaborer rapidement un programme de travail complet et équilibré, et à mener dans les plus brefs délais des travaux substantiels.
作为裁谈会大家庭负责任一员，中国愿与各方一道，坚定不移地推进军控、裁军与防扩散进程，为构建一个持久和平、普遍安全的世界作出中国新的贡献。|||En tant que membre responsable de la Conférence, la Chine entend travailler avec toutes les parties à promouvoir avec détermination le processus de contrôle des armements, de désarmement et de non-prolifération de sorte à apporter une nouvelle contribution à l’avènement d’un monde de paix durable et de sécurité partagée.
谢谢主席先生。|||Je vous remercie, Monsieur le Président.
