团结抗疫　共克时艰|||VAINCRE LA COVID-19 PAR LA SOLIDARITÉ ET LA COOPÉRATION
中国人民经过艰苦卓绝努力，付出巨大代价，控制住国内疫情，但仍面临反弹压力。|||Grâce à des efforts ardus et au prix de grands sacrifices, la Chine est parvenue à endiguer la propagation du virus sur son territoire, mais elle est encore confrontée au risque de résurgence.
非洲各国政府和人民众志成城，非洲联盟全力协调，采取有力举措，有效缓解了疫情，成果来之不易。|||En Afrique, grâce aux efforts unis des gouvernements et des peuples africains et à la coordination active de l’Union Africaine, des mesures fortes et difficiles ont été prises, permettant d’atténuer la situation et d’obtenir des résultats encourageants.
——面对疫情，中国和非洲相互声援、并肩战斗。|||— Face à ce défi sanitaire, la Chine et l’Afrique se sont soutenues mutuellement et ont mené un combat solidaire.
在中国抗疫最艰难的时刻，非洲送来宝贵支持，我们铭记于心。|||Lorsque la Chine traversait les moments les plus difficiles de sa lutte, l’Afrique nous a apporté un soutien précieux. Nous ne l’oublierons jamais.
非洲疫情暴发后，中国率先驰援，同非洲人民坚定站在一起。|||Quand l’Afrique a été touchée par le virus, la Chine a été parmi les premiers à lui porter assistance et s’est battue fermement aux côtés des Africains.
——面对疫情，中非双方更加团结，友好互信更加巩固。|||— Face à ce défi sanitaire, la Chine et l’Afrique ont consolidé leur solidarité, amitié et confiance.
我愿重申，中方珍视中非传统友谊，无论国际风云如何变幻，中方加强中非团结合作的决心绝不会动摇。|||Je voudrais réaffirmer que la Chine attache un grand prix à l’amitié traditionnelle avec l’Afrique et que quels que soient les aléas internationaux, elle reste fermement résolue à renforcer la solidarité et la coopération avec l’Afrique.
各位同事！|||Chers Collègues,
当前，疫情仍在全球蔓延，中国和非洲都面临抗疫情、稳经济、保民生的艰巨任务。|||La COVID-19 continue de se propager dans le monde. La Chine et l’Afrique font toutes les deux face à la mission difficile de vaincre le virus, de stabiliser l’économie et de garantir le bien-être de la population.
我们要坚持人民至上、生命至上，统筹资源，团结合作，尽最大努力保护人民生命安全和身体健康，最大限度降低疫情负面影响。|||Nous devons accorder la priorité absolue à nos peuples et à leur vie, mobiliser toutes les ressources, travailler en solidaires et faire tout notre possible pour protéger la vie et la santé de nos populations et minimiser les impacts de la maladie. Des efforts devront être consentis dans les domaines suivants :
第一，我们要坚定不移携手抗击疫情。|||Premièrement, nous devons travailler résolument pour combattre ensemble le virus.
中方将继续全力支持非方抗疫行动，抓紧落实我在世界卫生大会开幕式上宣布的举措，继续向非洲国家提供物资援助、派遣医疗专家组、协助非方来华采购抗疫物资。|||La Chine continuera de porter tout son soutien à l’Afrique, de redoubler d’efforts pour mettre en œuvre les mesures que j’ai annoncées lors de la cérémonie d’ouverture de l’Assemblée mondiale de la Santé, de fournir des matériels aux pays africains et d’y envoyer des groupes d’experts médicaux, et de faciliter leurs achats en Chine de matériels nécessaires.
中方将提前于年内开工建设非洲疾控中心总部，同非方一道实施好中非合作论坛框架内“健康卫生行动”，加快中非友好医院建设和中非对口医院合作，共同打造中非卫生健康共同体。|||Elle démarrera en avance les travaux du siège du CDC africain d’ici fin d’année, et travaillera avec l’Afrique pour mettre effectivement en œuvre l’initiative pour la santé dans le cadre du Forum sur la Coopération sino-africaine (FCSA), accélérer la construction des hôpitaux d’amitié Chine-Afrique et favoriser les partenariats entre hôpitaux chinois et africains. Par ces efforts, nous souhaitons bâtir conjointement une communauté de santé Chine-Afrique pour tous.
中方承诺，新冠疫苗研发完成并投入使用后，愿率先惠及非洲国家。|||La Chine s’engage à donner aux pays africains un accès prioritaire au vaccin lorsqu’il sera développé et déployé.
第二，我们要坚定不移推进中非合作。|||Deuxièmement, nous devons travailler résolument pour promouvoir la coopération sino-africaine.
为克服疫情带来的冲击，我们要加强共建“一带一路”合作，加快落实中非合作论坛北京峰会成果，并将合作重点向健康卫生、复工复产、改善民生领域倾斜。|||Pour réduire les impacts de ce défi sanitaire, il nous faut renforcer la coopération dans le cadre de l’Initiative « la Ceinture et la Route » et accélérer la mise en œuvre des acquis du Sommet de Beijing en mettant davantage l’accent sur la santé, la reprise des activités et l’amélioration du bien-être de la population.
中方将在中非合作论坛框架下免除有关非洲国家截至2020年底到期对华无息贷款债务。|||La Chine annulera, dans le cadre du FCSA, les prêts sans intérêt arrivant à échéance fin 2020 des pays africains concernés.
中方愿同国际社会一道，加大对疫情特别重、压力特别大的非洲国家的支持力度，包括进一步延长缓债期限，帮助其克服当前困难。|||Elle est prête à travailler avec la communauté internationale pour accroître le soutien aux pays africains durement touchés et soumis aux fortes pressions, notamment par l’allongement du délai de remboursement de leur dette, pour les accompagner en cette période difficile.
中方鼓励中国有关金融机构参照二十国集团缓债倡议，根据市场原则同非洲国家就商业主权贷款安排进行友好协商。|||La Chine encourage ses institutions financières concernées à mener des discussions amicales avec les pays africains sur les arrangements concernant les prêts commerciaux avec garantie souveraine, en se référant à l’initiative du G20 sur la suspension du service de la dette et conformément aux règles du marché.
中方将同二十国集团成员一道落实二十国集团缓债倡议，并呼吁二十国集团在落实当前缓债倡议基础上，进一步延长对包括非洲国家在内的相关国家缓债期限。|||Elle travaillera avec les autres membres du G20 pour mettre en œuvre cette initiative et appelle le G20 à, sur la base de la mise en œuvre de cette initiative, prolonger la suspension en faveur des pays africains et des autres pays concernés.
中方希望国际社会特别是发达国家和多边金融机构在非洲减缓债问题上采取更有力行动。|||La Chine souhaite que la communauté internationale, notamment les pays développés et les institutions financières multilatérales, puisse prendre des actions plus fortes sur l’allègement et la suspension de la dette africaine.
中方愿在尊重非方意愿基础上，同联合国、世界卫生组织及其他伙伴开展援非抗疫合作。|||La Chine, en respectant la volonté de la partie africaine, est prête à coopérer avec les Nations Unies, l’OMS et les autres partenaires pour accompagner l’Afrique dans la lutte contre le virus.
推动非洲实现可持续发展是长远之道。|||Promouvoir la réalisation du développement soutenu en Afrique, c’est une voie d’avenir.
中方支持非洲大陆自由贸易区建设，支持非洲加强互联互通和保障产业链供应链建设，愿同非方一道，共同拓展数字经济、智慧城市、清洁能源、5G等新业态合作，促进非洲发展振兴。|||La Chine soutient l’Afrique dans la construction de la zone de libre-échange continentale et ses efforts pour renforcer la connectivité et améliorer les chaînes industrielles et d’approvisionnement. Elle est prête à œuvrer avec l’Afrique pour élargir la coopération dans l’économie numérique, la ville intelligente, l’énergie propre, la 5G et d’autres nouvelles formes d’activité, de sorte à contribuer au développement et à l’émergence de l’Afrique.
第三，我们要坚定不移践行多边主义。|||Troisièmement, nous devons poursuivre fermement le multilatéralisme.
团结合作是抗击疫情最有力的武器。|||La solidarité et la coopération sont l’arme la plus puissante pour vaincre le virus.
中方愿同非方一道，维护以联合国为核心的全球治理体系，支持世卫组织为全球抗疫作出更大贡献。|||La Chine est prête à travailler avec l’Afrique pour préserver le système de gouvernance mondiale centré sur les Nations Unies et à soutenir l’OMS pour qu’elle apporte une plus grande contribution à la lutte mondiale contre la COVID-19.
我们反对将疫情政治化、病毒标签化，反对种族歧视和意识形态偏见，坚定捍卫国际公平正义。|||Nous nous opposons à la politisation de l’épidémie, à l’étiquetage du virus, à la discrimination raciale et au préjugé idéologique. Nous défendons fermement l’équité et la justice internationales.
第四，我们要坚定不移推进中非友好。|||Quatrièmement, nous devons promouvoir inébranlablement l’amitié sino-africaine.
当今世界正经历百年未有之大变局。|||Le monde d’aujourd’hui traverse des changements jamais vus depuis un siècle.
面对新的机遇和挑战，中非比以往任何时候都更加需要加强合作。|||Face aux opportunités et défis nouveaux, la Chine et l’Afrique ont plus que jamais besoin de renforcer leur coopération.
我愿同各位同事保持密切联系，夯实友好互信，在涉及彼此核心利益问题上相互支持，共同维护中非和发展中国家根本利益，推进中非全面战略合作伙伴关系高水平发展。|||J’entends maintenir d’étroits contacts avec vous, mes chers collègues, pour consolider l’amitié et la confiance mutuelle, nous soutenir mutuellement sur les questions touchant aux intérêts vitaux, et préserver ensemble les intérêts fondamentaux de la Chine, de l’Afrique et de l’ensemble des pays en développement, de sorte à promouvoir le développement à un niveau élevé du partenariat de coopération stratégique global sino-africain.
各位同事！|||Chers Collègues,
我们在中非合作论坛北京峰会上一致决定构建更加紧密的中非命运共同体。|||Il y a deux ans, lors du Sommet de Beijing, nous avons décidé ensemble de construire une communauté d’avenir partagé Chine-Afrique encore plus solide.
今天我们召开团结抗疫特别峰会，就是用实际行动践行北京峰会承诺，也是为国际抗疫合作贡献力量。|||Aujourd’hui, nous nous réunissons à l’occasion de ce sommet extraordinaire pour honorer notre engagement par des actions concrètes, et aussi pour contribuer à la coopération internationale contre la COVID-19.
我相信，人类终将战胜疫情，中非人民也终将过上更加美好的生活。|||Je suis convaincu que nous finirons par vaincre le virus, et que nos peuples auront une vie meilleure.
谢谢。|||Je vous remercie.
