二十载命运与共，新时代再攀高峰|||VINGT ANS DE PARCOURS COMMUN VERS DE NOUVEAUX SUCCÈS DANS LA NOUVELLE ÈRE
2019年，中国对非直接投资存量491亿美元，较2000年增长近百倍；中非贸易额2087亿美元，是2000年的20倍。|||En 2019, le stock des investissements directs chinois en Afrique s’est élevé à 49,1 milliards de dollars américains, environ 100 fois plus important que celui de 2000, et le volume des échanges commerciaux sino-africains s’est établi à 208,7 milliards de dollars américains, 20 fois plus élevé que celui de 2000.
中国连续11年成为非洲第一大贸易伙伴，连续多年对非洲经济增长贡献率超过20%。|||La Chine est pendant 11 ans d’affilée le premier partenaire commercial de l’Afrique et contribue durant des années à la croissance économique africaine à hauteur de plus de 20%.
非盟会议中心、亚吉铁路、蒙内铁路等一大批新旗舰项目在非洲建成使用，科教文卫、民间交往、和平安全等领域合作全面发展，不断取得重要成果。|||Le Centre de Conférences de l’Union Africaine (UA), les lignes ferroviaires Addis-Abeba-Djibouti et Mombasa-Nairobi et de nombreux autres projets emblématiques sont entrés en service en Afrique, et la coopération dans les domaines des sciences et technologies, de l’éducation, de la culture, de la santé, des échanges humains, de la paix et de la sécurité a connu un développement global et enregistré sans cesse des progrès importants.
党的十八大以来，习近平主席高度重视对非工作，亲自提出真实亲诚对非政策理念和正确义利观，亲自推动构建更加紧密的中非命运共同体，亲力亲为开展对非元首外交，引领中非关系跑出亮丽的“加速度”。|||Depuis le XVIIIe Congrès du Parti communiste chinois, le Président Xi Jinping, très attaché aux relations sino-africaines, a avancé les principes de « sincérité, résultats réels, amitié et bonne foi » et de recherche du plus grand bien et des intérêts partagés, s’est personnellement engagé dans la construction d’une communauté d’avenir partagé Chine-Afrique encore plus solide et a multiplié les échanges avec ses homologues africains, favorisant ainsi l’accélération du développement des relations sino-africaines.
——政治基础日益牢固。|||La base politique des relations sino-africaines s’est consolidée de jour en jour.
2013年，习近平主席就任国家主席后首次出访就选择非洲，迄今已4次访非，足迹遍布非洲大陆东西南北中。|||En 2013, le Président Xi Jinping s’est rendu en visite en Afrique lors de son premier déplacement à l’étranger en tant que chef d’État. Par après, il a fait quatre tournées en Afrique, dans toutes les cinq sous-régions du continent.
2015年和2018年，中非领导人先后在南非约翰内斯堡和北京召开两次历史性峰会。|||Les dirigeants chinois et africains se sont réunis en 2015 à Johannesburg et en 2018 à Beijing pour deux sommets historiques.
今年6月，在抗击新冠肺炎疫情关键时刻，中非团结抗疫特别峰会及时召开。|||En juin dernier, au moment crucial de la lutte contre le coronavirus, s’est tenu le Sommet extraordinaire Chine-Afrique sur la solidarité contre la COVID-19.
中非政治交往的频率、广度和规模前所未有，仅论坛北京峰会期间，习近平主席出席的多双边活动就持续8天、多达70余场。|||Aujourd’hui, les échanges politiques entre les deux côtés se déroulent avec une intensité, une étendue et une ampleur sans précédent. Rien qu’à l’occasion du Sommet de Beijing, le Président Xi Jinping a participé, pendant huit jours, à plus de 70 événements multilatéraux et bilatéraux.
冈比亚、圣多美和普林西比、布基纳法索同中国复交，中非友好大家庭空前壮大。|||Rejointe par la Gambie, Sao Tomé-et-Principe et le Burkina Faso qui ont rétabli des relations diplomatiques avec la Chine, la grande famille Chine-Afrique est aujourd’hui plus nombreuse que jamais.
——务实合作硕果累累。|||La coopération pragmatique s’est avérée fructueuse.
中非经贸合作加速发展，呈现从政府主导向市场运作转型、从商品贸易向产能合作升级、从工程承包向投资运营迈进的良好势头。|||La coopération économique et commerciale sino-africaine s’est développée à un rythme accéléré et a affiché une bonne dynamique de transformation. Elle est passée d’une coopération dirigée par les pouvoirs publics à une coopération guidée par les lois du marché, du commerce des marchandises à la coopération en matière de capacités de production, et des travaux publics à l’investissement et à l’exploitation des projets.
中非共同制订实施“十大合作计划”、“八大行动”，将务实合作推向历史新高。|||La Chine et l’Afrique ont élaboré et mis en œuvre ensemble les dix programmes de coopération et les huit initiatives majeures, portant leur coopération pragmatique à une hauteur sans précédent.
中非共建“一带一路”势头不可阻挡，44个非洲国家和非盟委员会同中方签署“一带一路”合作文件，铁路、公路、机场、港口、电站等一大批项目成功实施，给非洲经济社会发展带来显著变化。|||Dans le cadre de l’Initiative « la Ceinture et la Route », la coopération sino-africaine a avancé avec un élan irrésistible. 44 pays africains et la Commission de l’UA ont signé des documents de coopération avec la Chine. De nombreux projets sur la construction de chemins de fer, de routes, d’aéroports, de ports et de centrales électriques ont été réalisés, apportant des changements notables au développement économique et social en Afrique.
——人文交流空前活跃。|||Les échanges humains et culturels ont atteint une intensité inédite.
中非青年大联欢、智库论坛、联合研究交流计划、减贫发展高端对话会、中非新闻交流中心等活动成功举行，中国非洲研究院正式成立，各领域交流互鉴丰富多彩。|||Le Festival de la jeunesse Chine-Afrique, le Forum des think tanks, le Projet d’études conjointes et d’échanges, le Dialogue de haut niveau Chine-Afrique sur la Lutte contre la Pauvreté pour la Prospérité commune et le China-Africa Press Center ont eu de grands succès. L’Institut Chine-Afrique a été inauguré. Voilà autant d’initiatives qui ont contribué aux échanges florissants et à l’inspiration mutuelle entre les deux parties dans les différents domaines.
中国累计向非洲国家提供了约12万个政府奖学金名额，在非洲46国合建61所孔子学院和44家孔子课堂，向非洲48国派遣医疗队队员2.1万人次，诊治非洲患者约2.2亿人次，双方建立150对友好城市关系。|||Jusqu’aujourd’hui, la Chine a fourni près de 120 000 bourses gouvernementales aux pays africains et créé 61 Instituts Confucius et 44 Classes Confucius en coopération avec 46 pays africains. Elle a envoyé dans 48 pays africains 21 000 professionnels de santé qui ont prodigué des soins à environ 220 millions de personnes. 150 jumelages ont été établis entre des villes chinoises et africaines.
中非友谊的民意基础更加巩固。|||L’amitié sino-africaine repose désormais sur une base populaire encore plus solide.
——相互支持愈加坚定。|||Le soutien mutuel s’est renforcé encore davantage.
在抗击埃博拉和新冠肺炎疫情中，中非并肩战斗。在涉及彼此核心利益和重大关切问题上，中非相互支持。|||La Chine et l’Afrique se sont battues côte à côte dans les luttes contre le virus Ebola et la COVID-19, et se sont soutenues mutuellement sur les questions touchant à leurs intérêts vitaux et préoccupations majeures respectifs.
中非和平安全合作更加深入。|||Leur coopération en matière de paix et de sécurité a gagné en profondeur.
中非携手捍卫多边主义，反对单边主义和保护主义，坚定维护以联合国为核心的国际秩序和国际体系，坚定维护和平共处五项原则等国际关系基本准则，有力维护了发展中国家共同利益和国际社会整体利益。|||Elles ont œuvré ensemble pour défendre le multilatéralisme, rejeter l’unilatéralisme et le protectionnisme et préserver fermement l’ordre et le système internationaux centrés sur l’ONU, les Cinq Principes de la Coexistence pacifique et les autres normes fondamentales régissant les relations internationales, apportant ainsi une grande contribution à la préservation des intérêts communs des pays en développement et des intérêts de l’ensemble de la communauté internationale.
20年栉风沐雨，20年大浪淘沙。|||Les 20 ans écoulés sont marqués par des efforts et des progrès pour le FCSA.
中非合作论坛历经国际风云考验，取得载入史册的丰硕成果，成为中国外交贯彻落实习近平外交思想、开拓创新、锐意进取的生动缩影，也为进一步发展好中非关系提供了重要启示。|||Ayant résisté aux aléas internationaux, il a obtenu des résultats historiques abondants. Il constitue désormais une illustration parfaite de l’engagement et de l’innovation de la diplomatie chinoise à la lumière de la pensée de Xi Jinping sur la diplomatie, et une source d’inspiration importante pour un plus grand développement des relations sino-africaines.
始终坚持团结合作共商共建。|||Le FCSA s’est toujours attaché à l’esprit de coopération et de solidarité et au principe d’amples consultations et de contribution conjointe.
中国是世界最大的发展中国家，非洲是发展中国家最集中的大陆。|||La Chine est le plus grand pays en développement et l’Afrique, le continent regroupant le plus grand nombre de pays en développement.
中非合作兴，则南南合作兴。中非26亿人民的声音被倾听和尊重，世界才有真正的公平与正义。|||La coopération sino-africaine est essentielle au succès de la coopération Sud-Sud, et la justice et l’équité ne pourront régner effectivement dans notre monde que si la voix des 2,6 milliards de Chinois et d’Africains est écoutée et respectée.
我们始终牢牢把握南南合作这一中非关系根本定位，本着团结合作精神推动论坛发展。|||Gardant toujours au cœur la nature fondamentale des relations sino-africaines qu’est la coopération Sud-Sud, nous avons œuvré à faire progresser le FCSA dans un esprit de solidarité et de coopération.
论坛不是1对54，而是54加1。|||Dans le FCSA, nous sommes « 54 plus 1 » et non « 1 face à 54 ».
遇事多商量，有事好商量，这是我们做事的原则。|||Régler les problèmes à travers des discussions amples et amicales, telle est notre manière d’agir.
中方不干涉非洲国家探索符合国情的发展道路，不把自己的意志强加于人，不在援助中附加任何政治条件，不在投融资中谋取政治私利。|||La Chine ne s’ingère pas dans la recherche par les pays africains d’une voie de développement adaptée à leurs conditions nationales, ne leur impose pas sa volonté, n’assortit pas ses aides de condition politique quelconque, et ne recherche pas d’intérêts politiques égoïstes dans sa coopération en matière d’investissement et de financement avec l’Afrique.
我们既重视发挥论坛的顶层设计和战略引领作用，也着力筑牢同每个论坛成员的双边关系，让论坛机制和双边合作“两个轮子”一起转，构筑起多双边结合的强大伙伴关系网络，有力提升了中非关系的国际影响，论坛成为引领南南合作和国际对非合作的一面旗帜。|||Tout en veillant à faire jouer au FCSA son rôle de planification globale et d’orientation stratégique, nous avons travaillé à consolider les relations bilatérales avec chacun des membres africains pour faire avancer en parallèle le mécanisme du Forum et la coopération bilatérale, et créer ainsi un réseau puissant de partenariats multilatéraux et bilatéraux, ce qui a permis d’augmenter considérablement l’influence des relations sino-africaines dans le monde. Le FCSA est désormais un étendard de la coopération Sud-Sud et de la coopération internationale avec l’Afrique.
始终坚持合作共赢聚焦发展。|||Le FCSA s’est toujours focalisé sur la coopération mutuellement bénéfique et le développement.
中非都处于发展振兴关键阶段，中非人民都有过上更加美好生活的权利。|||La Chine et l’Afrique se trouvent l’une comme l’autre à un stade crucial de développement et de redressement. Les peuples chinois et africains ont tous droit à une vie meilleure.
习近平主席指出，任何人都不能阻挡中非人民振兴的步伐。|||Comme l’a souligné le Président Xi Jinping, personne ne pourra empêcher la marche des peuples chinois et africains vers le redressement.
我们始终把谋合作、促发展作为论坛第一要务，充分发挥中非经济互补性强、发展阶段梯次衔接等独特优势，不断深化发展战略对接，走出了一条特色鲜明的合作共赢之路。|||Faisant toujours de la promotion de la coopération et du développement la mission première du FCSA, nous avons mis pleinement en valeur les avantages particuliers découlant de la forte complémentarité économique et des étapes de développement différentes de la Chine et de l’Afrique, et approfondi sans cesse la synergie entre les stratégies de développement de part et d’autre. Une voie de coopération mutuellement bénéfique avec des caractéristiques uniques s’est ainsi ouverte.
我们注重行动、务求高效，每隔三年出台一揽子行动计划，仅2018年论坛北京峰会成果就高达880多项，承诺的一定办到，不开空头支票。|||Attaché aux actions concrètes et à l’efficacité, le FCSA adopte tous les trois ans un plan d’action global. Rien qu’au Sommet de Beijing 2018, plus de 880 acquis ont été obtenus. Chose promise, chose due. La Chine ne fait jamais de chèque sans provision.
我们始终坚持与时俱进、开拓创新，不断根据形势变化开新局、克时艰。|||Nous avons toujours su rester en phase avec le temps et travailler dans un esprit novateur pour ouvrir de nouvelles perspectives et relever de nouveaux défis en fonction de l’évolution des circonstances.
非洲朋友说，中非合作论坛是最能干事、也最能干成事的合作机制。|||Comme nos amis africains l’ont dit, le FCSA est le mécanisme de coopération qui offre le plus de possibilités d’agir et de réussir.
始终坚持患难与共守望相助。|||Le FCSA a toujours donné l’exemple de la solidarité et de l’entraide face aux épreuves.
中非友好诞生于民族解放的艰难岁月，深植于双方人民心中。|||L’amitié sino-africaine est née dans la lutte ardue pour l’émancipation nationale et s’est profondément enracinée dans les cœurs des Chinois et des Africains.
习近平主席指出，中非是患难之交，患难之交不能忘。|||Comme l’a dit le Président Xi Jinping, la Chine et l’Afrique sont des amis à toute épreuve, c’est ce que nous ne devons jamais oublier.
2008年国际金融危机袭来之时，我们抱团取暖、守望相助。|||Dans la crise financière internationale de 2008, la Chine et l’Afrique se sont soutenues dans une solidarité fraternelle.
中方不仅没有削减援非、惠非举措，反而逆势加大对非投入。|||La Chine n’a pas réduit son assistance ni son soutien à l’Afrique, bien au contraire, elle les a accrus.
2014年西非暴发埃博拉疫情，中方医护人员不畏艰险、逆行出征，在新中国人道主义救援史上写下浓墨重彩的一笔。|||En 2014, lorsque l’épidémie d’Ebola a éclaté en Afrique de l’Ouest, des personnels de santé chinois sont partis pour les pays touchés au mépris des dangers. Il s’agit d’une opération d’aide humanitaire exceptionnelle dans l’histoire de la Chine nouvelle.
新冠肺炎疫情突如其来、席卷全球，中非再次不离不弃、共克时艰。|||Face à l’apparition soudaine et à la propagation de la COVID-19 dans le monde, la Chine et l’Afrique ont choisi une fois de plus de se battre côte à côte pour surmonter les difficultés.
事实证明，中非不仅是伙伴，更是战友。|||Tous ces faits montrent que les Chinois et les Africains sont plus que des partenaires, mais des compagnons d’armes.
越是困难时期，中非合作的决心和信心就越坚定，中非合作论坛就越能发挥凝心聚力、披荆斩棘重要作用，成为中非友谊历久弥坚的助推器。|||Plus les moments sont difficiles, plus nous sommes déterminés et confiants dans la coopération sino-africaine, et plus le FCSA peut jouer son rôle fédérateur important pour surmonter les épreuves et contribuer au renforcement de l’amitié sino-africaine.
始终坚持开放包容兼收并蓄。|||Le FCSA a toujours porté l’esprit d’ouverture et d’inclusion.
中非合作论坛顺应和平发展合作共赢的时代潮流而生，是践行多边主义的成功范例。|||Le Forum a été créé pour répondre à l’appel de notre époque à la paix, au développement et à la coopération gagnant-gagnant. Il est un exemple réussi de la pratique du multilatéralisme.
开放包容，是我们始终坚守的宗旨原则；封闭排他，从不是我们的政策选项。|||Pour nous, l’ouverture et l’inclusion sont toujours les principes directeurs, tandis que le repli sur soi et l’exclusion n’ont jamais été une option.
殖民掠夺、冷战争夺曾给非洲人民带来深重苦难，历史不应再重返旧时代，非洲不可再成为大国博弈的竞技场，这是非洲人民的普遍呼声，国际社会各方都应该认真倾听。|||Les pillages coloniaux et les rivalités pendant la guerre froide avaient infligé aux peuples africains de profondes souffrances. Cet épisode de l’histoire ne doit jamais se reproduire, et l’Afrique ne doit jamais redevenir une arène de batailles entre les grandes puissances. Voilà un appel de l’ensemble des Africains que tous les membres de la communauté internationale doivent écouter attentivement.
对非合作要秉持开放心态，注重交流互鉴，共同把非洲和平发展的事业做大做强。|||Dans la coopération avec l’Afrique, il faut rester ouvert et s’inspirer mutuellement pour promouvoir ensemble la paix et le développement en Afrique.
中非合作增强了非洲的发展能力，改善了非洲的营商环境，而这也给其他国家对非合作创造了有利条件。|||La coopération sino-africaine a contribué au renforcement des capacités de développement de l’Afrique et à l’amélioration de son climat d’affaires. Cela favorise aussi la coopération des autres pays avec le continent.
近年来中方参与的涉非三方合作、多方合作越来越多，我们为此点赞并将继续予以支持。|||Ces dernières années, les coopérations tripartites ou multipartites en Afrique avec la participation de la Chine se sont multipliées. Nous nous en félicitons et continuerons d’y apporter notre soutien.
20年斗转星移，20年命运与共。|||Les 20 ans écoulés sont marqués par les transformations et la solidarité entre la Chine et l’Afrique.
当今世界正处于百年未有之大变局，新冠肺炎疫情使变局加速演进。|||Le monde traverse aujourd’hui des changements majeurs jamais connus depuis un siècle, qui sont d’ailleurs accélérés par la COVID-19.
中非是好朋友、好伙伴、好兄弟，更是促进世界和平与发展的重要力量。|||Bons amis, bons partenaires et bons frères, la Chine et l’Afrique sont des forces importantes pour la paix et le développement dans le monde.
中非要继续团结协作、砥砺前行，将中非合作论坛建设得更好，将中非关系不断推向深入，为中非友好事业和世界正义事业作出更大贡献。|||Elles doivent continuer de faire preuve de solidarité et de courage pour faire prospérer davantage le FCSA, approfondir sans cesse leurs relations, resserrer leurs liens d’amitié et apporter une plus grande contribution à la justice dans le monde.
中非要打造人类命运共同体新典范。|||La Chine et l’Afrique doivent donner un nouvel exemple dans la construction de la communauté d’avenir partagé pour l’humanité.
国际形势越复杂多变，中非越要坚持携手构建中非命运共同体的根本方向。|||Plus la situation internationale est complexe et changeante, plus la Chine et l’Afrique ont besoin de tenir le cap fondamental de la construction de la communauté d’avenir partagé Chine-Afrique.
我们要继续秉持真实亲诚理念和正确义利观，保持高层交往势头，深化治国理政经验交流，拉紧中非人民感情纽带，不断提升中非全面战略合作伙伴关系水平。|||Il nous faut rester fidèles aux principes de « sincérité, résultats réels, amitié et bonne foi » et de recherche du plus grand bien et des intérêts partagés, maintenir la dynamique des échanges de haut niveau, approfondir l’échange des expériences en matière de gouvernance de l’État, resserrer les liens d’amitié entre nos peuples et porter le partenariat de coopération stratégique global sino-africain à des niveaux toujours plus élevés.
要大力弘扬和平共处五项原则，加强在涉及彼此核心利益和重大关切问题上的相互支持，共同推动国际关系民主化。|||Nous devons faire rayonner les Cinq Principes de la Coexistence pacifique, accroître le soutien mutuel sur les questions touchant aux intérêts vitaux et aux préoccupations majeures de part et d’autre et œuvrer ensemble à la démocratisation des relations internationales.
要站在国际社会绝大多数成员一边，坚定不移走多边主义道路，推动全球治理体系变革朝符合发展中国家共同利益方向演进，将中非关系打造成构建人类命运共同体的先行者和示范者。|||Nous devons nous tenir du côté de la grande majorité des membres de la communauté internationale, suivre avec fermeté la voie du multilatéralisme, faire avancer la réforme du système de gouvernance mondiale dans un sens favorable aux intérêts communs des pays en développement et faire jouer un rôle pionnier et exemplaire aux relations sino-africaines dans la construction de la communauté d’avenir partagé pour l’humanité.
中非要树立国际抗疫合作新标杆。|||La Chine et l’Afrique doivent offrir un nouveau modèle pour la coopération internationale contre la COVID-19.
中国和非洲都经历了抗击疫情的严峻考验，取得的成果来之不易。|||La Chine et l’Afrique sont mises à de rudes épreuves à cause de la COVID-19. La situation d’aujourd’hui est chèrement acquise.
当前疫情仍在全球蔓延，中非双方都面临抗疫情、稳经济、保民生的艰巨任务。|||À l’heure actuelle où le virus continue de se propager dans le monde, elles sont toutes les deux confrontées à la mission difficile de vaincre l’épidémie, de stabiliser l’économie et d’assurer le bien-être de la population.
我们要加快落实习近平主席在中非团结抗疫特别峰会上的重要宣示，为非洲国家尽早实现疫苗可及性和可担负性做出中国贡献。|||La Chine redoublera d’efforts pour mettre en œuvre les mesures importantes annoncées par le Président Xi Jinping lors du Sommet extraordinaire Chine-Afrique sur la solidarité contre la COVID-19 et fera en sorte que les vaccins soient accessibles et abordables le plus tôt possible dans les pays africains.
我们将继续向非方提供抗疫物资援助、派遣专家组、协助非方来华采购抗疫物资，努力实现非洲疾控中心总部今年底破土动工，以实际行动展现中非团结抗疫的决心和力量。|||Elle continuera de leur fournir des matériels médicaux, d’y envoyer des groupes d’experts et de faciliter leurs achats de matériels en Chine, et travaillera activement au lancement des travaux du siège du CDC africain d’ici fin d’année. Ces actions concrètes sont autant d’illustrations de la détermination de la Chine et de l’Afrique et de la force de leur solidarité face au virus.
中非要激发务实合作新潜能。|||La Chine et l’Afrique doivent libérer de nouveaux potentiels de leur coopération pragmatique.
疫情不会阻挡中非合作的脚步。|||La COVID-19 ne saurait empêcher la coopération sino-africaine.
中国率先全面实现复工复产，致力于推动形成以国内大循环为主体、国内国际双循环相互促进的新发展格局，为中非合作深入发展和转型升级带来新的机遇。|||La Chine a été l’un des premiers pays à reprendre les activités dans tous les secteurs et elle œuvre actuellement à créer une nouvelle dynamique de développement où le circuit domestique est le pilier principal et que le circuit domestique et le circuit international se renforcent mutuellement, d’où de nouvelles opportunités pour l’approfondissement et la montée en gamme de la coopération sino-africaine.
中方支持非洲大陆自贸区建设，鼓励中方企业和金融机构积极参与非洲互联互通基础设施项目，提升非洲跨境物流和通关便利度，并愿同国际社会共同行动，支持非洲一体化进程和区域经济融合。|||La Chine soutient la construction de la Zone de libre-échange continentale africaine et encourage ses entreprises et institutions financières à participer activement aux projets d’interconnexion des infrastructures en Afrique pour contribuer à la facilitation de la circulation transfrontalière et du dédouanement des marchandises. Elle souhaite, ensemble avec la communauté internationale, accompagner l’Afrique dans son processus d’intégration en tant que continent et sur le plan économique en particulier.
中方愿同非方携手深化产业链供应链融合，鼓励中方企业加大对非投资和技术合作，支持非洲农业现代化工业化进程，提升非洲能矿产品、农产品出口附加值和竞争力，同国际社会一道，支持非洲更好融入国际产业链供应链。|||Elle est prête à travailler avec l’Afrique à approfondir l’intégration de leurs chaînes industrielles et d’approvisionnement, encourage les entreprises chinoises à accroître leurs investissements en Afrique et à renforcer leur coopération technique avec l’Afrique. Elle soutient la modernisation agricole et l’industrialisation du continent pour augmenter la valeur ajoutée et la compétitivité des produits énergétiques, miniers et agricoles africains. Elle œuvrera ensemble avec la communauté internationale à une meilleure insertion de l’Afrique dans les chaînes industrielles et d’approvisionnement mondiales.
中非双方应共同践行绿色、低碳、循环、可持续的发展方式，切实增强非洲国家应对气候变化的能力。|||La Chine et l’Afrique doivent également promouvoir un développement vert, bas carbone, circulaire et durable et travailler à améliorer effectivement les capacités des pays africains pour mieux faire face au changement climatique.
“歇马凭云宿，扬帆截海行”。|||Comme l’a dit un poème chinois : « Arrivant aux bords de la mer sur un cheval au galop, je pars à l’aventure le vent en poupe ».
中非关系发展永不停步，中非合作论坛建设永不停歇。|||Les relations sino-africaines iront toujours de l’avant et la construction du FCSA n’a pas de ligne d’arrivée.
站在新的历史起点上，我们要在习近平外交思想指引下，在中非领导人的关心和支持下，不断增强论坛的凝聚力和影响力，推动中非关系乘风破浪、勇往直前，在构建中非命运共同体的征程中不断创造新的辉煌。|||Sur ce nouveau point de départ historique, nous œuvrerons, à la lumière de la pensée de Xi Jinping sur la diplomatie et avec l’engagement et le soutien des dirigeants chinois et africains, à renforcer la cohésion et l’influence du FCSA, à faire avancer les relations sino-africaines en bravant toutes les difficultés et à remporter de nouveaux succès dans la construction d’une communauté d’avenir partagé Chine-Afrique.
