李克强总理出席记者会并回答中外记者提问|||Conférence de presse du Premier Ministre Li Keqiang Transcription intégrale
但是反复权衡，还是制定了就业目标，也就是城镇新增就业900万人以上。因为就业是民生之本，是发展之基，也是财富创造的源头活水。|||Mais après avoir mené des études solides et approfondies, nous avons fixé l’objectif de créer plus de 9 millions de nouveaux postes en ville, car l’emploi est le fondement du bien-être de la population, la base du développement et la source de la création des richesses.
当时我们也提出，要努力实现全年经济正增长，实际上是相信只要能够实现900万人以上的城镇新增就业，就有经济的正增长，因为有就业就有收入，就可以带动消费、拉动经济。|||Nous avons avancé l’idée de réaliser une croissance positive, car nous étions sûrs qu’avec la création de plus de 9 millions de nouveaux postes en ville, nous pourrons avoir une croissance positive. L’emploi génère des revenus, qui pourront tirer la consommation et la croissance économique.
去年，在以习近平同志为核心的党中央坚强领导下，经过全国上下共同努力，我们的市场主体表现出坚强的韧性，广大人民共克时艰，最后实现了城镇新增就业1186万人，全年经济增长2.3%，居民收入相应增长，都好于预期。|||L’année dernière, sous la ferme direction du Comité central du Parti rassemblé autour du Camarade Xi Jinping et grâce aux efforts conjoints de tous les Chinois, les acteurs du marché ont affiché une grande résilience et le peuple chinois a travaillé en solidarité pour surmonter les difficultés. Nous avons réussi à créer l’année dernière 11,86 millions d’emplois en ville et réalisé une croissance économique de 2,3%. Les revenus des ménages ont également augmenté. Tous ces résultats ont été meilleurs que prévu.
今年我们的就业压力仍然很大，城镇新增劳动力约1400万人，其中高校毕业生909万人，创历史新高，还要保障退役军人就业，还要为两亿七八千万农民工提供打工的机会。|||En 2021, nous faisons face à une grande pression en termes d’emploi. En ville, environ 14 millions de personnes entrent sur le marché du travail, dont 9,09 millions de diplômés universitaires, un record historique. Nous devons également régler les problèmes d’emploi pour les militaires démobilisés, et aussi pour les 270 à 280 millions de travailleurs migrants.
所以今年我们在制定宏观政策的时候，依然坚持就业优先的政策，我们继续推动“六稳”、落实“六保”，还是把就业放在首位。|||C’est pourquoi dans la politique macroéconomique de cette année, nous continuerons d’accorder la première priorité à l’emploi et de réaliser les « six stabilisations » et les « six garanties ». L’emploi occupe toujours la première place.
去年出台的有关就业的政策举措，不仅没有调退，还有所增加，其他政策都要有利于就业。|||Les mesures de l’année dernière, au lieu d’être réajustées ou abandonnées, seront encore renforcées. Toutes les autres mesures doivent servir l’emploi.
我们相信，通过经济稳定恢复增长，会带动更多的就业岗位，而更多的就业岗位会推动经济稳中向好。|||Nous sommes convaincus qu’une reprise économique solide contribuera à la création de nouveaux emplois et la création de nouveaux emplois mènera à la stabilité et au progrès de l’économie.
今年我们确定新增城镇就业的目标是1100万人以上，希望在实际执行中还可以更高一点。|||En 2021, nous nous sommes fixé l’objectif de créer plus de 11 millions de nouveaux postes d’emploi en ville. Nous espérons pouvoir faire mieux.
我们也很明确，就业还是要让市场来唱主角，也就是继续通过保市场主体来保就业。|||Une chose est claire, c’est que dans la promotion de l’emploi, c’est au marché de jouer le rôle primordial, et que pour soutenir l’emploi, il nous faut soutenir les acteurs du marché.
一方面推动稳岗增岗，另一方面拓展就业渠道。|||D’une part, nous devons stabiliser les emplois actuels et en créer de nouveaux. D’autre part, nous devons diversifier les canaux de création d’emplois.
去年疫情中就业方式也有新变化，像我们这几年发展的新动能，包括网购、快递等逆势快速增长，也带动了就业和传统产业发展。|||L’année dernière, les modes de travail ont connu des changements sur fond de COVID-19. Nous avons vu le développement de nouveaux moteurs de croissance comme l’e-commerce et la livraison à domicile, ce qui a également contribué à la création d’emplois et au développement des secteurs traditionnels.
我们一方面要继续鼓励增加相对稳定的就业岗位，也要广开灵活就业的渠道。现在中国的灵活就业正在兴起，已经涉及到两亿多人。|||Nous devons continuer d’encourager la création d’emplois stables et de promouvoir dans le même temps le travail flexible, qui est en plein essor en Chine et touche plus de 200 millions de personnes.
有的一人打几份工，很辛苦，所以我们应该给他社保补贴，特别是要用机制性的办法来解决可能出现的职业伤害问题，给他们提供基本的权益保障。|||Il y a même des gens qui ont plusieurs emplois et qui travaillent très dur. Nous devons donc les subventionner pour leur sécurité sociale, et adopter notamment des solutions institutionalisées pour régler les problèmes de l’accident au travail auxquels ils seraient confrontés pour garantir leurs droits et intérêts fondamentaux.
这也有利于灵活就业市场更加健康、稳定地向前发展。|||Cela favorisera également un développement sain et stable du marché du travail flexible.
至于刚才记者朋友提到的老年人问题，中国老龄人口已经有两亿六千万，老龄产业也可以说是一个巨大的朝阳产业，它带来了多样化的需求。|||Vous avez parlé des personnes âgées. La Chine en compte actuellement 260 millions. La silver économie est un secteur très prometteur et les demandes sont variées.
正因为中国市场多层次、多样化的需求，这样一个广大的市场也必然会给外国企业的产品、服务乃至于投资创造更多机会，因为我们的市场是开放的。|||L’immensité et les demandes diversifiées du marché chinois permettront d’apporter davantage d’opportunités aux produits, aux services et aux investissements étrangers, car le marché chinois est ouvert.
中国有14亿人口，劳动力资源可以说是最丰富的资源，中国人民又能够吃苦耐劳，只要有就业门路就会多挣。|||La Chine, peuplée de 1,4 milliard d’habitants, possède d’abondantes ressources en main-d’œuvre. Les Chinois sont diligents et persévérants. Lorsqu’il y a des opportunités, ils les saisiront.
“民生在勤，勤则不匮”。|||La prospérité s’appuie sur la diligence qui nous met à l’abri de la pénurie.
我相信中国人民会用自己勤劳的双手，来逐步迈向共同富裕。|||Je suis convaincu qu’avec la diligence et la persévérance, le peuple chinois pourra réaliser progressivement l’enrichissement commun.
西班牙埃菲社记者：美方指责中方对上月到访武汉的世界卫生组织专家组缺乏透明度，专家组组长指出中方同事分享了大量工作细节，同时也表示专家组希望获得在2019年10月至12月之间与新冠肺炎疫情相似疾病病例的更多原始数据，中方是否愿提供这些数据，或者是否愿再次接待专家组访华？|||Agence EFE : La partie américaine accuse la Chine de ne pas être assez transparente à l’égard du groupe d’experts de l’OMS le mois dernier à Wuhan. Le chef du groupe d’experts a souligné que leurs collègues chinois ont partagé un grand nombre d’informations détaillées, mais a également exprimé le souhait d’obtenir davantage de données brutes des cas de maladies similaires à la COVID-19 sur la période octobre-décembre 2019. La partie chinoise est-elle prête à fournir ces données ou à accueillir un nouveau groupe d’experts ?
李克强：新冠肺炎疫情是一起突发的全球公共卫生事件，中方和各方一样都希望能够尽快查清病毒是从哪里来的，这样有利于切断传播的渠道，更好更有效地来防控疫情。|||Premier Ministre Li Keqiang : La COVID-19 est une urgence de santé publique mondiale. Comme toutes les autres parties, la Chine espère trouver rapidement l’origine du virus, ce qui contribuera à arrêter la diffusion du virus et à mieux contrôler l’épidémie.
但疫情溯源的确是一个复杂的科学问题，需要各国加强合作，持续研究。|||Mais l’identification de l’origine du virus est une question scientifique complexe qui nécessite une coopération plus étroite entre les pays et des recherches de long terme.
中方本着实事求是、公开透明、开放合作的原则和态度，同世卫组织保持沟通，也支持世卫组织专家在华开展溯源研究工作。|||La Chine a toujours fait preuve d’objectivité, de transparence, d’ouverture et d’esprit de coopération. Elle est restée en communication avec l’OMS et soutient le groupe d’experts dans son travail d’identification de l’origine du virus.
下一步我们还愿意继续同世卫组织一道，推动科学溯源工作。|||Dans la prochaine étape, nous travaillerons ensemble avec l’OMS pour faire avancer les études scientifiques sur l’origine du virus.
当前疫情还在全球蔓延，当务之急不仅要溯源，还要做好各种防控工作，包括接种疫苗等。|||Actuellement, l’épidémie continue de se propager dans le monde. L’urgence pour le moment, c’est non seulement de trouver l’origine du virus, mais aussi de mener à bien la riposte sanitaire, y compris la vaccination.
新冠病毒是人类共同的敌人，我们希望各方携起手来，因为在这样一个人类共同的敌人面前，没有哪个国家能够独善其身。|||La COVID-19 est l’ennemi commun de toute l’humanité. Nous espérons que les différentes parties travailleront ensemble à relever ce défi, car aucun pays ne peut s’en sortir seul.
我们也坚信人类有能力最终战胜这个病魔，我也希望明年我们能够面对面进行交流。|||Mais nous avons la certitude que l’humanité est capable d’en triompher définitivement. J’espère que l’année prochaine, nous pourrons nous retrouver pour une conférence de presse en présentiel.
日本经济新闻记者：您在政府工作报告中提出2021年国内生产总值增长目标为6%以上，目前很多国际机构都认为中国2021年经济增长有可能达到8%左右。|||Nikkei : Dans le Rapport d’activité du gouvernement, vous avez fixé l’objectif de plus de 6% pour la croissance de 2021. Selon beaucoup d’institutions internationales, la croissance du PIB de la Chine atteindrait environ 8%.
在“十四五”开局之年，除了固定资产投资规模加大，还存在着由于世界性的资金过剩导致房地产投资过热的风险，现在中国政府采取了宽松的财政和货币政策。|||Pour la première année de la période du 14e Plan quinquennal, en plus de l’augmentation des investissements en capital fixe, il y a aussi le risque de surchauffe immobilière à cause des flux financiers excessifs dans le monde. Le gouvernement chinois a adopté des politiques budgétaires et monétaires accommodantes.
请问总理，在这样的情况下今年是否存在宏观政策转为偏紧的可能性？据日本经济研究中心预测，中国的经济规模将于2028年超过美国，对此您有何看法？|||Dans un tel contexte, est-ce que le gouvernement chinois passera d’une politique d’assouplissement à une politique d’austérité ? Selon les études menées par le Centre d’études économiques du Japon, le volume de l’économie chinoise dépassera celui des États-Unis en 2028. Comment le voyez-vous ?
李克强：我注意到，我们提出6%以上的经济增长预期目标，确实引起了多方面的关注，有不少分析。|||Premier Ministre Li Keqiang : J’ai noté que l’objectif de plus de 6% avait attiré beaucoup d’attention dans le monde et j’ai vu des analyses différentes.
有的认为是积极的，也有的认为低于预期。|||Certains pensent que cet objectif est très positif. D’autres pensent qu’il est inférieur aux prévisions.
我们当然乐见经济向好，但是也清醒地看到，今年是在恢复性增长的基础上前行，有很多不可比的因素，而且世界经济复苏不确定性依然很大。|||Nous serons contents de voir un développement plus rapide. Mais nous sommes clairement conscients que pour l’année 2021, ce sera un développement économique sur la base de la reprise, qu’il y aura beaucoup de facteurs incomparables et que la reprise de l’économie mondiale reste toujours incertaine.
我们说增长6%以上，6%不低了，现在我们的经济总量达到100万亿元，增长6%就是6万亿元，这要放到“十三五”之初，需要8%以上增速才能达到。|||6% est déjà un chiffre très important. Maintenant, l’économie chinoise représente 100 000 milliards de yuans RMB. Une croissance de 6% signifie 6 000 milliards de yuans RMB, qu’il fallait au moins une croissance de PIB de 8% au début de la période du 13e Plan quinquennal pour réaliser.
而且我们说增长6%以上是开了口子的，实际过程中也可能会增长得更高一点。|||Cet objectif a laissé la porte ouverte et la croissance réelle pourrait être plus importante.
但是我们不是在定计划，是引导预期，希望把预期引导到巩固经济恢复增长基础，推动高质量发展，保持可持续性，尤其是和明年、后年的目标相衔接，不能造成大起大落，否则会扰乱市场的预期。|||Objectif fixé n’est pas objectif fixe. Il sert à orienter les prévisions. Nous espérons que la fixation de cet objectif permettra de consolider la reprise économique, de promouvoir un développement centré sur la qualité et la soutenabilité. Surtout, cet objectif doit s’articuler avec les objectifs de l’année prochaine et de l’année suivante pour éviter toute grande turbulence, sinon les prévisions du marché seront perturbées.
一时走得快不一定走得稳，只有走得稳才能走得有力。|||La vitesse ne veut pas dire un développement stable. Seul un développement stable permet une croissance forte.
我们还是希望中国这样一个巨大的经济体，经济能够行稳致远，保持长期向好。|||Pour une grande économie comme la Chine, nous espérons avoir un développement économique stable sur le long terme.
去年面对罕见的巨大冲击，我们及时果断采取措施，但也保持定力，没有搞“大水漫灌”。|||L’année dernière, face à un choc inédit, le gouvernement chinois a pris des mesures rapides et fermes tout en évitant les liquidités excessives.
我们新增财政资金规模2万亿元，绝大部分都是用于市场主体和民生急需，主要是减税降费、保基本民生，而且采取了直达机制，就是把这些“救命钱”最快7天时间直达基层，来保证基层减税降费、稳岗等财力，很快就见到效果。|||Nous avons prévu une augmentation du budget de 2 000 milliards de yuans RMB. Une grande partie de ces fonds, sous forme de réduction des impôts, taxes et frais divers, sont allés directement aux acteurs du marché et au bien-être de la population. Cette somme d’argent est allée directement aux échelons de base en sept jours au plus vite grâce à un mécanisme de transfert direct pour donner un soutien financier aux gouvernements locaux dans la réduction d’impôts et de charges et la stabilisation des emplois. Cette mesure a donné des résultats rapidement.
如果我们当时重点考虑上大项目、搞大产业，这不是不需要，但这要经过论证还要考虑市场需求，时间恐怕得200天以上，就不是仅仅一周时间了。|||Cela ne veut pas dire que les grands projets ou les grandes industries ne sont pas importants. Mais pour les grands projets, il faut au moins 200 jours pour mener des études de faisabilité et étudier les demandes du marché.
错过了时间，企业可能会大批倒闭。|||Le temps comptait et il fallait aller vite, sinon, beaucoup d’entreprises fermeraient leurs portes.
我记得去年在记者会上，也有记者提出中国政府采取的政策规模和力度是不是偏小了。|||Lors de la conférence de presse de l’année dernière, un journaliste m’a demandé si les mesures prises par le gouvernement chinois n’étaient pas insuffisantes.
我们是把“肥”施到根子上，政策打到点子上，所以起效快、有作用。|||Nous avons appliqué les mesures là où il y avait un besoin urgent et obtenu des résultats rapides et substantiels.
现在看，这个规模、力度是合理的，准备的储备政策后来也没有用。|||Les mesures d’ampleur prises par le gouvernement chinois l’année dernière sont pertinentes. Ainsi nous n’avons pas utilisé les instruments de réserve prévus.
去年我们没有搞宽松政策，或者说所谓量化宽松，今年也就没有必要“急转弯”，还是要保持政策的连续性和可持续性，着力稳固经济，推动向好。|||L’année dernière, nous n’avons pas adopté de politiques d’assouplissement quantitatif. Cette année, il n’y aura donc pas de virage brusque. Nous devons maintenir la continuité et la soutenabilité des politiques gouvernementales. La priorité doit être accordée à la stabilité économique en vue d’un meilleur développement.
保持经济运行在合理区间，还是要注重把“肥”施在根上，现在市场主体特别是中小微企业还在恢复元气中。|||Pour que l’économie fonctionne dans des marges raisonnables, il faut toujours veiller à appliquer effectivement les mesures pour soutenir les acteurs du marché, les PME et les microentreprises en particulier, qui sont en reprise.
由于经济恢复增长，我们要合理调整政策，但调整是适度的，有些阶段性政策退了，同时又用一些结构性减税降费政策来冲抵影响，保持保就业、保民生、保市场主体的力度不减。|||Puisque l’économie est repartie, nous réajusterons des politiques de manière appropriée. Certaines politiques temporaires ne sont plus appliquées. Mais il y a aussi des politiques de réduction structurelle des impôts et des frais divers qui seront adoptées pour neutraliser les impacts de la crise et garder la force de notre soutien à l’emploi, au bien-être de la population et au dynamisme des acteurs du marché.
怎样保持力度不减？|||Comment maintenir la force de nos politiques d’ampleur ?
资金规模固然很重要，但用好钱更重要，我们去年宏观调控积累的经验还可以继续用。|||L’argent est très important, mais bien utiliser cette somme d’argent est plus important encore. Nous avons tiré des expériences utiles de notre travail de régulation macroéconomique de l’année dernière.
比如在财政金融方面，简单地说，就是要“一减、一增、一稳中有降”。|||Sur le plan budgétaire et financier, les instances centrales vont réduire leurs dépenses, et les gouvernements des différents échelons donneront l’exemple pour se serrer la ceinture.
“一减”，就是减少中央政府本级支出，各级政府都要带头过紧日子；“一增”，就是扩大直达资金范围，让基层和市场主体感到政策支持力度不减，这样能够更快更有效地惠企利民；|||De plus, nous élargirons la couverture des fonds dédiés directement aux échelons de base. Nous maintiendrons le niveau de notre soutien aux échelons de base et aux acteurs du marché et assurerons un transfert rapide et effectif pour soutenir réellement les entreprises et le bien-être de la population.
“一稳中有降”，就是在稳定杠杆率的同时，引导金融企业合理让利，使中小微企业融资更便利、融资成本稳中有降。|||Par ailleurs, nous devons, tout en stabilisant le ratio de levier, encourager les institutions financières à céder une partie de leurs bénéfices en faveur des PME et des microentreprises, pour faciliter leur financement et en réduire le coût.
当然，我们对各类风险隐患，也会及时防范化解。|||Bien entendu, nous travaillerons également à prévenir et à résoudre rapidement toutes sortes de risques qui pourraient surgir.
中国发展的根本目的是要让中国人民过上好日子，中国还是一个发展中国家，实现现代化还有很长的路要走。|||Le développement de la Chine a pour objectif fondamental d’assurer une vie meilleure au peuple chinois. La Chine reste un pays en développement. Nous avons encore un long chemin à parcourir pour réaliser la modernisation.
我们会立足于着力办好自己的事。|||Nous continuerons de veiller à bien gérer nos propres affaires.
中国的发展对世界和平稳定、繁荣发展都是重要贡献。|||Le développement de la Chine apportera une grande contribution à la paix, à la stabilité, au développement et à la prospérité dans le monde.
中国新闻社记者：总理您好。前两年住院费用的异地报销问题得到了解决，极大便利了异地就医。|||China News Service : Monsieur le Premier Ministre, ces dernières années, la Chine a réalisé le remboursement interprovincial des frais d’hospitalisation par l’assurance-maladie de base, ce qui a beaucoup facilité le règlement interrégional de l’assurance-maladie.
但是很多人外出打工，也有不少老年人是异地养老，他们门诊的看病开药还需要回原籍报销，非常不方便，所以请问门诊费用的报销何时能得到解决？|||Mais ce n’est pas encore le cas pour les frais de consultation médicale et de médicaments prescrits pour les gens, y compris les personnes âgées, qui vivent et travaillent en dehors de leurs régions d’origine. Ce n’est pas pratique. Quand les frais de consultation pourront-ils aussi être remboursés de manière interprovinciale ?
李克强：我在中国政府网的实名留言中，也看到了这类问题。|||Premier Ministre Li Keqiang : Sur le site portail du gouvernement chinois, j’ai vu des commentaires portant sur ce sujet.
的确，在一些学校门口，大家看到很多老人在接送孩子，这些老人不少是异地养老的，或者就是来帮子女带孩子的。|||Effectivement, on voit devant les portes des écoles des personnes âgées qui attendent les enfants à la fin des cours. Je suppose qu’une partie d’entre elles ne sont pas de la ville et sont venues pour prendre soin de leurs petits-enfants.
他们中有人经常为异地报销医疗费奔波烦恼，这个问题应该下决心逐步解决。|||Certaines d’entre elles sont obligées de rentrer dans leurs régions d’origine pour se faire rembourser. Leur plus grande préoccupation, c’est le règlement interprovincial des frais médicaux.
今年我们要扩大门诊费用跨省直接报销的范围，到明年年底前每个县都要确定一个定点的医疗机构，能够直接报销包括门诊费在内的医疗费用，不能再让这些老人为此烦心。|||C’est vraiment une question que nous devons régler progressivement, et c’est justement dans cet esprit que cette année, nous élargirons la couverture du règlement direct interprovincial des frais médicaux et travaillerons pour que d’ici fin 2022, chaque district doit désigner un établissement sanitaire pour le remboursement direct interprovincial de tous les frais médicaux, y compris ceux de consultation. Nous ne pouvons plus laisser ces questions continuer de préoccuper les personnes âgées.
这件事，还有类似的事，看似不大，政府工作人员多费些心，就可以让老人、让家庭多一点舒心。|||Sur beaucoup d’autres petites choses de ce genre,le gouvernement doit également travailler plus, pour que les personnes âgées et leurs familles s’en préoccupent moins.
凤凰卫视记者：过去一年香港因为疫情饱受打击，未来两年又将进入选举年，此时全国人大会议就完善香港的选举制度作出了决定，人大常委会将就香港选举的相关法律进行修改。|||Phoenix TV : En 2020,Hong Kong a été durement touché par la COVID-19. Il y aura des échéances électorales à Hong Kong dans les prochaines années. L’APN a adopté une décision sur le perfectionnement du système électoral de la Région administrative spéciale de Hong Kong et le Comité permanent de l’APN révisera des lois en cette matière.
外界对于“一国两制”如何继续实践充满关注。|||L’application du principe d’« un pays, deux systèmes » attire beaucoup d’attention de l’extérieur.
您认为“一国两制”在香港将来要如何行稳致远？|||D’après vous, comment assurer une application solide et sur le long terme de ce principe dans la RAS de Hong Kong ?
李克强：我们明确提出，要继续全面准确地贯彻“一国两制”、“港人治港”、高度自治方针，严格依照宪法和基本法办事，落实好特别行政区维护国家安全的法律制度和执行机制，全力支持特区政府和行政长官依法施政。|||Premier Ministre Li Keqiang : Comme nous l’avons clairement dit, nous continuerons d’appliquer de manière intégrale et exacte les principes dits « un pays, deux systèmes », « administration de Hong Kong par les Hongkongais » et « un haut degré d’autonomie à Hong Kong ». Nous agirons en stricte conformité avec la Constitution et la Loi fondamentale, assurerons une bonne application de la législation et des mécanismes d’exécution de la loi sur la sauvegarde de la sécurité nationale dans la RAS de Hong Kong et accorderons un soutien total au gouvernement de la RAS de Hong Kong et à son chef exécutif dans leur exercice du pouvoir en vertu de la loi.
刚才你问到全国人大就完善香港选举制度作出决定，决定很明确，就是要坚持和完善“一国两制”的制度体系，始终坚持“爱国者治港”，也是为了确保“一国两制”行稳致远。|||Vous avez évoqué la décision de l’APN sur le perfectionnement du système électoral de la RAS de Hong Kong. Cette décision a clairement fixé l’objectif de maintenir et de perfectionner le système et les institutions du principe d’« un pays, deux systèmes » et de poursuivre le principe dit « administration de Hong Kong par les patriotes » en vue d’assurer l’application solide et sur le long terme du principe d’« un pays, deux systèmes ».
去年香港受到了多重冲击，我们希望香港各界能够携起手来尽早战胜疫情，实现经济恢复性增长，改善民生，保持香港长期繁荣稳定。|||L’année dernière, Hong Kong a subi des impacts à bien des égards. Nous espérons que les différents milieux de la RAS de Hong Kong pourront travailler ensemble pour vaincre au plus tôt la COVID-19, réaliser la reprise économique, améliorer le bien-être de la population et assurer la prospérité et la stabilité sur le long terme de Hong Kong.
中央政府会继续全力给予支持。|||Le gouvernement central continuera d’accorder tout son soutien à Hong Kong.
中央广播电视总台央视记者：国家提出建设科技强国，但是目前在一些重点领域和关键技术上我们还存在短板，甚至出现了“卡脖子”的情况。|||CCTV : La Chine s’est fixé l’objectif de devenir une puissance scientifique et technologique. Mais nous avons encore des failles, et même dépendons de l’approvisionnement étranger dans certains domaines importants et des technologies clés.
与此同时，我们还看到了一些急功近利的现象，比如在一些地区，一些高新产业项目的大规模投入出现了烂尾。|||Nous avons aussi vu des politiques de courte vue dans ces domaines. Par exemple, dans certaines régions, des projets industriels de haute technologie avec un investissement massif ont fait long feu.
请问您如何看待这样的情况？|||Qu’en pensez-vous ?
未来政府在推动科技创新方面还会有哪些新的举措？|||Et dans l’avenir, quelles mesures prendra le gouvernement pour promouvoir l’innovation technologique et scientifique ?
李克强：多年来，我国在科技创新领域有一些重大突破，在应用创新领域发展得也很快，但是在基础研究领域的确存在着不足。|||Premier Ministre Li Keqiang : Depuis des années, notre pays a réalisé des percées majeures dans l’innovation technico-scientifique, et nous avons aussi connu un développement rapide dans la science appliquée. Mais concernant les recherches fondamentales, nous avons encore des failles.
要建设科技强国，提升科技创新能力，必须打牢基础研究和应用基础研究这个根基。|||Et pour construire une puissance technico-scientifique et renforcer nos capacités d’innovation, il faut bien jeter la base des recherches fondamentales et des recherches fondamentales des sciences appliquées.
打多深的基，才能盖多高的楼。|||C’est la profondeur de la base qui détermine la hauteur d’un bâtiment.
不能急功近利，要一步一个脚印地走。|||Nous ne pouvons pas prendre des mesures de courte vue mais devons faire preuve de pragmatisme.
目前我国全社会研发投入占GDP的比重还不高，尤其是基础研究投入只占到研发投入的6%，而发达国家通常是15%到25%。|||La part des frais de la R&D dans le PIB chinois est encore modeste, et l’investissement dans les recherches fondamentales ne représente que 6% de la R&D, alors que ce chiffre est de 15 à 25% dans les pays développés.
我们下一步要加大基础研究的投入，还要继续改革科技体制，让科研人员有自主权，很重要的是要让科研人员有经费使用的自主权，不能让科研人员把宝贵的精力花在填表、评比等事务上，还是要让他们心无旁骛去搞研究，厚积才能薄发。|||Nous investirons davantage dans les recherches fondamentales et poursuivrons la réforme institutionnelle dans le domaine de la science et des technologies. Nous donnerons plus d’autonomie aux chercheurs notamment dans l’utilisation des fonds. Ils n’auront plus à dépenser leurs temps et énergie précieux à des choses insignifiantes comme les formalités et les évaluations. Nous les laisserons se concentrer sur les recherches scientifiques pour réaliser des percées sur la base d’une accumulation de longue date.
讲到这里，我想对青年学生们说几句话，不管你们将来从事什么职业、有什么样的志向，一定要注意加强基础知识学习，打牢基本功和培育创新能力是并行不悖的。|||J’aimerais aussi saisir cette occasion pour dire aux étudiants : Quels que soient votre métier et votre ambition dans l’avenir, vous devez renforcer votre connaissance de base. L’innovation n’est pas incompatible avec une bonne base de savoir.
树高千尺，营养还在根部。|||C’est la racine qui apporte de la nutrition à un grand arbre.
把基础打牢了，将来就可以触类旁通，行行都可以写出精彩。|||C’est avec une base solide de savoir que vous pourrez réussir votre carrière professionnelle.
创新还是要依靠市场的力量。|||L’innovation doit s’appuyer sur la force du marché.
企业是创新的主体。|||Les entreprises doivent jouer leur rôle d’acteurs principaux.
“十四五”期间政府会继续加大科技投入，同时要更多地依靠社会力量来加大研发投入，所以我们要增加“全社会”这个口径下的研发投入。|||Dans la période du 14e Plan quinquennal, l’État continuera d’accroître son investissement dans les recherches technico-scientifiques et encouragera l’introduction des fonds privés.
这就需要采用一些机制。|||Pour accroître l’investissement de toute la société à la recherche technico-scientifique,il faut mettre en place des mécanismes pertinents.
比如今年我们采取对制造业研发费用投入加计扣除100%的措施，这实际上是一项税收优惠，就是想通过市场化普惠制的办法，使企业投资研发有动力。|||Par exemple, nous procéderons à une déduction supplémentaire de taxes de 100% des frais de la R&D des industries manufacturières. C’est une politique fiscale préférentielle correspondant aux règles du marché qui encouragera les entreprises à investir davantage dans la R&D. La R&D s’appuie aussi sur la qualité des ressources humaines.
当然，研发要靠人才，中国的人才资源是丰富的。|||La Chine possède beaucoup de talents.
我们一方面要让领军拔尖人才脱颖而出，另一方面也要看到普通人也有上上智。|||Nous allons, d’un côté, favoriser l’émergence des pionniers, et de l’autre, faire valoir la sagesse des personnes ordinaires.
