在联合国生物多样性峰会上的讲话|||ALLOCUTION AU SOMMET DES NATIONS UNIES SUR LA BIODIVERSITÉ
发达国家和发展中国家处于不同发展阶段，在环境问题上的历史责任和现实能力存在差异。|||Les pays développés et les pays en développement se trouvent à des phases de développement différentes et ont des responsabilités historiques et des capacités pratiques différentes sur les questions environnementales.
我们要坚持共同但有区别的责任原则，坚持公平公正惠益分享，照顾发展中国家资金、技术、能力建设方面的关切。|||Nous devons rester attachés au principe des responsabilités communes mais différenciées, assurer un partage juste et équitable des avantages et répondre aux préoccupations des pays en développement en matière de fonds, de technologies et de renforcement des capacités.
我们要切实践行承诺，抓好目标落实，有效扭转生物多样性丧失，共同守护地球家园。|||Il nous faut honorer effectivement nos engagements, travailler à la réalisation des objectifs et inverser effectivement la perte de la biodiversité, afin de préserver ensemble notre planète Terre.
主席先生！|||Monsieur le Président,
“生态文明：共建地球生命共同体”既是明年昆明大会的主题，也是人类对未来的美好寄语。|||« Civilisation écologique, bâtir un avenir partagé pour toutes les vies sur la Terre », thème de la COP15 à Kunming, incarne l’aspiration de l’humanité à un avenir meilleur.
作为昆明大会主席国，中方愿同各方分享生物多样性治理和生态文明建设经验。|||En tant que pays hôte de la COP15, la Chine sera heureuse de partager avec toutes les parties ses expériences en matière de promotion de la gouvernance de la biodiversité et de progrès écologique.
——中国用生态文明理念指导发展。|||— La Chine a poursuivi son développement avec une vision de construire la civilisation écologique.
从道法自然、天人合一的中国传统智慧，到创新、协调、绿色、开放、共享的新发展理念，中国把生态文明建设放在突出地位，融入中国经济社会发展各方面和全过程，努力建设人与自然和谐共生的现代化。|||De la sagesse traditionnelle de la Chine préconisant le respect de la nature et l’harmonie entre l’homme et la nature à la nouvelle vision d’un développement innovant, coordonné, vert, ouvert et partagé, la Chine a toujours accordé la priorité à la civilisation écologique et la traduit dans tous les aspects et à tous les stades de son développement économique et social. Elle œuvre à une modernisation dans laquelle l’homme et la nature vivent en harmonie.
——中国采取有力政策行动。|||— La Chine a adopté des politiques et actions fortes.
中国坚持山水林田湖草生命共同体，协同推进生物多样性治理。|||La Chine adopte une approche intégrée de conservation des montagnes, rivières, forêts, terres agricoles, lacs et prairies et déploie des efforts coordonnés pour promouvoir la gouvernance de la biodiversité.
加快国家生物多样性保护立法步伐，划定生态保护红线，建立国家公园体系，实施生物多样性保护重大工程，提高社会参与和公众意识。|||Nous avons accéléré la législation nationale en matière de conservation de la biodiversité, fixé la ligne rouge de la protection des écosystèmes, instauré le système de parcs nationaux, lancé des projets importants de conservation de la biodiversité et favorisé une plus grande participation et une meilleure prise de conscience du public.
过去10年，森林资源增长面积超过7000万公顷，居全球首位。|||Au cours des dix dernières années, la superficie des ressources forestières en Chine a augmenté de plus de 70 millions d’hectares, soit la plus forte progression au monde.
长时间、大规模治理沙化、荒漠化，有效保护修复湿地，生物遗传资源收集保藏量位居世界前列。|||La Chine s’est engagée dans un effort constant et de grande ampleur contre l’ensablement et la désertification, et a travaillé efficacement à protéger et à restaurer des zones humides. Elle dispose aujourd’hui de l’une des plus importantes banques de ressources génétiques.
90%的陆地生态系统类型和85%的重点野生动物种群得到有效保护。|||90% des types d’écosystèmes terrestres et 85% des populations d’animaux sauvages prioritaires sont effectivement protégés.
——中国积极参与全球环境治理。|||— La Chine a pris une part active à la gouvernance environnementale mondiale.
中国切实履行气候变化、生物多样性等环境相关条约义务，已提前完成2020年应对气候变化和设立自然保护区相关目标。|||La Chine remplit scrupuleusement ses obligations au titre des conventions sur les questions environnementales telles que le changement climatique et la biodiversité. Elle a atteint en avance les objectifs prévus pour 2020 relatifs à la lutte contre le changement climatique et à la création d’aires protégées.
作为世界上最大发展中国家，我们也愿承担与中国发展水平相称的国际责任，为全球环境治理贡献力量。|||La Chine, le plus grand pays en développement, est prête à assumer les responsabilités internationales correspondant à son niveau de développement et à apporter sa part de contribution à la gouvernance environnementale mondiale.
中国将秉持人类命运共同体理念，继续作出艰苦卓绝努力，提高国家自主贡献力度，采取更加有力的政策和措施，二氧化碳排放力争于2030年前达到峰值，努力争取2060年前实现碳中和，为实现应对气候变化《巴黎协定》确定的目标作出更大努力和贡献。|||Guidée par la vision de construire une communauté d’avenir partagé pour l’humanité, la Chine poursuivra ses efforts ardus pour élever le niveau de ses contributions déterminées au niveau national. Elle adoptera des politiques et des mesures plus fortes pour atteindre le pic des émissions de CO2 avant 2030 et réaliser la neutralité carbone avant 2060, afin de déployer plus d’efforts pour l’atteinte des objectifs fixés dans l’Accord de Paris et d’y apporter une plus grande contribution.
主席先生，|||Monsieur le Président,
“山积而高，泽积而长。”|||Comme dit un adage chinois : « Petit à petit, les mottes de terre font une haute montagne, et les gouttes d’eau, une longue rivière. »
加强生物多样性保护、推进全球环境治理需要各方持续坚韧努力。|||La conservation de la biodiversité et la gouvernance environnementale mondiale nécessitent des efforts constants de tous.
我欢迎大家明年聚首美丽的春城昆明，共商全球生物多样性保护大计，期待各方达成全面平衡、有力度、可执行的行动框架。|||Je serai très heureux de vous accueillir l’année prochaine à Kunming, ville du printemps éternel, pour dessiner ensemble les perspectives de la conservation de la biodiversité dans le monde. J’espère que nous pourrons adopter un cadre d’action complet, équilibré, ambitieux et applicable.
让我们从这次峰会携手出发，同心协力，共建万物和谐的美丽世界！|||Unissons nos efforts, à partir du présent Sommet, pour bâtir un monde beau et harmonieux pour tous les êtres.
