国家主席习近平发表二〇二二年新年贺词|||Allocution du Président Xi Jinping pour le Nouvel An 2022
我曾谈到当年毛主席与黄炎培先生的“窑洞对”，我们只有勇于自我革命才能赢得历史主动。|||Comme je l’ai dit en rappelant la conversation du Président Mao Zedong avec Monsieur Huang Yanpei dans une maison-grotte à Yan’an, ce n’est qu’en engageant courageusement une auto-révolution que nous pourrons conserver l’initiative dans l’histoire.
中华民族伟大复兴绝不是轻轻松松、敲锣打鼓就能实现的，也绝不是一马平川、朝夕之间就能到达的。|||Le grand renouveau de la nation chinoise ne se réalisera pas sans peine du jour au lendemain, ni simplement à coups de tambour.
我们要常怀远虑、居安思危，保持战略定力和耐心，“致广大而尽精微”。|||Nous devons adopter une vision de long terme en nous préparant aux moindres risques éventuels, garder la persévérance et la détermination stratégiques, et, comme dit un adage chinois, voir large et grand tout en agissant avec délicatesse et minutie.
大国之大，也有大国之重。|||Notre pays, aussi grand soit-il, a ses priorités.
千头万绪的事，说到底是千家万户的事。|||Notre travail, énorme et complexe, revient au fond à servir le quotidien de chaque ménage.
我调研了一些地方，看了听了不少情况，很有启发和收获。|||J’ai beaucoup vu et écouté lors de mes visites et études sur le terrain, et je m’en suis très inspiré.
每到群众家中，常会问一问，还有什么困难，父老乡亲的话我都记在心里。|||Je me suis rendu chez des habitants locaux et je leur ai demandé à chaque fois s’ils avaient encore des difficultés. Tout ce qu’ils m’ont dit, je le garde dans mon cœur.
民之所忧，我必念之；|||Les préoccupations du peuple, c’est ce à quoi j’ai toujours réfléchi.
民之所盼，我必行之。|||Les aspirations du peuple, c’est ce à quoi j’ai toujours œuvré.
我也是从农村出来的，对贫困有着切身感受。|||J’ai travaillé dans des régions rurales et j’ai vécu moi-même la pauvreté.
经过一代代接续努力，以前贫困的人们，现在也能吃饱肚子、穿暖衣裳，有学上、有房住、有医保。|||Grâce aux efforts constants du peuple chinois de plusieurs générations, les personnes autrefois démunies ne se soucient plus de la nourriture et de l’habillement et ont accès à l’éducation, au logement et à l’assurance maladie.
全面小康、摆脱贫困是我们党给人民的交代，也是对世界的贡献。|||La construction sur tous les plans d’une société de moyenne aisance et l’élimination de l’extrême pauvreté sont un engagement que notre Parti a honoré envers le peuple, de même qu’une contribution qu’il a apportée au monde.
让大家过上更好生活，我们不能满足于眼前的成绩，还有很长的路要走。|||Pour construire une vie meilleure pour tous, nous ne pouvons nous contenter des progrès obtenus. Il nous reste encore un long chemin à parcourir.
黄河安澜是中华儿女的千年期盼。|||Bien gérer le fleuve Jaune est une aspiration millénaire des Chinois.
近年来，我走遍了黄河上中下游9省区。|||Ces dernières années, je me suis rendu dans toutes les neuf provinces et régions autonomes de l’amont à l’aval du fleuve Jaune.
无论是黄河长江“母亲河”，还是碧波荡漾的青海湖、逶迤磅礴的雅鲁藏布江；无论是南水北调的世纪工程，还是塞罕坝林场的“绿色地图”；无论是云南大象北上南归，还是藏羚羊繁衍迁徙......|||Qu’il s’agisse du fleuve Jaune et du fleuve Yangtsé, fleuves nourriciers de la nation, du limpide lac Qinghai ou du majestueux fleuve Yarlung Tsangpo ; de l’adduction d’eau du Sud vers le Nord, un projet du siècle, ou des forêts de Saihanba, une belle verdure sur la carte ; de la migration d’éléphants vers le nord et leur retour chez eux au Yunnan ou de la migration et le retour des antilopes du Tibet...
这些都昭示着，人不负青山，青山定不负人。|||Ce sont autant d’exemples qui démontrent que si nous respectons la nature, la nature nous récompensera.
这一年，还有很多难忘的中国声音、中国瞬间、中国故事。|||L’année 2021 a aussi été témoin de beaucoup de voix chinoises, de moments chinois et d’histoires chinoises inoubliables :
“请党放心、强国有我”的青春誓言，“清澈的爱、只为中国”的深情告白；“祝融”探火、“羲和”逐日、“天和”遨游星辰；运动健儿激情飞扬、奋勇争先；全国上下防控疫情坚决有力；受灾群众守望相助重建家园；人民解放军指战员、武警部队官兵矢志强军、保家卫国......|||Les jeunes « s’engagent devant le Parti à rendre le pays fort » ; l’« amour pur pour la mère-patrie » est affirmé avec beaucoup d’affection ; le rover Zhurong explore Mars, le satellite Xihe poursuit le soleil et le module Tianhe navigue parmi les étoiles ; nos athlètes donnent le meilleur d’eux-mêmes ; toute la nation reste unie dans la lutte résolue contre la COVID-19 ; la population sinistrée fait preuve de solidarité dans la reconstruction ; les membres de l’Armée populaire de Libération et de la Police armée populaire s’engagent à construire une armée forte et à protéger notre pays...
无数平凡英雄拼搏奋斗，汇聚成新时代中国昂扬奋进的洪流。|||Les innombrables héros méconnus ont, par leurs efforts et dévouement, généré une dynamique vigoureuse dans la marche en avant de la Chine à l’ère nouvelle.
祖国一直牵挂着香港、澳门的繁荣稳定。|||La prospérité et la stabilité de Hong Kong et de Macao tiennent à cœur depuis toujours à la patrie.
只有和衷共济、共同努力，“一国两制”才能行稳致远。|||Seuls l’unité et les efforts conjugués permettent d’assurer une application solide à long terme d’« un pays, deux systèmes ».
实现祖国完全统一是两岸同胞的共同心愿。|||Réaliser la réunification complète de la patrie est l’aspiration commune des compatriotes des deux rives du Détroit de Taiwan.
真诚期盼全体中华儿女携手向前，共创中华民族美好未来。|||J’espère sincèrement que toutes les Chinoises et Chinois avanceront main dans la main pour bâtir un avenir plus radieux de notre nation.
我同外国领导人及国际组织负责人电话沟通、视频连线时，他们多次赞扬中国抗疫和为全球疫情防控所作的贡献。|||Lors des entretiens téléphoniques et visioconférences que j’ai eus avec des dirigeants étrangers et responsables d’organisations internationales, ils ont salué à maintes reprises la réponse chinoise à la COVID-19 et la contribution qu’apporte la Chine à la lutte mondiale contre l’épidémie.
截至目前，中国累计向120多个国家和国际组织提供20亿剂新冠疫苗。|||Jusqu’ici, la Chine a fourni au total à plus de 120 pays et organisations internationales deux milliards de doses de vaccins anti-COVID-19.
世界各国风雨同舟、团结合作，才能书写构建人类命运共同体的新篇章。|||Ce n’est que par l’unité, la solidarité et la coopération que les pays du monde peuvent inscrire un nouveau chapitre dans la construction d’une communauté d’avenir partagé pour l’humanité.
再过一个多月，北京冬奥会、冬残奥会就要开幕了。|||Dans un peu plus d’un mois, s’ouvriront les Jeux Olympiques et Paralympiques d’hiver de Beijing.
让更多人参与到冰雪运动中来，这也是奥林匹克运动的题中之义。|||Promouvoir une plus grande participation aux sports d’hiver est aussi le sens du Mouvement olympique.
我们将竭诚为世界奉献一届奥运盛会。|||Nous ne ménagerons aucun effort pour offrir au monde une édition excellente.
世界期待中国，中国做好了准备。|||Le monde pose son regard sur la Chine. La Chine est prête.
新年的钟声即将敲响。|||La cloche du Nouvel An va bientôt sonner.
我们的三位航天员正在浩瀚太空“出差”，海外同胞仍在辛勤耕耘，使领馆、中资企业等海外派驻人员和广大留学生仍在勇毅坚守，无数追梦人还在奋斗奉献。|||J’ai une pensée pour nos trois astronautes en mission dans l’espace, pour nos compatriotes en outre-mer qui travaillent avec assiduité, pour les personnels de nos missions diplomatiques et consulaires et de nos entreprises ainsi que nos étudiants à l’étranger qui font preuve d’un grand courage, et pour tous ceux qui œuvrent à la réalisation de leurs rêves.
大家辛苦了，我向大家致以诚挚的新年问候！|||J’applaudis vivement les efforts que vous avez déployés et je souhaite à vous tous une bonne et heureuse année 2022.
让我们一起向未来！|||Travaillons ensemble pour un avenir partagé.
祝福国泰民安！|||Que notre pays jouisse de la prospérité et que notre peuple vive en paix et en harmonie !
