勠力同心，结伴前行，共创中非关系更加美好的明天|||TRAVAILLONS ENSEMBLE À BÂTIR UN AVENIR PLUS RADIEUX POUR LES RELATIONS SINO-AFRICAINES
中国政府向非洲国家提供了多批次紧急抗疫物资和疫苗援助，向非洲15国派遣了抗疫医疗专家组，同38个非洲国家的43个医院开展对口医院合作，培训当地医护人员2万多人次，提前开工建设非洲疾控中心总部，诠释了中非命运共同体的真谛。|||En faveur du continent africain, le gouvernement chinois a fourni plusieurs lots d’aides d’urgence en matériel médical et en vaccins, envoyé des groupes d’experts médicaux à 15 pays, créé des partenariats entre des hôpitaux chinois et 43 hôpitaux de 38 pays, formé plus de 20 000 professionnels de santé et mis en chantier plus tôt que prévu le projet de siège du CDC Afrique, traduisant en actes concrets la vision de la communauté d’avenir partagé Chine-Afrique.
中方积极参与二十国集团缓债倡议，已同19个非洲国家签署缓债协议或达成缓债共识，在中非合作论坛框架内免除15个非洲国家2020年底到期的无息贷款。|||La Chine a pris une part active à l’Initiative du G20 sur la suspension du service de la dette en signant des accords ou en concluant des consensus avec 19 pays africains, et a annulé, dans le cadre du Forum sur la coopération sino-africaine (FCSA), les prêts sans intérêts arrivant à échéance fin 2020 de 15 pays africains.
我们对非洲面临的暂时困难感同身受，对非洲发展前景充满信心。|||Nous mesurons pleinement les difficultés temporaires que traverse l’Afrique et sommes pleinement confiants quant à l’avenir de son développement.
——面对病毒阻隔，我们砥砺前行，推进合作。|||—Face aux contraintes sanitaires, nous avons persévéré dans nos efforts pour promouvoir la coopération.
疫情形势下，中国连续第12年蝉联非洲最大贸易伙伴国，对非直接投资保持平稳发展，2020年达30亿美元，众多中国工程技术人员在非洲坚守岗位，1100多个合作项目坚持运行，为非洲国家复工复产提供有力支持。|||Malgré la COVID-19, la Chine est restée la première partenaire commerciale de l’Afrique pour la douzième année consécutive. Les investissements directs chinois en Afrique se sont maintenus à un niveau stable avec trois milliards de dollars américains en 2020. Grâce aux nombreux ingénieurs et techniciens chinois qui sont restés à leurs postes en Afrique, plus de 1 100 projets de coopération sont toujours en cours de réalisation, apportant un soutien énergique à la reprise de l’activité dans les pays africains.
中非“一带一路”合作不断走深走实，46个非洲国家和非盟委员会同中方签署了合作协议。|||La coopération sino-africaine dans le cadre de l’Initiative « la Ceinture et la Route » n’a cessé de s’approfondir et de donner des résultats concrets, et 46 pays africains et la Commission de l’UA ont signé des documents de coopération avec la Chine.
去年11月，我们隆重庆祝中非合作论坛成立20周年，决心继续擦亮中非合作这一块金字招牌，推动中非合作朝更高质量方向发展。|||En novembre dernier, nous avons célébré solennellement le 20e anniversaire du FCSA et affirmé notre détermination à continuer de promouvoir la coopération sino-africaine déjà exemplaire et à en assurer un développement de plus grande qualité.
目前，2018年论坛北京峰会“八大行动”整体落实率超过85%，600亿美元配套资金有70%投入使用或作出安排，一大批合作项目落地生根，为非洲经济复苏提供有力支撑。|||Jusqu’ici, plus de 85% des mesures des « huit initiatives majeures » annoncées à l’occasion du Sommet de Beijing ont été mises en œuvre, 70% du soutien financier des 60 milliards de dollars américains a été utilisé ou programmé, et un grand nombre de projets de coopération ont été concrétisés, apportant ainsi un soutien solide à la reprise économique africaine.
——面对国际变局，我们主持公道，相互支持。|||—Face aux changements internationaux, nous avons plaidé pour la justice et fait preuve de soutien mutuel.
单边主义、保护主义和霸凌行径严重损害国际公平正义，违背发展中国家共同利益。|||L’unilatéralisme, le protectionnisme et l’intimidation portent gravement atteinte à l’équité et à la justice internationales et vont à l’encontre des intérêts communs des pays en développement.
中非双方高举多边主义旗帜，共同发出反对疫情政治化、反对种族歧视和反对外来干涉的正义之声。|||Portant haut l’étendard du multilatéralisme, la Chine et l’Afrique ont ensemble fait entendre leur voix de justice contre la politisation de l’épidémie, la discrimination raciale et l’ingérence extérieure.
上周，中非双方在联合国安理会“推进非洲疫后重建，消除冲突根源”公开辩论会上共同发起“支持非洲发展伙伴倡议”，这是新形势下中非加强团结协作、共促公平正义的重要体现，也是我们一道为深化全球合作、推进多边主义作出的重要贡献。|||La semaine dernière, la Chine et l’Afrique ont lancé ensemble l’Initiative sur le partenariat pour le développement de l’Afrique à l’occasion du débat public du Conseil de Sécurité des Nations Unies consacré au thème « Paix et sécurité en Afrique : éliminer les causes profondes des conflits dans le relèvement après la pandémie en Afrique ». Il s’agit là d’une illustration importante des efforts de la Chine et de l’Afrique visant à renforcer la solidarité et la coordination et à promouvoir l’équité et la justice dans le nouveau contexte, et d’une contribution majeure qu’elles ont apportée à l’approfondissement de la coopération internationale et à la promotion du multilatéralisme.
各位使节，|||Excellences,
朋友们：|||Chers Amis,
今年对于中非双方都是具有特殊和重要意义的一年。|||Cette année revêt une importance particulière pour la Chine et l’Afrique.
中方将隆重庆祝中国共产党百年华诞，开启全面建设社会主义现代化国家新征程，而新一届中非合作论坛会议则将为中非关系未来发展作出新的规划。|||La Chine organisera des célébrations solennelles pour commémorer le centenaire du Parti communiste chinois et entamera une nouvelle marche vers un pays socialiste moderne sur tous les plans. La prochaine conférence du FCSA définira les nouvelles orientations à suivre pour le développement futur des relations sino-africaines.
站在新的起点上，我愿就开创中非合作新局面提出四点建议：|||Sur le nouveau point de départ, j’aimerais avancer une proposition en quatre points pour ouvrir de nouvelles perspectives à la coopération sino-africaine.
第一，坚持与时俱进，办好新一届论坛会议。|||Premièrement, nous devons être en phase avec notre temps et assurer le succès de la prochaine conférence du FCSA.
我们要发扬共商共建共享的论坛精神，克服疫情影响，立足中非实际，精心筹备会议成果。|||Nous devons poursuivre l’esprit d’amples consultations, de contribution conjointe et de bénéfices partagés dans le cadre du Forum, surmonter les impacts de l’épidémie, nous appuyer sur les réalités de la Chine et de l’Afrique et envisager les résultats à obtenir de la conférence.
我们要继续深化中非“一带一路”合作，推动中非双方发展战略紧密对接。|||Nous devons continuer d’approfondir la coopération dans le cadre de l’Initiative « la Ceinture et la Route » pour associer plus étroitement les stratégies de développement des deux parties.
我们要围绕卫生健康、投资和贸易、工业化、农业安全、气候变化、和平安全、人力资源、数字经济等重点领域，推出有针对性的合作举措，更好造福中非人民。|||Il nous faut prendre des mesures de coopération ciblées dans les domaines prioritaires tels que la santé, l’investissement, le commerce, l’industrialisation, la sécurité alimentaire, la lutte contre le changement climatique, la paix, la sécurité, les ressources humaines et l’économie numérique pour améliorer le bien-être de nos peuples.
中方将同论坛非方共同主席国塞内加尔密切配合，汇集全体非洲国家的智慧，全力确保会议取得成功。|||La Chine travaillera en étroite coopération avec le Sénégal, coprésident du Forum, pour valoriser la sagesse des pays africains et fera tous les efforts en vue du succès de la conférence.
第二，坚持同舟共济，携手早日战胜疫情。|||Deuxièmement, nous devons travailler en solidarité et vaincre au plus tôt la COVID-19.
中方将继续向有需要的非洲国家提供疫苗和抗疫物资援助，为非洲国家在华采购疫苗提供便利，积极推进疫苗联合生产合作。|||La Chine continuera d’apporter des aides en vaccins et en matériel médical aux pays africains qui en ont besoin, facilitera l’acquisition de doses en Chine et promouvra activement la production conjointe de vaccins.
中方明确支持非洲国家豁免疫苗知识产权的诉求，致力于消除“疫苗鸿沟”，愿加快建设非洲疾控中心总部，切实增强非洲整体疫情防控能力。|||Elle soutient sans équivoque l’appel des pays africains à la levée des droits de propriété intellectuelle sur les vaccins, travaille à combler le « fossé vaccinal » et œuvre à accélérer la construction du siège du CDC Afrique, en vue d’aider à renforcer effectivement la capacité de riposte sanitaire de l’ensemble du continent.
第三，坚持共同发展，推动务实合作行稳致远。|||Troisièmement, nous devons promouvoir le développement commun et faire progresser solidement la coopération pragmatique sur le long terme.
我们要以中国构建新发展格局和非洲自贸区正式实施为契机，实施更多高标准、惠民生的合作项目，支持非洲一体化建设，支持非洲工业化进程，支持非洲实现自主可持续发展。|||Nous devons saisir les opportunités offertes par la nouvelle dynamique de développement en Chine et le lancement de la ZLECAf pour mettre en œuvre plus de projets de haut standard au service du bien-être de la population en vue de soutenir l’intégration, l’industrialisation et le développement durable autonome en Afrique.
中方愿鼓励本国企业扩大对非投资贸易，积极进口非洲优质产品。|||La Chine encouragera ses entreprises à élargir leurs investissements et leurs échanges commerciaux avec l’Afrique et à importer activement des produits africains de qualité.
中方将于下半年发布中国对非民间投资报告，推动中非互利合作之路越走越宽广。|||La Chine publiera plus tard cette année un rapport sur les investissements du secteur privé en Afrique et œuvrera à élargir davantage la coopération mutuellement bénéfique sino-africaine.
第四，坚持公平正义，加强国际事务协调配合。|||Quatrièmement, nous devons défendre l’équité et la justice et renforcer la coordination dans les affaires internationales.
我们要共同维护以联合国宪章宗旨和原则为基石的国际关系基本准则，维护联合国在国际事务中的核心作用，坚决反对搞新的集团对抗，反对任何形式的强权政治，践行真正的多边主义，捍卫发展中国家共同利益。|||Nous devons préserver ensemble les normes fondamentales régissant les relations internationales, fondées sur les buts et principes de la Charte des Nations Unies, et défendre le rôle central de l’ONU dans les affaires internationales. Nous devons rejeter fermement les tentatives de créer une nouvelle confrontation des blocs, nous opposer à la politique du plus fort sous toutes ses formes, promouvoir le véritable multilatéralisme et défendre les intérêts communs des pays en développement.
各位使节，|||Excellences,
朋友们：|||Chers Amis,
明天，在场很多使节将赴新疆考察，实地感受新疆的发展进步。|||Demain, beaucoup d’entre vous se rendront au Xinjiang pour voir sur le terrain son développement et ses progrès.
我相信，各位使节通过亲身访问，一定会发现“新疆是个好地方”。|||Je suis sûr qu’à travers cette visite, vous découvrirez que le Xinjiang est une terre merveilleuse.
我也相信，在包括非洲国家在内的国际正义力量的支持下，新疆一定会发展得越来越好。|||Je suis aussi convaincu qu’avec le soutien des pays africains et des autres acteurs engagés pour la justice dans le monde, le Xinjiang aura de plus belles perspectives de développement.
扬帆再起航，阔步新征程。|||Mesdames et Messieurs, la Chine et l’Afrique ont à mettre les voiles pour un nouveau voyage.
中非双方要继续勠力同心，沿着构建中非命运共同体的根本方向，谱写中非友好合作的新篇章！|||Travaillons ensemble à construire une communauté d’avenir partagé Chine-Afrique et à écrire un nouveau chapitre de l’amitié et de la coopération sino-africaines.
最后，祝非洲繁荣昌盛、人民幸福安康！|||Pour terminer, je souhaite prospérité à l’Afrique et bonheur à ses peuples !
祝中非友谊万古长青、中非合作蒸蒸日上！|||Que l’amitié sino-africaine soit éternelle et que la coopération sino-africaine, toujours plus dynamique !
谢谢大家！|||Je vous remercie.
