让多边主义的火炬照亮人类前行之路|||Que le flambeau du multilatéralisme éclaire la marche en avant de l’humanité
要巩固二十国集团作为全球经济治理主要平台的地位，密切宏观经济政策协调，维护全球产业链供应链稳定顺畅，维护全球金融体系稳健运行，推进结构性改革，扩大全球总需求，推动世界经济实现更高质量、更有韧性的发展。|||Nous devons consolider le rôle du G20 en tant que plateforme principale de gouvernance économique mondiale, intensifier la coordination des politiques macroéconomiques, préserver la stabilité et la fluidité des chaînes industrielles et d’approvisionnement mondiales ainsi que la solidité du système financier mondial, promouvoir les réformes structurelles et accroître la demande mondiale, et tout cela pour contribuer à un développement de meilleure qualité et plus résilient de l’économie mondiale.
——我们要坚持以国际法则为基础，不搞唯我独尊。|||Deuxièmement, nous devons préserver le droit international et rejeter la recherche de la suprématie.
中国古人讲：“法者，治之端也。”|||Comme dit un vieil adage chinois, la loi est le fondement même de la gouvernance.
国际社会应该按照各国共同达成的规则和共识来治理，而不能由一个或几个国家来发号施令。|||La gouvernance internationale doit se baser sur les règles et les consensus réalisés par tous, et non suivre l’ordre d’un seul ou de quelques pays.
联合国宪章是公认的国与国关系的基本准则。|||La Charte des Nations Unies définit les normes fondamentales régissant les relations interétatiques universellement reconnues.
没有这些国际社会共同制定、普遍公认的国际法则，世界最终将滑向弱肉强食的丛林法则，给人类带来灾难性后果。|||Sans les règles juridiques internationales élaborées et reconnues par la communauté internationale, notre monde sera dominé par la loi de la jungle et l’humanité en subira les conséquences désastreuses.
我们要厉行国际法治，毫不动摇维护以联合国为核心的国际体系、以国际法为基础的国际秩序。|||Nous devons défendre fermement l’état de droit international et préserver résolument le système international centré sur les Nations Unies et l’ordre international fondé sur le droit international.
多边机构是践行多边主义的平台，也是维护多边主义的基本框架，其权威性和有效性理应得到维护。|||Les institutions multilatérales offrent des plateformes pour traduire en acte le multilatéralisme et le cadre fondamental pour préserver le multilatéralisme. Leur autorité et leur efficacité doivent être sauvegardées.
要坚持通过制度和规则来协调规范各国关系，反对恃强凌弱，不能谁胳膊粗、拳头大谁说了算，也不能以多边主义之名、行单边主义之实。|||Les relations entre les pays doivent être coordonnées et régulées par les institutions et les règles appropriées. Les puissants ne doivent pas malmener les faibles. Les décisions ne doivent pas être prises par celui qui montre ses muscles ou le poing. Le multilatéralisme ne doit pas être utilisé comme prétexte pour entreprendre des actes unilatéraux.
要坚持原则，规则一旦确定，大家都要有效遵循。|||Les principes doivent être respectés et les règles, une fois fixées, doivent être observées par tous.
“有选择的多边主义”不应成为我们的选择。|||Un « multilatéralisme sélectif » ne doit pas être une option.
——我们要坚持协商合作，不搞冲突对抗。|||Troisièmement, nous devons poursuivre les concertations et la coopération et rejeter les conflits et la confrontation.
各国历史文化和社会制度差异不是对立对抗的理由，而是合作的动力。|||Les différences en termes d’histoire, de culture et de système social ne sont pas un prétexte pour se livrer à l’antagonisme ou à la confrontation, mais une impulsion qui nourrit la coopération.
要尊重和包容差异，不干涉别国内政，通过协商对话解决分歧。|||Il faut respecter et concilier les différences, s’abstenir de s’ingérer dans les affaires intérieures d’autrui, et régler les divergences par les consultations et le dialogue.
历史和现实一再告诉我们，当今世界，如果走对立对抗的歧路，无论是搞冷战、热战，还是贸易战、科技战，最终将损害各国利益、牺牲人民福祉。|||L’Histoire et la réalité nous enseignent maintes fois que dans le monde d’aujourd’hui, choisir la mauvaise voie de l’antagonisme et de la confrontation, qu’elle soit sous forme de guerre froide, chaude, commerciale ou technologique, c’est pénaliser les intérêts de tous les pays et le bien-être de tous les peuples.
我们要摒弃冷战思维、零和博弈的旧理念，坚持互尊互谅，通过战略沟通增进政治互信。|||Nous devons rejeter les vieilles mentalités de la guerre froide et du jeu à somme nulle, rester attachés au respect mutuel et à la compréhension réciproque, et renforcer la confiance politique mutuelle par des échanges stratégiques.
要恪守互利共赢的合作观，拒绝以邻为壑、自私自利的狭隘政策，抛弃垄断发展优势的片面做法，保障各国平等发展权利，促进共同发展繁荣。|||Il faut poursuivre la vision de la coopération mutuellement bénéfique, rejeter la recherche des intérêts égoïstes au détriment des autres, renoncer à la pratique unilatérale d’accaparer les avantages de développement et garantir le droit égal au développement de chaque pays, en vue de réaliser le développement partagé et la prospérité commune.
要提倡公平公正基础上的竞争，开展你追我赶、共同提高的田径赛，而不是搞相互攻击、你死我活的角斗赛。|||Nous avons à encourager une concurrence équitable, comme sur un terrain de compétition où l’on rivalise d’excellence, et non comme dans une arène de lutte où l’on se bat.
——我们要坚持与时俱进，不搞故步自封。|||Quatrièmement, nous devons être en phase avec notre temps et rejeter l’immobilisme.
世界正在经历百年未有之大变局，既是大发展的时代，也是大变革的时代。|||Le monde traverse des changements majeurs jamais connus depuis un siècle. C’est le temps pour un grand développement et une grande transformation.
21世纪的多边主义要守正出新、面向未来，既要坚持多边主义的核心价值和基本原则，也要立足世界格局变化，着眼应对全球性挑战需要，在广泛协商、凝聚共识基础上改革和完善全球治理体系。|||Pour porter le multilatéralisme au 21e siècle, nous devons préserver les acquis, ouvrir de nouveaux horizons et nous tourner vers l’avenir. Il nous faut rester fidèles aux valeurs essentielles et aux principes fondamentaux du multilatéralisme. Nous devons également nous adapter à l’évolution de l’échiquier international et nous hisser à la hauteur des défis planétaires pour réformer et perfectionner le système de gouvernance mondiale sur la base d’amples consultations et du consensus.
我们要发挥世界卫生组织作用，构建人类卫生健康共同体。|||Nous devons faire valoir le rôle de l’OMS pour construire une communauté de santé pour tous.
要推进世界贸易组织和国际金融货币体系改革，促进世界经济增长，保障发展中国家发展权益和空间。|||Il faut faire avancer la réforme de l’OMC et du système financier et monétaire international pour dynamiser la croissance mondiale et garantir les droits, intérêts et opportunités de développement des pays en développement.
要秉持以人为中心、基于事实的政策导向，探讨制定全球数字治理规则。|||Nous devons suivre l’orientation centrée autour de l’homme et basée sur les faits pour explorer et élaborer des règles de la gouvernance numérique mondiale.
要落实应对气候变化《巴黎协定》，促进绿色发展。|||Il nous faut appliquer l’Accord de Paris sur le climat et favoriser le développement vert.
要坚持发展优先，落实联合国2030年可持续发展议程，确保各国特别是发展中国家分享全球发展带来的好处。|||Nous devons continuer d’accorder la priorité au développement, mettre en œuvre le Programme de développement durable à l’horizon 2030 des Nations Unies et travailler à ce que tous les pays, notamment les pays en développement, puissent bénéficier des fruits du développement mondial.
女士们，先生们，|||Mesdames et Messieurs,
朋友们：|||Chers Amis,
中国人民经过长期艰苦奋斗，全面建成小康社会胜利在望，脱贫攻坚取得历史性成果，开启了全面建设社会主义现代化国家新征程。|||Par un travail dur et persévérant du peuple chinois, la Chine est sur le point de parachever l’édification intégrale d’une société de moyenne aisance et a obtenu des résultats historiques dans la lutte contre l’extrême pauvreté. Elle entame une nouvelle marche vers la construction d’un pays socialiste moderne sur tous les plans.
我们将立足新发展阶段，贯彻新发展理念，积极构建以国内大循环为主体、国内国际双循环相互促进的新发展格局，同各国一道，共建持久和平、普遍安全、共同繁荣、开放包容、清洁美丽的世界。|||À ce nouveau stade de développement, la Chine mettra en œuvre le nouveau concept de développement et travaillera activement à créer une nouvelle dynamique de développement où la circulation domestique est le pilier principal et que la circulation domestique et la circulation internationale se renforcent mutuellement. Elle œuvrera avec les autres pays à construire un monde de paix durable, de sécurité universelle, de prospérité commune, ouvert, inclusif, propre et beau.
——中国将继续积极参与国际抗疫合作。|||— La Chine continuera de prendre une part active dans la coopération internationale contre la COVID-19.
抗击疫情是国际社会面临的最紧迫任务。|||Combattre l’épidémie est la tâche la plus pressante pour la communauté internationale.
这既是坚持人民至上、生命至上的基本要求，也是稳定恢复经济的基本前提。|||Car le peuple et la vie sont au-dessus de tout. C’est aussi une tâche essentielle pour stabiliser et relancer l’économie.
我们要深化团结合作，加强信息共享和联防联控，坚决打赢全球疫情阻击战。|||Nous devons approfondir la solidarité et la coopération, favoriser le partage d’informations et renforcer la réponse collective pour vaincre le virus dans le monde.
特别是要加强疫苗研发、生产、分配合作，让疫苗真正成为各国人民用得上、用得起的公共产品。|||L’accent doit être mis sur le renforcement de la coopération en matière de R&D, de production et de distribution des vaccins pour en faire un bien public véritablement accessible et abordable pour tous les peuples.
中国迄今已向150多个国家和13个国际组织提供抗疫援助，为有需要的国家派出36个医疗专家组，积极支持并参与疫苗国际合作。|||La Chine a jusqu’ici accordé de l’aide à plus de 150 pays et 13 organisations internationales et envoyé 36 groupes d’experts médicaux aux pays qui en avaient besoin. Elle soutient et s’engage activement dans la coopération internationale sur les vaccins.
中国将继续同各国分享疫情防控有益经验，向应对疫情能力薄弱的国家和地区提供力所能及的帮助，促进疫苗在发展中国家的可及性和可负担性，助力世界早日彻底战胜疫情。|||La Chine continuera de partager ses expériences avec les autres pays, de faire de son mieux pour aider les pays et régions dont les capacités sanitaires sont insuffisantes, et de promouvoir l’accessibilité et l’abordabilité des vaccins dans les pays en développement. Nous espérons que ces efforts pourront contribuer à une victoire rapide et complète sur l’épidémie dans le monde.
——中国将继续实施互利共赢的开放战略。|||— La Chine continuera d’appliquer la stratégie d’ouverture mutuellement bénéfique.
经济全球化是社会生产力发展的客观要求和科技进步的必然结果，利用疫情搞“去全球化”、搞封闭脱钩，不符合任何一方利益。|||La mondialisation économique répond à l’impératif de l’accroissement de la productivité sociale et est la conséquence logique du progrès scientifique et technologique. Utiliser l’épidémie comme un prétexte pour prôner la « démondialisation », la fermeture et le découplage n’est dans l’intérêt de personne.
中国始终支持经济全球化，坚定实施对外开放基本国策。|||La Chine soutient depuis toujours la mondialisation économique et poursuit résolument sa politique fondamentale d’ouverture sur l’extérieur.
中国将继续促进贸易和投资自由化便利化，维护全球产业链供应链顺畅稳定，推进高质量共建“一带一路”。|||Elle continuera de favoriser la libéralisation et la facilitation du commerce et de l’investissement, de sauvegarder le bon fonctionnement et la stabilité des chaînes industrielles et d’approvisionnement mondiales, et de promouvoir la coopération de qualité dans le cadre de l’Initiative « la Ceinture et la Route ».
中国将着力推动规则、规制、管理、标准等制度型开放，持续打造市场化、法治化、国际化营商环境，发挥超大市场优势和内需潜力，为各国合作提供更多机遇，为世界经济复苏和增长注入更多动力。|||La Chine veillera à promouvoir une ouverture institutionnelle en termes de règles, de régulation, de gestion et de normes, poursuivra ses efforts pour créer un climat d’affaires conforme aux principes du marché, à la législation et aux normes internationales, et valorisera le potentiel de son marché immense et de sa demande domestique. Ces efforts permettront d’offrir plus d’opportunités de coopération aux autres pays et d’injecter une plus grande impulsion à la reprise et à la croissance de l’économie mondiale.
——中国将继续促进可持续发展。|||— La Chine continuera de promouvoir le développement durable.
中国将全面落实联合国2030年可持续发展议程。|||Elle mettra en œuvre intégralement le Programme de développement durable à l’horizon 2030 des Nations Unies.
中国将加强生态文明建设，加快调整优化产业结构、能源结构，倡导绿色低碳的生产生活方式。|||Elle travaillera à renforcer la construction de la civilisation écologique par l’accélération de l’optimisation de sa structure industrielle et de son mix énergétique, et la promotion des modes de production et de vie verts et sobres en carbone.
我已经宣布，中国力争于2030年前二氧化碳排放达到峰值、2060年前实现碳中和。|||Comme je l’ai annoncé, la Chine s’efforcera d’atteindre le pic des émissions de CO2 avant 2030 et la neutralité carbone d’ici 2060.
实现这个目标，中国需要付出极其艰巨的努力。|||Réaliser ces objectifs nécessite des efforts extrêmement durs.
我们认为，只要是对全人类有益的事情，中国就应该义不容辞地做，并且做好。|||Mais nous estimons que quand il s’agit de l’intérêt de l’humanité tout entière, la Chine a le devoir de s’engager dans l’action et de mener à bien le travail.
中国正在制定行动方案并已开始采取具体措施，确保实现既定目标。|||Des plans d’action sont en élaboration et des mesures spécifiques ont été prises pour assurer la réalisation des objectifs fixés.
中国这么做，是在用实际行动践行多边主义，为保护我们的共同家园、实现人类可持续发展作出贡献。|||La Chine, par ces efforts concrets, porte le multilatéralisme et contribue à la protection de notre foyer commun et au développement durable de l’humanité.
——中国将继续推进科技创新。|||— La Chine continuera de favoriser la science, la technologie et l’innovation.
科技创新是人类社会发展的重要引擎，是应对许多全球性挑战的有力武器，也是中国构建新发展格局、实现高质量发展的必由之路。|||La science, la technologie et l’innovation sont un moteur important pour le progrès de l’humanité, une arme puissante face à de nombreux défis planétaires et la voie incontournable pour la Chine de mettre en place une nouvelle dynamique de développement et réaliser un développement de qualité.
中国将加大科技投入，狠抓创新体系建设，加速科技成果向现实生产力转化，加强知识产权保护，推动实现依靠创新驱动的内涵型增长。|||La Chine accroîtra les investissements dans la science et la technologie, redoublera d’efforts dans la construction du système d’innovation, accélérera la conversion des acquis de recherche en productivité réelle, et renforcera la protection des droits de propriété intellectuelle pour réaliser une croissance de meilleure qualité tirée par l’innovation.
科技成果应该造福全人类，而不应该成为限制、遏制其他国家发展的手段。|||Les progrès scientifiques et technologiques doivent contribuer au bien-être de toute l’humanité et ne doivent jamais servir d’instruments pour freiner et empêcher le développement des autres pays.
中国将以更加开放的思维和举措推进国际科技交流合作，同各国携手打造开放、公平、公正、非歧视的科技发展环境，促进互惠共享。|||La Chine fera avancer les échanges et coopérations internationaux dans ces domaines avec une plus grande ouverture d’esprit et davantage de mesures d’ouverture. Elle travaillera avec les autres pays à construire un environnement ouvert, juste, équitable et non discriminatoire pour le développement scientifique et technologique au bénéfice de tous.
——中国将继续推动构建新型国际关系。|||— La Chine continuera de promouvoir un nouveau type de relations internationales.
你输我赢、赢者通吃不是中国人的处世哲学。|||La mentalité du jeu à somme nulle et du « gagnant prend tout » n’est pas dans la philosophie des Chinois.
中国坚定奉行独立自主的和平外交政策，努力以对话弥合分歧、以谈判化解争端，在相互尊重、平等互利基础上，积极发展同各国友好合作关系。|||La Chine poursuit fermement la politique étrangère d’indépendance et de paix, travaille à aplanir les divergences par le dialogue et à régler les différends par les négociations, et développe activement ses relations d’amitié et de coopération avec les autres pays sur la base du respect mutuel, de l’égalité et du bénéfice mutuel.
作为发展中国家的坚定一员，中国将不断深化南南合作，为发展中国家消除贫困、缓解债务压力、实现经济增长作出贡献。|||Membre déterminé des pays en développement, la Chine œuvrera à l’approfondissement continu de la coopération Sud-Sud et contribuera à l’effort des pays en développement pour réduire la pauvreté, alléger le fardeau de la dette et réaliser la croissance économique.
中国将更加积极地参与全球经济治理，推动经济全球化朝着更加开放、包容、普惠、平衡、共赢的方向发展。|||Elle prendra une part plus active à la gouvernance économique mondiale et travaillera à une mondialisation économique plus ouverte, plus inclusive, plus équilibrée et bénéfique pour tous.
女士们，先生们，|||Mesdames et Messieurs,
朋友们！|||Chers Amis,
人类只有一个地球，人类也只有一个共同的未来。|||Il n’y a qu’une Terre et qu’un avenir partagé pour l’humanité.
无论是应对眼下的危机，还是共创美好的未来，人类都需要同舟共济、团结合作。|||Pour surmonter les crises actuelles et construire un meilleur avenir, nous devons rester unis et travailler ensemble.
实践一再证明，任何以邻为壑的做法，任何单打独斗的思路，任何孤芳自赏的傲慢，最终都必然归于失败！|||Comme les faits l’ont maintes fois démontré, pratiquer le chacun pour soi, faire cavalier seul et faire montre d’une arrogance narcissique sont voués à l’échec.
让我们携起手来，让多边主义火炬照亮人类前行之路，向着构建人类命运共同体不断迈进！|||Travaillons donc main dans la main pour que le flambeau du multilatéralisme éclaire notre marche en avant vers une communauté d’avenir partagé pour l’humanité.
谢谢大家。|||Je vous remercie.
