为建设更加美好的地球家园贡献智慧和力量|||AVEC NOTRE SAGESSE ET NOTRE FORCE, ŒUVRONS À LA CONSTRUCTION D’UN MONDE MEILLEUR
两年前，我在联合国日内瓦总部演讲时，发出“世界怎么了、我们怎么办”之问。|||Il y a deux ans, dans mon discours à l’Office des Nations Unies à Genève, j’ai posé les questions suivantes : Où en est le monde ? Que devons-nous faire ?
当今世界正面临百年未有之大变局，和平与发展仍然是时代主题，同时不稳定性不确定性更加突出，人类面临许多共同挑战。|||Le monde d’aujourd’hui connaît des changements jamais vus depuis un siècle. La paix et le développement restent toujours le thème de notre époque. Et en même temps, le monde est confronté à des instabilités et des incertitudes accrues et l’humanité fait face à de multiples défis communs.
法国有句谚语说：“人的命运掌握在自己的手里。”|||Chacun est l’artisan de son sort, dit un proverbe français.
面对严峻的全球性挑战，面对人类发展在十字路口何去何从的抉择，各国应该有以天下为己任的担当精神，积极做行动派、不做观望者，共同努力把人类前途命运掌握在自己手中。|||Face aux graves défis planétaires, et face au choix que l’humanité doit faire à cette croisée des chemins, les différents pays doivent faire preuve de sens d’engagement, passer à l’action au lieu de rester dans l’observation et maîtriser l’avenir et le destin de l’humanité.
第一，坚持公正合理，破解治理赤字。|||Premièrement, adopter une approche juste et raisonnable pour remédier au déficit de gouvernance.
全球热点问题此起彼伏、持续不断，气候变化、网络安全、难民危机等非传统安全威胁持续蔓延，保护主义、单边主义抬头，全球治理体系和多边机制受到冲击。|||Les dossiers brûlants internationaux surgissent l’un après l’autre. Les défis sécuritaires non-conventionnels tels que le changement climatique, la cybersécurité et la crise des réfugiés continuent à se propager. Les tentations du protectionnisme et de l’unilatéralisme se multiplient. Et la gouvernance mondiale et le système multilatéral sont mis à mal.
我们要坚持共商共建共享的全球治理观，坚持全球事务由各国人民商量着办，积极推进全球治理规则民主化。|||Nous devons rester fidèles au concept dit d’« amples consultations, contribution conjointe et bénéfices partagés » en matière de gouvernance mondiale, préconiser les consultations entre les peuples du monde lorsqu’il s’agit des affaires mondiales et promouvoir activement la démocratisation des règles de la gouvernance mondiale.
我们要继续高举联合国这面多边主义旗帜，充分发挥世界贸易组织、国际货币基金组织、世界银行、二十国集团、欧盟等全球和区域多边机制的建设性作用，共同推动构建人类命运共同体。|||Nous devons continuer à porter haut levé l’étendard du multilatéralisme que représentent les Nations Unies, faire jouer pleinement le rôle constructif des mécanismes multilatéraux internationaux et régionaux tels que l’OMC, le FMI, la Banque mondiale, le G20 et l’Union européenne et construire ensemble la communauté de destin pour l’humanité.
第二，坚持互商互谅，破解信任赤字。|||Deuxièmement, préconiser les consultations et la compréhension mutuelle pour remédier au déficit de confiance.
信任是国际关系中最好的黏合剂。|||La confiance est le meilleur adhésif dans les relations internationales.
当前，国际竞争摩擦呈上升之势，地缘博弈色彩明显加重，国际社会信任和合作受到侵蚀。|||Actuellement, la compétition et les frictions sur le plan international s’accentuent et sont de plus en plus marquées par les bras de fer géopolitiques, affaiblissant la confiance et la coopération entre les membres de la communauté internationale.
我们要把互尊互信挺在前头，把对话协商利用起来，坚持求同存异、聚同化异，通过坦诚深入的对话沟通，增进战略互信，减少相互猜疑。|||Nous devons préconiser le respect mutuel et la confiance réciproque et mettre en valeur le dialogue et la consultation. Il convient de chercher les terrains d’entente par-delà les divergences, de renforcer la confiance stratégique mutuelle et de diminuer la méfiance par des dialogues francs et approfondis.
要坚持正确义利观，以义为先、义利兼顾，构建命运与共的全球伙伴关系。要加强不同文明交流对话，加深相互理解和彼此认同，让各国人民相知相亲、互信互敬。|||Il convient de poursuivre le concept de la recherche du plus grand bien et des intérêts partagés pour construire un partenariat mondial où l’on partage heur et malheur. Il convient de renforcer les échanges et le dialogue entre les différentes civilisations afin d’approfondir la compréhension et l’acceptation réciproques, et de promouvoir la connaissance, le rapprochement, la confiance et le respect entre tous les peuples du monde.
当前中欧关系中合作是主流，即使有竞争，也应是良性竞争。|||La coopération représente l’aspect principal des relations Chine-Europe d’aujourd’hui. La compétition, s’il en existe, doit être une compétition positive.
我们要相互信任，并肩前行。|||Nous devons nous témoigner mutuellement de confiance et aller ensemble de l’avant.
第三，坚持同舟共济，破解和平赤字。|||Troisièmement, poursuivre la coopération pour remédier au déficit de paix.
人类今天所处的安全环境仍然堪忧，地区冲突和局部战争持续不断，恐怖主义仍然猖獗，不少国家民众特别是儿童饱受战火摧残。|||L’environnement sécuritaire dans lequel l’humanité se trouve aujourd’hui reste inquiétant. Les conflits régionaux et guerres locales perdurent. Le terrorisme continue à sévir et des populations civiles, des enfants en particulier, souffrent de la guerre. Nous devons adopter le nouveau concept de sécurité commune, globale, coopérative et durable, rejeter les vieilles mentalités de la guerre froide et du jeu à somme nulle et la loi de la jungle.
我们要秉持共同、综合、合作、可持续的新安全观，摒弃冷战思维、零和博弈的旧思维，摒弃弱肉强食的丛林法则，以合作谋和平、以合作促安全，坚持以和平方式解决争端，反对动辄使用武力或以武力相威胁，反对为一己之私挑起事端、激化矛盾，反对以邻为壑、损人利己，各国一起走和平发展道路，实现世界长久和平。|||Et nous devons valoriser la coopération en vue de la réalisation de la paix et de la sécurité. Il convient de régler les différends par des moyens pacifiques et de s’opposer au recours pour un rien à la force et à la menace par la force. Nous devons nous opposer à la tentative de provoquer des conflits ou d’attiser des tensions pour ses intérêts égoïstes et de rechercher son propre profit, quitte à nuire aux autres. Les pays du monde doivent s’engager ensemble sur la voie du développement pacifique pour réaliser la paix durable dans le monde.
第四，坚持互利共赢，破解发展赤字。|||Quatrièmement, chercher toujours les bénéfices partagés pour remédier au déficit de développement.
经济全球化是推动世界经济增长的引擎。|||La mondialisation économique est un moteur de la croissance mondiale.
当前，逆全球化思潮正在发酵，保护主义的负面效应日益显现，收入分配不平等、发展空间不平衡已成为全球经济治理面临的最突出问题。|||Aujourd’hui, les reflux anti-mondialisation montent et les effets négatifs du protectionnisme commercial ne cessent de se faire sentir. Les disparités de revenus et le déséquilibre en matière d’espace de développement sont déjà devenus les problèmes les plus aigus qui se posent à la gouvernance économique mondiale.
我们要坚持创新驱动，打造富有活力的增长模式；坚持协同联动，打造开放共赢的合作模式；坚持公平包容，打造平衡普惠的发展模式，让世界各国人民共享经济全球化发展成果。|||Nous devons faire de l’innovation le moteur du développement pour trouver un mode de croissance dynamique, renforcer la coordination pour créer un mode de coopération ouverte et gagnant-gagnant et faire valoir l’équité et l’inclusion pour bâtir un mode de développement équilibré et bénéfique à tous, de sorte que la mondialisation économique bénéficie à tous les peuples du monde.
中国支持对世界贸易组织进行必要的改革，更好建设开放型世界经济，维护多边贸易体制，引导经济全球化更加健康发展。|||La Chine soutient une réforme nécessaire de l’OMC pour mieux bâtir une économie mondiale ouverte, préserver le système commercial multilatéral et promouvoir un développement plus sain de la mondialisation économique.
“一带一路”倡议丰富了国际经济合作理念和多边主义内涵，为促进世界经济增长、实现共同发展提供了重要途径。|||L’Initiative « la Ceinture et la Route » a enrichi les concepts de la coopération économique mondiale et le multilatéralisme, et offre une voie importante permettant de promouvoir la croissance de l’économie mondiale et de réaliser le développement commun.
我们欢迎包括法国在内的世界各国积极参与到共建“一带一路”中来。|||La France et les autres pays du monde sont les bienvenus dans la réalisation de cette initiative.
女士们、先生们、朋友们！|||Mesdames et Messieurs, Chers Amis,
中法友谊源远流长。|||La Chine et la France sont liées par une amitié qui remonte loin dans le temps.
今年是中法建交55周年。|||Cette année marque le 55e anniversaire des relations diplomatiques sino-françaises.
两国已经开展了许多战略性合作，还有很大合作空间。|||Notre coopération stratégique, qui s’est déjà déployée dans de nombreux domaines, recèle de grandes potentialités.
正如法国朋友所说，不登上埃菲尔铁塔，就看不到巴黎最美的风景。新形势下，我们应登高望远，面向未来，加强合作。|||Tout comme c’est sur la Tour Eiffel qu’on a la meilleure vue sur Paris, nous devons, dans ce nouveau contexte, prendre de la hauteur pour nous tourner vers l’avenir et travailler à renforcer notre coopération.
我们要深化核能、航空航天、农业食品、医疗卫生、汽车制造等传统领域合作，加快推动绿色制造、数字经济、人工智能、金融服务、城市可持续发展等新兴领域合作，加强气候变化合作，全面落实《巴黎协定》，推动今年联合国气候峰会取得积极成果，为两国人民和各国人民谋福祉。|||Nous devons approfondir notre coopération dans les domaines traditionnels comme le nucléaire civil, l’aérospatiale, l’agroalimentaire, la santé et la construction automobile, accélérer celle dans les secteurs d’avenir tels que la fabrication verte, l’économie numérique, l’intelligence artificielle, les services financiers et le développement durable en milieu urbain, et renforcer notre coopération sur le changement climatique en mettant en œuvre sur tous les plans l’Accord de Paris et faire aboutir le Sommet des Nations Unies sur le Climat à des résultats positifs, et ce pour le bien-être de nos deux peuples et de celui de tous les peuples du monde.
女士们，先生们，朋友们："|||Mesdames et Messieurs, Chers Amis,
历史发展、文明繁盛、人类进步，从来离不开思想引领。|||Le développement de l’Histoire, la prospérité des civilisations et le progrès de l’humanité ne sont jamais possibles sans l’orientation et l’impulsion des pensées avancées.
中法全球治理论坛将为两国共同参与和推进全球治理提供有力智力支撑。|||Le séminaire offrira à la Chine et à la France un fort appui intellectuel à leur participation et à l’impulsion qu’elles donneront ensemble à la gouvernance mondiale.
我希望，中法双方及相关各方保持对话渠道畅通，以交流促合作，以合作促共赢，携手为建设更加美好的地球家园贡献智慧和力量！|||J’espère que nos deux pays, de même que toutes les parties concernées, maintiendront la fluidité des canaux de dialogue et poursuivront leurs échanges pour réaliser la coopération gagnant-gagnant et apporter leur sagesse et leur force à l’avènement d’un monde meilleur.
谢谢大家。|||Je vous remercie.
