同舟共济克时艰，命运与共创未来|||SURMONTER ENSEMBLE LES DÉFIS ET BÂTIR L’AVENIR PARTAGÉ POUR TOUS
战疫仍在进行，胜利终将到来。|||La lutte contre la COVID-19 se poursuit, et nous finirons par la vaincre.
我们要坚持人民至上、生命至上，加强信息共享和联防联控，提升卫生医疗合作水平，充分发挥世界卫生组织关键作用。|||Nous devons placer le peuple et la vie au-dessus de tout, renforcer le partage des informations et les actions collectives, assurer une meilleure coopération sanitaire et médicale et valoriser pleinement le rôle clé de l’OMS.
要加强疫苗研发、生产、分配国际合作，提高疫苗在发展中国家的可及性和可负担性，让各国人民真正用得上、用得起。|||Il nous faut intensifier la coopération internationale sur la R&D, la production et la distribution des vaccins et renforcer leur accessibilité et abordabilité dans les pays en développement de sorte que tous les peuples puissent en bénéficier effectivement.
要全面加强全球公共卫生安全治理，共同构建人类卫生健康共同体。|||Il est important de renforcer sur tous les plans la gouvernance mondiale de la santé publique, et de construire ensemble une communauté de santé pour tous.
要坚持绿色发展理念，共同推进应对气候变化国际合作，加大落实应对气候变化《巴黎协定》。|||Nous devons porter la vision du développement vert, promouvoir la coopération internationale contre le changement climatique et mieux mettre en œuvre l’Accord de Paris sur le climat.
要坚持共同但有区别的责任原则，解决发展中国家在资金、技术、能力建设方面的关切。|||Il nous faut poursuivre le principe des responsabilités communes mais différenciées et répondre aux préoccupations des pays en développement en matière de fonds, de technologies et de renforcement des capacités.
——我们要坚守正义，开创互尊互鉴的未来。|||— Nous devons poursuivre la justice pour créer un avenir marqué par le respect mutuel et l’inspiration mutuelle.
多样性是世界的基本特征，也是人类文明的魅力所在。|||La diversité est ce qui caractérise le monde et fait le charme de la civilisation humaine.
经历了疫情洗礼，各国人民更加清晰地认识到，要摒弃冷战思维和零和博弈，反对任何形式的“新冷战”和意识形态对抗。|||La COVID-19 a rappelé aux peuples du monde l’importance de rejeter la mentalité de la guerre froide et du jeu à somme nulle et de s’opposer à toute forme de « nouvelle guerre froide » et de confrontation idéologique.
国与国相处，要把平等相待、互尊互信挺在前面，动辄对他国颐指气使、干涉内政不得人心。|||Dans les relations interétatiques, l’égalité, le respect et la confiance mutuels doivent prévaloir. Imposer sa volonté aux autres ou s’ingérer dans les affaires intérieures d’autrui ne trouveront aucun soutien.
要弘扬和平、发展、公平、正义、民主、自由的全人类共同价值，倡导不同文明交流互鉴，促进人类文明发展。|||Nous devons faire rayonner les valeurs communes de l’humanité, à savoir la paix, le développement, l’équité, la justice, la démocratie et la liberté, et promouvoir les échanges et l’inspiration mutuelle entre les différentes civilisations pour faire progresser la civilisation humaine.
在此，我宣布，中方将在疫情得到控制后即举办第二届亚洲文明对话大会，为促进亚洲和世界文明对话发挥积极作用。|||J’annonce à cette occasion que la Chine organisera la deuxième Conférence sur le dialogue des civilisations asiatiques dès que l’épidémie aura été maîtrisée, pour contribuer activement au dialogue des civilisations en Asie et dans le monde.
女士们，先生们，|||Mesdames et Messieurs,
朋友们！|||Chers Amis,
我多次说过，“一带一路”是大家携手前进的阳光大道，不是某一方的私家小路。|||Comme je l’ai rappelé à différentes occasions, l’Initiative « la Ceinture et la Route » est une voie ouverte à tous, et non un sentier privé d’une seule partie.
所有感兴趣的国家都可以加入进来，共同参与、共同合作、共同受益。|||Tous les pays qui s’y intéressent sont les bienvenus à nous rejoindre pour participer à la coopération et en bénéficier.
共建“一带一路”追求的是发展，崇尚的是共赢，传递的是希望。|||La coopération dans le cadre de cette initiative vise le développement, préconise le bénéfice mutuel et porte le message d’espoir.
面向未来，我们将同各方继续高质量共建“一带一路”，践行共商共建共享原则，弘扬开放、绿色、廉洁理念，努力实现高标准、惠民生、可持续目标。|||Dans l’avenir, nous continuerons de travailler avec les différentes parties à une meilleure coopération dans le cadre de l’Initiative « la Ceinture et la Route ». Nous poursuivrons le principe d’amples consultations, de contribution conjointe et de bénéfices partagés, porterons la vision d’une coopération ouverte, verte et intègre, et œuvrerons à une coopération de haut standard, au service du bien-être des peuples et marquée par la soutenabilité.
——我们将建设更紧密的卫生合作伙伴关系。|||— Nous bâtirons un partenariat plus étroit pour la santé.
中国企业已经在印度尼西亚、巴西、阿联酋、马来西亚、巴基斯坦、土耳其等共建“一带一路”伙伴国开展疫苗联合生产。|||Des entreprises chinoises ont lancé dans le cadre de l’Initiative la production conjointe de vaccins dans des pays partenaires dont l’Indonésie, le Brésil, les Émirats arabes unis, la Malaisie, le Pakistan et la Turquie.
我们将在传染病防控、公共卫生、传统医药等领域同各方拓展合作，共同护佑各国人民生命安全和身体健康。|||Nous élargirons la coopération avec différentes parties en matière de prévention et de contrôle des maladies infectieuses, de santé publique, de médecine traditionnelle et autres pour protéger ensemble la vie et la santé de tous.
——我们将建设更紧密的互联互通伙伴关系。|||— Nous bâtirons un partenariat plus étroit pour la connectivité.
中方将同各方携手，加强基础设施“硬联通”以及规则标准“软联通”，畅通贸易和投资合作渠道，积极发展丝路电商，共同开辟融合发展的光明前景。|||La Chine travaillera avec différentes parties pour renforcer la connectivité en matière d’infrastructures et de règles et normes, fluidifier les canaux de coopération en matière de commerce et d’investissement et promouvoir activement l’e-commerce « Route de la Soie », de sorte à ouvrir ensemble de belles perspectives pour le développement intégré.
——我们将建设更紧密的绿色发展伙伴关系。|||— Nous bâtirons un partenariat plus étroit pour le développement vert.
加强绿色基建、绿色能源、绿色金融等领域合作，完善“一带一路”绿色发展国际联盟、“一带一路”绿色投资原则等多边合作平台，让绿色切实成为共建“一带一路”的底色。|||Nous renforcerons la coopération en matière d’infrastructures vertes, d’énergie verte et de finance verte, et perfectionnerons, dans le cadre de l’Initiative « la Ceinture et la Route », la Coalition internationale du développement vert, les Principes d’investissement vert et d’autres plateformes de coopération multilatérale, pour faire du développement vert une caractéristique fondamentale de la coopération dans le cadre de l’Initiative « la Ceinture et la Route ».
——我们将建设更紧密的开放包容伙伴关系。|||— Nous bâtirons un partenariat plus étroit pour l’ouverture et l’inclusion.
世界银行有关报告认为，到2030年，共建“一带一路”有望帮助全球760万人摆脱极端贫困、3200万人摆脱中度贫困。|||Selon un rapport de la Banque mondiale, la coopération dans le cadre de l’Initiative « la Ceinture et la Route » pourrait aider à sortir 7,6 millions de personnes de l’extrême pauvreté et 32 millions de personnes de la pauvreté modérée dans le monde à l’horizon 2030.
我们将本着开放包容精神，同愿意参与的各相关方共同努力，把“一带一路”建成“减贫之路”、“增长之路”，为人类走向共同繁荣作出积极贡献。|||Nous œuvrons avec toutes les parties qui souhaitent y prendre part, dans un esprit d’ouverture et d’inclusion, à faire de « la Ceinture et la Route » une voie vers moins de pauvreté et plus de croissance, en vue de contribuer activement à la prospérité commune de l’humanité.
女士们，先生们，|||Mesdames et Messieurs,
朋友们！|||Chers Amis,
2021年，是中国共产党成立100周年。|||L’année 2021 marque le centenaire du Parti communiste chinois (PCC).
100年来，中国共产党筚路蓝缕、求索奋进，为中国人民谋幸福，为中华民族谋复兴，为世界谋大同，不仅使中华民族迎来了从站起来、富起来到强起来的伟大飞跃，也为人类文明和进步事业作出了卓越贡献。|||Au cours des cent ans écoulés, le PCC a œuvré inlassablement, en bravant d’innombrables difficultés, au bonheur du peuple chinois, au renouveau de la nation chinoise et à l’intérêt général du monde entier. Ses efforts ont permis à la nation chinoise de réaliser la grande transformation passant d’une nation qui s’est relevée à une nation riche puis à une nation plus puissante, et apporté par là une contribution remarquable au progrès de la civilisation humaine.
中国将继续做世界和平的建设者、全球发展的贡献者、国际秩序的维护者。|||La Chine demeurera bâtisseur de la paix mondiale, contributeur au développement dans le monde et défenseur de l’ordre international.
中国将始终高举和平、发展、合作、共赢旗帜，在和平共处五项原则基础上拓展同各国友好合作，积极推动构建新型国际关系。|||La Chine continuera de porter haut l’étendard de la paix, du développement et de la coopération gagnant-gagnant, et travaillera, sur la base des Cinq Principes de la Coexistence pacifique, à promouvoir les relations d’amitié et de coopération avec les différents pays et à construire activement le nouveau type de relations internationales.
中国将继续同世界卫生组织以及各国开展抗疫合作，坚守疫苗作为全球公共产品的承诺，为发展中国家战胜疫情提供更多帮助。|||Elle poursuivra la coopération avec l’OMS et les autres pays dans la lutte contre la COVID-19, continuera d’honorer son engagement de faire des vaccins un bien public mondial, et travaillera davantage à aider les pays en développement à vaincre le virus.
中国无论发展到什么程度，永远不称霸、不扩张、不谋求势力范围，不搞军备竞赛。|||Quel que soit son niveau de développement, la Chine ne prétendra jamais à l’hégémonie, à l’expansion ou à la conquête de sphère d’influence ni ne se livrera à la course aux armements.
中国将积极参与贸易和投资领域多边合作，全面实施《外商投资法》和相关配套法规，继续缩减外资准入负面清单，推进海南自由贸易港建设，推动建设更高水平开放型经济新体制。|||Elle prendra une part active à la coopération multilatérale en matière de commerce et d’investissement, mettra en application intégralement la loi sur les investissements étrangers et les règlements en la matière, raccourcira encore davantage la liste négative pour les investissements étrangers, et œuvrera au développement du Port de libre-échange de Hainan, en vue de construire un nouveau système de l’économie ouverte plus performante.
欢迎各方分享中国市场的巨大机遇。|||Nous serons heureux de partager avec toutes les parties les vastes opportunités offertes par le marché chinois.
女士们，先生们，|||Mesdames et Messieurs,
朋友们：|||Chers Amis,
同舟共济扬帆起，乘风破浪万里航。|||En hissant ensemble les voiles, nous pouvons braver les vents et les vagues pour un voyage de dix mille miles.
尽管有时会遭遇惊涛骇浪和逆流险滩，但只要我们齐心协力、把准航向，人类社会发展的巨轮必将行稳致远，驶向更加美好的未来！|||Il peut nous arriver de rencontrer vagues et écueils, mais, tant que nous œuvrons dans la solidarité et tenons bien le cap, le navire géant qu’est le développement de l’humanité avancera solidement vers un avenir encore plus radieux.
谢谢大家。|||Je vous remercie.
