2021年中国外交：|||LA DIPLOMATIE CHINOISE EN 2021 :
一年来，最坚定的指引是元首外交，最鲜明的旗帜是构建人类命运共同体，最突出的题目是讲好中国人民和中国共产党的故事，最显著的风格是科学应变、积极进取。|||Pour la diplomatie chinoise de cette année, le guide le plus solide est la diplomatie de Chef d’État, l’étendard le plus distinct est la construction de la communauté d’avenir partagé pour l’humanité, le thème le plus marquant est de raconter les histoires du peuple chinois et du PCC, et le style le plus remarquable est de répondre aux changements dans un esprit scientifique et d’initiative.
归结为一条主线：在复杂博弈中服务民族复兴，在风云激荡中推进和平发展。|||Tous nos efforts sont guidés par un fil conducteur : servir le renouveau de la nation face à une situation complexe et poursuivre le développement pacifique dans un monde changeant.
主要体现在九个方面：|||Notre action s’est notamment déployée dans les neuf domaines suivants :
第一，面对世纪疫情延宕反复，我们开展卓有成效的抗疫外交，彰显说到做到的大国担当。|||Premièrement, face à la propagation et à la résurgence d’une épidémie inédite depuis un siècle, nous avons mené une diplomatie fructueuse autour de la lutte sanitaire et montré le sens des responsabilités d’un grand pays qui honore ses engagements.
全球疫情夺走530多万鲜活生命，携手抗疫是国际社会当务之急。|||La COVID-19 a fait plus de 5,3 millions de morts dans le monde. Répondre collectivement au défi sanitaire est une tâche pressante de la communauté internationale.
中国不仅以国内动态清零打造了防控疫情的样板，而且以加强国际合作树立了团结抗疫的标杆。|||La Chine a non seulement été référence dans la riposte sanitaire avec ses capacités de contrôler les nouvelles infections une fois détectées, mais aussi donné un bel exemple de réponse solidaire au virus avec ses efforts de renforcement de la coopération internationale.
我们以实际行动，开辟冲破疫情至暗时刻的前行之路。|||Par des actions concrètes, nous nous sommes frayé un chemin pour surmonter l’heure la plus sombre dans la lutte contre le virus.
我们明确全球抗疫的正确方向。|||Nous avons montré la bonne direction à suivre pour la lutte internationale contre l’épidémie.
从世界卫生大会到全球健康峰会，从联合国讲坛到双边通话会晤，习近平主席在关键时刻倡导全球疫苗合作行动，发起“一带一路”疫苗合作伙伴关系倡议，带领中国始终站在国际抗疫合作“第一方阵”，秉持疫苗公共产品“第一属性”，担当疫苗公平分配“第一梯队”。这同个别国家热衷政治操弄、破坏团结抗疫形成了鲜明对照。|||De l’Assemblée mondiale de la Santé au Sommet mondial sur la Santé, de la tribune des Nations Unies aux entretiens bilatéraux téléphoniques ou en visioconférence, le Président Xi Jinping a lancé, à des moments cruciaux, l’Initiative pour l’action mondiale de coopération sur les vaccins et l’Initiative pour le partenariat « la Ceinture et la Route » sur les vaccins. Sous sa conduite, la Chine s’est toujours battue en première ligne de la coopération internationale contre le virus, a toujours travaillé à ce que les vaccins soient avant tout un bien public mondial et déployé des efforts considérables pour la distribution équitable des vaccins, en contraste saisissant avec certains pays qui ont multiplié des manipulations politiques et entraves à la solidarité face au virus.
我们为战胜病毒提供有力武器。|||Nous avons fourni des armes puissantes pour vaincre le virus.
中国最早承诺将新冠疫苗作为全球公共产品，最早支持疫苗知识产权豁免，最早同发展中国家开展疫苗生产合作，迄今已向120多个国家和国际组织提供近20亿剂疫苗，占中国以外全球疫苗使用总量的三分之一，成为对外提供疫苗最多的国家。|||La Chine est parmi les premiers à prendre l’engagement de faire des vaccins contre la COVID-19 un bien public mondial, à soutenir la levée des droits de propriété intellectuelle sur les vaccins et à développer la coopération sur la production de vaccins avec les pays en développement. Elle a fourni jusqu’ici près de deux milliards de doses de vaccins à plus de 120 pays et organisations internationales, qui représentent un tiers des doses de vaccins utilisées hors de la Chine, devenant le plus grand fournisseur de vaccins au reste du monde.
在有的国家超量囤积疫苗、大搞“疫苗民族主义”背景下，中国疫苗成为“人民的疫苗”、“世界的疫苗”、“可及的疫苗”，给世界带来了希望。|||Dans le contexte où certains pays accaparent massivement des vaccins et se livrent sans scrupule au « nationalisme vaccinal », les vaccins chinois, « vaccins des peuples », « vaccins du monde » et « vaccins accessibles », sont une source d’espoir pour le monde.
我们为发展中国家雪中送炭。|||Nous avons apporté du soutien aux pays en développement qui en ont besoin.
“疫苗鸿沟”成为当前战胜疫情最大阻碍，低收入国家只有5%的人口完全接种疫苗。|||Le « fossé vaccinal » constitue aujourd’hui le plus grand obstacle pour la lutte contre la COVID-19. Seulement 5% de la population des pays à faible revenu est complètement vaccinée.
习近平主席心系发展中国家，响应非盟制定的非洲60%接种率目标，宣布中国再向非洲提供10亿剂疫苗，包括无偿援助6亿剂；启动“中国东盟健康之盾”，再向东盟国家援助1.5亿剂疫苗；|||Le Président Xi Jinping, ayant à cœur les autres pays en développement et en réponse à l’objectif de l’Union Africaine (UA) de vacciner 60% de la population africaine, a annoncé la décision de la Chine de fournir un milliard de doses supplémentaires à l’Afrique, dont 600 millions sous forme de don. Il a proposé de travailler avec l’ASEAN pour créer un « Bouclier de la santé », avec la fourniture de 150 millions de doses de vaccins supplémentaires aux pays de l’ASEAN.
明确未来3年内提供30亿美元，用于发展中国家抗疫和恢复发展。|||Il a annoncé également que la Chine fournirait trois milliards de dollars américains dans les trois ans à venir pour soutenir la lutte sanitaire et la reprise dans les autres pays en développement.
我们还支持中国企业向发展中国家转让技术，同19国合作生产疫苗，让疫苗跨越山海，跑赢病毒。|||Nous soutenons également les entreprises chinoises dans le transfert de technologies vers les autres pays en développement, et nous avons mené une coopération avec 19 pays sur la production de vaccins pour que les vaccins puissent être déployés au-delà des montagnes et des océans et gagner la course contre le virus.
我们为病毒溯源合作正本清源。|||Nous avons opté pour une approche coopérative sur l’identification des origines du virus.
新冠病毒是人类共同的敌人，政治病毒是疫情肆虐的帮凶。|||Le nouveau coronavirus est l’ennemi commun de l’humanité, et le virus politique est complice de sa propagation.
中国积极参与全球科学溯源，同世卫组织发布联合专家组溯源报告，体现了公开、透明的合作态度。|||La Chine a pris une part active aux efforts mondiaux de l’identification scientifique des origines du virus et publié avec l’Organisation mondiale de la Santé (OMS) un rapport conjoint sur les origines du virus, témoignant par là son attitude ouverte et transparente dans cette coopération.
个别国家借病毒溯源之名，行政治攻击之实，不仅破坏了国际抗疫努力，也放纵了病毒的滋生蔓延。|||Certains pays, au nom de l’identification des origines du virus, se sont livrés à des attaques politiques qui ont porté atteinte aux efforts internationaux contre le virus et aggravé la propagation de l’épidémie.
全球80多个国家致函世卫组织反对溯源政治化，中国2500多万网民联署呼吁世卫组织调查美国德特里克堡生物实验室。|||Plus de 80 pays ont écrit à l’OMS pour exprimer leur opposition à la politisation de la question du traçage du virus, et plus de 25 millions d’internautes chinois ont signé une pétition appelant l’OMS à enquêter sur le laboratoire biologique de Fort Detrick.
反对疫情政治化、病毒污名化、溯源工具化已成为国际共识。|||S’opposer à la politisation de l’épidémie, à la stigmatisation du virus et à l’instrumentalisation de l’identification des origines du virus fait désormais consensus dans le monde.
无论是新冠病毒还是政治病毒，最终都将被人类所战胜。|||Le nouveau coronavirus de même que le virus politique finiront par être vaincus par l’humanité.
第二，面对全球发展多重风险，我们为经济复苏注入新动力，为共同发展提供新机遇。|||Deuxièmement, face aux multiples risques qui pèsent sur le développement mondial, nous avons injecté une nouvelle vitalité à la reprise économique et offert de nouvelles opportunités pour le développement commun.
发展是人类永恒的追求，复苏是各国共同的任务。|||Le développement est l’aspiration permanente de l’humanité. Réaliser la reprise est la mission commune de tous les pays.
当前，全球经济复苏脆弱曲折，通胀、债务、能源、供应链危机相互交织，减贫成果严重侵蚀，南北鸿沟不断拉大，实现联合国2030年可持续发展议程任重道远。|||Actuellement, la reprise de l’économie mondiale reste fragile et sinueuse. Les crises de l’inflation, de la dette, de l’énergie et des chaînes d’approvisionnement s’entremêlent. Les fruits de la lutte contre la pauvreté sont sérieusement compromis. Le fossé entre le Nord et le Sud ne cesse de se creuser. La concrétisation du Programme de développement durable à l’horizon 2030 des Nations Unies a encore un long chemin à parcourir.
一年来，我们抓住发展这个总钥匙，致力于更加强劲、绿色、健康的全球发展。|||Depuis un an, nous avons axé nos efforts sur le développement en tant que clé à tout problème pour réaliser un développement mondial plus fort, plus vert et plus sain.
习近平主席郑重提出全球发展倡议，以增进人民福祉、实现人的全面发展为出发点，对接联合国2030年可持续发展议程，把减贫、粮食安全、抗疫和疫苗、发展筹资、气候变化和绿色发展、工业化、数字经济、互联互通作为重点合作领域，期待就此形成国际合力，为落实2030年可持续发展议程注入新的动力。|||Le Président Xi Jinping a avancé solennellement l’Initiative pour le Développement mondial. Cette initiative, ayant pour but de promouvoir le bien-être des peuples et de réaliser le plein épanouissement de l’homme, s’articule avec le Programme de développement durable à l’horizon 2030 des Nations Unies et définit comme priorités de coopération la réduction de la pauvreté, la sécurité alimentaire, la riposte sanitaire et les vaccins, le financement du développement, le changement climatique et le développement vert, l’industrialisation, l’économie numérique et l’interconnexion, dans la perspective de former une synergie à l’échelle internationale et de donner une nouvelle impulsion à la mise en œuvre du Programme.
这一重大倡议是中方为促进全球发展事业提供的中国方案，已得到联合国机构等国际组织以及近百个国家的响应和支持。|||Cette initiative majeure est la solution chinoise pour promouvoir le développement mondial, et elle a reçu un écho favorable et le soutien des organisations internationales dont des organes des Nations Unies et de près de cent pays dans le monde.
一年来，我们扩大高水平对外开放，有力带动世界经济复苏进程。|||Depuis un an, nous avons élargi l’ouverture de haut niveau et donné une forte impulsion à la reprise de l’économie mondiale.
2021年是中国加入世贸组织20周年。|||Cette année marque le 20e anniversaire de l’adhésion de la Chine à l’Organisation mondiale du Commerce.
从博鳌到达沃斯，从服贸会到进博会，习近平主席宣布一系列扩大开放新举措，以更短的负面清单、更优的营商环境、更大力度的制度型开放，同世界各国分享中国发展机遇。|||Du Forum de Boao pour l’Asie au Forum économique mondial à Davos, en passant par la Foire internationale du Commerce des Services de Chine (CIFTIS) et l’Exposition internationale d’Importation de la Chine (CIIE), le Président Xi Jinping a annoncé une série de nouvelles mesures visant une plus grande ouverture, avec des listes négatives plus courtes, un meilleur environnement d’affaires et une plus grande ouverture institutionnelle, pour partager avec les autres pays les opportunités offertes par le développement de la Chine.
第四届进博会参展国别、企业数量双提升，127个国家和地区、近3000家企业参展，彰显中国超大规模市场的吸引力。|||La quatrième CIIE, à laquelle les nombres record de 127 pays et régions et près de 3 000 entreprises ont participé, a montré l’attractivité du gigantesque marché de la Chine.
再过11天，《区域全面经济伙伴关系协定》即将生效，全球覆盖人口最多、发展潜力最大的自贸区正式启航。|||Avec l’entrée en vigueur de l’Accord du Partenariat économique régional global (RCEP) dans 11 jours, la zone de libre-échange la plus peuplée et la plus prometteuse dans le monde sera officiellement lancée.
我们还申请加入《全面与进步跨太平洋伙伴关系协定》和《数字经济伙伴关系协定》，在保护主义逆风中迈出开放合作新步伐，带来全球复苏新利好。|||Nous avons également déposé la demande pour l’adhésion à l’Accord du Partenariat transpacifique global et progressiste (CPTPP) et à l’Accord du Partenariat sur l’économie numérique (DEPA), pour franchir de nouveaux pas dans l’ouverture et la coopération face aux pratiques anachroniques du protectionnisme et apporter une nouvelle contribution à la reprise mondiale.
2021年也是共建“一带一路”克难前行的一年。|||2021 a été aussi une année de progrès pour la coopération dans le cadre de l’Initiative « la Ceinture et la Route » malgré des difficultés.
第三次“一带一路”建设座谈会擘画新蓝图，前10个月中国与“一带一路”合作伙伴货物贸易额逆势增长23%，中欧班列开行量货运量逆风跑出加速度。|||Le troisième Séminaire sur l’Initiative « la Ceinture et la Route » a dressé de nouvelles perspectives pour cette coopération. Le volume du commerce des biens entre la Chine et ses partenaires de l’Initiative a augmenté de 23% pour les dix premiers mois de 2021, et les lignes de fret Chine-Europe ont vu le nombre de convois et le volume de fret s’accroître rapidement.
中老铁路正式开通运营，实现了老挝人民多年来“变陆锁国为陆联国”的梦想。|||Le chemin de fer Chine-Laos a été mis en service, permettant au peuple lao de réaliser son rêve ancien de voir son pays enclavé devenir un pays connecté.
在144个国家和32个国际组织共同支持下，“一带一路”正在成为造福世界的“富裕带”，惠及人民的“幸福路”。|||Grâce au soutien de 144 pays et 32 organisations internationales, l’Initiative « la Ceinture et la Route » est en train de devenir une « ceinture de prospérité » pour le monde et une « route de bonheur » pour les peuples des pays partenaires.
第三，面对真伪多边主义的较量，我们高举真正多边主义的火炬，坚决维护联合国权威和国际秩序稳定。|||Troisièmement, face à la compétition entre le véritable multilatéralisme et le pseudo-multilatéralisme, nous avons porté haut le flambeau du véritable multilatéralisme et défendu fermement l’autorité des Nations Unies et la stabilité de l’ordre international.
今年我们隆重纪念新中国恢复在联合国合法席位50周年。|||Cette année, nous avons célébré solennellement le 50e anniversaire du rétablissement de la Chine nouvelle dans son siège légitime aux Nations Unies.
中国重返联合国，是改变世界的大事件，也是多边主义的再出发。|||Le retour de la Chine aux Nations Unies est un grand événement qui a changé le monde et marqué un nouveau point de départ pour le multilatéralisme.
50年来，中国为实现联合国理想不懈努力，已经成为促进世界和平发展的中坚力量。|||Au cours des 50 ans écoulés, la Chine a déployé des efforts inlassables pour la réalisation des idéaux des Nations Unies, devenant un pilier dans la promotion de la paix et du développement dans le monde.
同时我们看到，个别国家打着多边主义旗号，搞拉帮结派的“小圈子”；标榜所谓“基于规则的秩序”，把自己的“家规”强加给国际社会；声称“不搞新冷战”，却处处以意识形态划线。|||Dans le même temps, nous avons vu qu’un certain pays cherchait à monter des « petits cercles » sous le couvert du multilatéralisme, à imposer ses « règles domestiques » à la communauté internationale en prônant le prétendu « ordre fondé sur des règles » et à diviser le monde par le clivage idéologique tout en prétendant « ne pas chercher une nouvelle Guerre froide ».
对此，习近平主席旗帜鲜明地指出，世界上只有一个体系，就是以联合国为核心的国际体系；只有一个秩序，就是以国际法为基础的国际秩序；只有一套规则，就是以联合国宪章为基础的国际关系基本准则。|||Face à ces actes, le Président Xi Jinping a clairement indiqué qu’il n’y avait qu’un seul système international, celui centré sur les Nations Unies, qu’un seul ordre international, celui fondé sur le droit international et qu’un ensemble de règles, à savoir les normes fondamentales régissant les relations internationales basées sur la Charte des Nations Unies.
我们在国际、地区、双边各层面密集发声，剥去各种伪多边主义的画皮，反映各国人民的共同心声，推动全球治理秉持共商共建共享原则，朝着国际关系民主化的方向不断改革完善。|||Nous avons fait entendre notre voix aux niveaux multilatéral, régional et bilatéral, dévoilé le visage caché du pseudo-multilatéralisme, et reflété les aspirations communes des peuples du monde pour que la gouvernance mondiale se réforme et se perfectionne sans cesse, conformément au principe d’amples consultations, de contribution conjointe et de bénéfices partagés, dans le sens de la démocratisation des relations internationales.
针对有的国家打着“民主人权”旗号干涉别国内政，炮制“民主对抗威权”的伪命题，我们坚持弘扬全人类共同价值，阐释中国全过程人民民主的成功实践，提出人民是否满意才是衡量民主的终极标准。|||Face à ceux qui s’ingèrent dans les affaires intérieures d’autrui au nom de la démocratie et des droits de l’homme et provoquent un faux débat sur « la démocratie contre l’autoritarisme », nous avons porté les valeurs communes de l’humanité, présenté les pratiques réussies de la démocratie du peuple dans tout le processus en Chine et avancé le critère ultime de la démocratie, à savoir la satisfaction du peuple.
我们在多边讲坛和双边对话中激浊扬清，守护真正的民主精神，树立正确的民主观，让一切唯我独尊的“民主”、高人一等的“民主”现出原形。|||Sur les tribunes multilatérales comme dans des dialogues bilatéraux, nous avons fait entendre la voix de la justice, préservé le vrai esprit démocratique et travaillé à la promotion d’une vision juste de la démocratie. Nous avons dévoilé le vrai visage de certaines formes de démocratie qui se prétendent supérieures aux autres.
在这场真假民主的大讨论中，反对垄断民主定义权、反对以意识形态分裂世界，正在成为各国人民的共同呼声。|||Dans ce grand débat sur les vraies et fausses démocraties, dire non au monopole de la définition de la démocratie et à la division du monde par des clivages idéologiques est en train de devenir l’appel de tous les peuples.
第四，面对世界格局深刻演变，我们推动大国关系总体稳定发展，努力构建新型国际关系。|||Quatrièmement, face aux mutations profondes de l’échiquier mondial, nous avons œuvré au développement globalement stable des relations entre les grands pays et à l’instauration d’un nouveau type de relations internationales.
大国对国际关系具有重要影响，对世界和平稳定负有特殊责任，更需要展现大格局、肩负大担当。|||Les grands pays exercent une influence majeure sur les relations internationales, assument des responsabilités particulières pour la paix et la stabilité dans le monde et doivent, plus que les autres pays, faire preuve d’une hauteur de vue et d’un grand sens des responsabilités.
中国积极探索并大力推动构建总体稳定、均衡发展的大国关系框架。|||La Chine a exploré et travaillé énergiquement à la mise en place d’un cadre de relations entre grands pays marqué par la stabilité globale et le développement équilibré.
中俄新时代全面战略协作迈上新高度。|||La coordination stratégique globale de la nouvelle ère entre la Chine et la Russie a été portée à une nouvelle hauteur.
中俄隆重纪念《中俄睦邻友好合作条约》签署20周年，习近平主席和普京总统正式宣布条约延期，凸显了双方互为战略依托、互为发展机遇、互为全球伙伴的坚定决心。|||Les deux pays ont commémoré solennellement le 20e anniversaire de la signature du Traité de bon voisinage et de coopération d’amitié sino-russe. Le Président Xi Jinping et le Président Vladimir Poutine ont annoncé officiellement la reconduction du Traité, montrant par là la détermination ferme des deux parties à rester l’une pour l’autre appui stratégique, opportunité de développement et partenaire mondial.
一年来，中俄元首4次会晤通话，保持密切战略沟通。|||Durant l’année écoulée, les deux Chefs d’État ont eu quatre entretiens téléphoniques ou en visioconférence et sont restés en étroite coordination stratégique.
中俄携手抗疫为两国人民传统友谊打上时代“高光”，各领域互利合作为各自创新发展提供有力支撑，双方围绕国际和地区热点的战略协调给充满不确定性的世界注入更多稳定性，“中俄力量”成为国际公平正义的中流砥柱。|||La lutte solidaire sino-russe contre la COVID-19 a donné un nouvel éclat à l’amitié traditionnelle entre les deux peuples. La coopération mutuellement bénéfique dans divers domaines a fourni un appui énergique au développement innovant de part et d’autre. La coordination stratégique entre les deux pays sur les dossiers internationaux et régionaux brûlants ont apporté plus de stabilité à un monde plein d’incertitudes. La force Chine-Russie constitue désormais un pilier de l’équité et de la justice internationales.
在两国元首引领下，中俄关系经受各种考验，焕发勃勃生机，树立了大国战略互信的典范、邻国互利合作的典范、新型国际关系的典范。|||Sous l’orientation des deux Chefs d’État, les relations sino-russes ont résisté aux épreuves de toutes sortes, rayonnent de vitalité et constituent un modèle de la confiance stratégique mutuelle entre grands pays, de la coopération gagnant-gagnant entre pays voisins et des relations internationales de type nouveau.
“中俄组合”团结如山。|||Le partenariat Chine-Russie est solide comme des montagnes.
不论国际形势如何变化，中俄世代友好的初心不会改变，合作共赢的目标不会改变，捍卫和平的决心不会改变。|||Quelle que soit l’évolution de la situation internationale, l’engagement initial de la Chine et de la Russie pour une amitié éternelle ne changera pas. Leur objectif d’une coopération mutuellement bénéfique ne changera pas. Leur détermination à défendre la paix ne changera pas.
中美探索相互尊重、平等交往的新范式。|||La Chine et les États-Unis ont exploré un nouveau modèle de relations marqué par le respect mutuel et les échanges sur un pied d’égalité.
年初以来，习近平主席应约同拜登总统两次通话，近期又举行首次视频会晤。|||Depuis le début de l’année, le Président Xi Jinping a eu deux entretiens téléphoniques avec le Président Joe Biden à la demande de ce dernier. Ils ont eu récemment leur premier entretien en visioconférence.
习近平主席全面阐述中方对中美关系的原则立场，明确提出相互尊重、和平共处、合作共赢的战略框架，为两国关系的健康稳定发展把舵引航。|||Le Président Xi Jinping a présenté intégralement la position de principe de la Chine sur les relations sino-américaines et clairement avancé la proposition d’un cadre stratégique marqué par le respect mutuel, la coexistence pacifique et la coopération gagnant-gagnant, donnant l’orientation à suivre pour un développement sain et stable des relations sino-américaines.
双方外交代表在安克雷奇、天津、苏黎世、罗马等多个场合深入沟通，中方点出影响中美关系的症结和要害所在，亮明“三条底线”、打出“两份清单”。|||Les représentants diplomatiques des deux parties ont eu des échanges approfondis à Anchorage, à Tianjin, à Zurich, à Rome et dans d’autres enceintes. La partie chinoise a précisé le nœud et les problèmes essentiels des relations sino-américaines, tracé clairement trois lignes rouges et avancé deux listes de préoccupations clé.
强调中国不承认这个世界上还有高人一等的国家，美国应当改掉动辄干涉中国内政的老毛病。|||Nous avons souligné que pour la Chine, aucun pays n’était supérieur aux autres et que les États-Unis devaient abandonner leur vieille habitude de s’ingérer arbitrairement dans les affaires intérieures de la Chine.
要求美方不得挑战中国的道路和制度，不得阻挠中国的发展进程，不得侵犯中国的主权和领土完整。|||Nous avons demandé aux États-Unis de s’abstenir de défier la voie et le système de la Chine, d’entraver son processus de développement et de porter atteinte à sa souveraineté et à son intégrité territoriale.
经过不懈努力，被非法拘押一千多天的孟晚舟女士平安回国，有力伸张了公道正义。|||Grâce à nos efforts inlassables, Mme Meng Wanzhou est rentrée saine et sauve en Chine, après plus de 1 000 jours de détention illégale. C’est la victoire de la justice.
美方亦表示，愿与中国相互尊重，和平共处，加强沟通，管控分歧，美国不寻求改变中国体制、不寻求通过强化同盟关系反对中国，无意同中国发生冲突。|||La partie américaine a de sa part exprimé la volonté d’œuvrer avec la Chine sur la base du respect mutuel et de la coexistence pacifique, à mener le dialogue et à gérer les divergences. Elle a affirmé qu’elle ne cherchait pas à changer le système de la Chine, que la revitalisation de ses alliances n’était pas anti-Chine et qu’elle n’avait pas l’intention d’entrer en conflit avec la Chine.
一年来的折冲和交锋再次说明，中美关系之所以遭遇严重困难与多重挑战，根本原因在于美方对中国和中美关系作出了战略误判。|||Ce qui s’est passé depuis un an démontre une fois de plus que les graves difficultés et les multiples défis rencontrés par les relations sino-américaines sont au fond dus aux erreurs d’appréciation stratégique de la partie américaine sur la Chine et les relations sino-américaines.
美方一些人内心不愿承认别的国家也有发展的权利，不愿接受中国不断壮大进步的事实，不愿认同中美可以实现互利共赢的道理，试图拉帮结伙对中国进行围堵打压。|||Certains aux États-Unis refusent de reconnaître que les autres pays ont aussi le droit au développement, d’accepter le fait de la montée en puissance de la Chine, et d’admettre que la Chine et les États-Unis peuvent réaliser une coopération gagnant-gagnant. Ils cherchent à monter des alliances pour encercler et attaquer la Chine.
美方的错误言行不仅严重损害两国人民利益，也严重冲击世界和平稳定。|||Les paroles et actes erronés de la partie américaine ont porté gravement atteinte aux intérêts des peuples chinois et américain et aussi donné un coup dur à la paix et à la stabilité dans le monde.
对此，中方的态度一贯而且明确：要对话可以，但应当平等；要合作欢迎，但应当互惠；要竞争无妨，但应当良性；要对抗不惧，将奉陪到底。|||Face à cette situation, l’attitude de la Chine est constante et claire : nous sommes ouverts au dialogue, mais il doit être mené sur un pied d’égalité ; nous sommes favorables à la coopération, mais elle doit être mutuellement bénéfique ; la concurrence ne nous pose pas problème, mais elle doit être vertueuse ; la confrontation ne nous fait pas peur et nous nous battrons jusqu’au bout.
合则两利，斗则俱伤。|||La Chine et les États-Unis ont tout à gagner dans la coopération et tout à perdre dans la confrontation.
这是中美半个多世纪交往得出的最主要经验教训，今后的历史必将继续证明这一真理。|||C’est l’enseignement le plus important que nous avons tiré de plus de 50 ans d’échanges sino-américains, et l’histoire continuera de prouver cette vérité.
希望美方切实把两国领导人达成的共识落到实处，践行承诺，取信于人，同中方一道探索两个大国的和平共处之道。|||Nous espérons que la partie américaine traduira effectivement en actes le consensus des dirigeants des deux pays, honorera ses engagements pour gagner la confiance des autres et explorera ensemble avec nous une voie de coexistence pacifique entre les deux grands pays.
中欧全面战略伙伴关系在挑战中取得新进展。|||Le partenariat global stratégique Chine-UE a réalisé de nouveaux progrès en relevant les défis.
习近平主席两度主持中法德领导人视频峰会，中国—中东欧国家领导人视频峰会成功召开。|||Le Président Xi Jinping a présidé deux fois le Sommet Chine-France-Allemagne en visioconférence. Le Sommet Chine-PECO en visioconférence s’est tenu avec succès.
中欧地理标志协定正式生效，比雷埃夫斯港、匈塞铁路等“一带一路”标志性项目稳步推进，中欧经济利益融合不断加深。|||L’Accord Chine-UE sur les indications géographiques est officiellement entrée en vigueur. Des projets emblématiques dans le cadre de l’Initiative « la Ceinture et la Route » comme le port du Pirée et le chemin de fer Hongrie-Serbie ont avancé de manière solide. L’imbrication des intérêts économiques entre la Chine et l’Europe n’a cessé de s’approfondir.
中欧在维护多边主义、加强全球治理等领域存在广泛共识，在应对气候变化、共同抗击疫情等方面取得积极成果。|||Les deux parties ont une large convergence de vues sur les sujets tels que la préservation du multilatéralisme et le renforcement de la gouvernance mondiale. Elles ont enregistré des résultats encourageants dans la lutte contre le changement climatique et la réponse collective à la COVID-19.
尽管中欧历史文化、社会制度、发展阶段不同，但共同利益远大于分歧。|||Malgré les différences en termes d’histoire, de culture, de système de société et de stade de développement, les intérêts communs entre la Chine et l’Europe dépassent largement leurs divergences.
