习近平同俄罗斯总统普京举行视频会晤|||Le Président Xi Jinping s’est entretenu en visioconférence avec le Président russe Vladimir Poutine
我对我们的“冬奥之约”十分期待，愿同你携手“一起向未来”，共同开启后疫情时期中俄关系崭新篇章。|||Affirmant ses grandes attentes du « rendez-vous aux Jeux Olympiques d’hiver », il s’est dit prêt à travailler avec le Président Poutine « pour un avenir partagé » et pour ouvrir ensemble de nouveaux chapitres dans les relations sino-russes dans l’après-COVID-19.
习近平指出，不久前，中共十九届六中全会胜利召开，会议通过并发表了一个新的历史决议，全面总结中国共产党百年奋斗重大成就和历史经验。|||Le Président Xi Jinping a indiqué que le 6e plénum du XIXe Comité central du PCC s’était tenu avec succès il y a quelque temps et avait adopté et publié une nouvelle résolution historique pour dresser un bilan global des réalisations importantes et des expériences historiques des cent ans de lutte du PCC.
我常说，我们的目标很宏伟，也很朴素，归根结底就是让全体中国人民都过上好日子。|||« Comme je l’ai dit souvent, a-t-il affirmé, notre objectif est à la fois grand et simple. Il s’agit au fond de donner une vie meilleure à tous les Chinois.
以人民为中心是我们的根本执政理念。|||Placer le peuple au cœur des préoccupations est notre vision fondamentale de la gouvernance. »
中俄两国都是具有世界影响的大国，也都找到了符合本国国情的发展道路。|||Le Président Xi Jinping a souligné que la Chine et la Russie étaient deux grands pays d’influence mondiale et avaient toutes trouvé une voie de développement adaptée à leurs conditions nationales.
中方将一如既往坚定支持俄方为维护国家长治久安所作的努力。我愿经常同你坦诚深入交流治国理政经验，共同引领中俄关系持续高水平发展，引领两国实现民族复兴。|||Il a affirmé la volonté de la Chine de continuer de soutenir fermement la Russie dans ses efforts visant à préserver la stabilité nationale à long terme, et son souhait de poursuivre les échanges réguliers, sincères et approfondis sur les expériences de gouvernance avec le Président Poutine pour donner ensemble des orientations pour le développement soutenu et de haut niveau des relations sino-russes et conduire les deux pays à réaliser leur renouveau national.
习近平指出，当前，国际上某些势力打着“民主”、“人权”的幌子对中俄两国内政横加干涉，粗暴践踏国际法和公认的国际关系准则。|||Le Président Xi Jinping a indiqué que certaines forces s’ingéraient arbitrairement dans les affaires intérieures de la Chine et de la Russie sous le couvert de la « démocratie » et des « droits de l’homme » et bafouaient grossièrement le droit international et les normes régissant les relations internationales universellement reconnues.
中俄双方要开展更多联合行动，更加有效维护双方的安全利益。|||Il a invité les deux parties à multiplier les actions conjointes et à préserver plus efficacement leurs intérêts sécuritaires.
双方要加强在国际事务中的协调和配合，在全球治理上发出更加响亮的声音，就抗疫、气候变化等全球性问题拿出切实可行的方案，在解决国际和地区热点问题中坚定捍卫国际公平正义，坚决反对披着“多边主义”和“规则”外衣的霸权行径和冷战思维。|||Il a souligné la nécessité pour les deux pays de renforcer la coordination et la collaboration dans les affaires internationales, de faire entendre une voix plus retentissante sur la gouvernance mondiale, de proposer des solutions efficaces aux questions planétaires telles que la COVID-19 et le changement climatique, de défendre résolument l’équité et la justice internationales dans le règlement des dossiers brûlants internationaux et régionaux, et de rejeter fermement les actes hégémoniques et la mentalité de la guerre froide sous le couvert du « multilatéralisme » et des « règles ».
习近平指出，去年以来，中俄积极开展抗疫合作，生动诠释了守望相助的双边关系内涵，也为推动国际社会团结抗疫、构建人类卫生健康共同体作出了积极贡献。|||Le Président Xi Jinping a indiqué que depuis l’année dernière, la Chine et la Russie avaient développé activement une coopération contre la COVID-19, donnant une belle illustration de la solidarité et de l’entraide dans les relations sino-russes et contribuant considérablement à la lutte solidaire de la communauté internationale contre l’épidémie et à la construction d’une communauté de santé pour tous.
双方要多想办法，相向而行，在严防疫情跨境传播前提下，落地更多疏通“堵点”的实际举措。|||Il a invité les deux parties à explorer de nouvelles pistes et à travailler dans le même sens pour mettre en place davantage de mesures concrètes afin d’éliminer les « goulots d’étranglement » tout en prévenant strictement la propagation transfrontalière du virus.
我们也愿加强同俄方在病毒检测、疫苗和药物研发方面的合作对接。|||Il a également affirmé la volonté de la partie chinoise de renforcer la coopération avec la partie russe sur le dépistage du virus ainsi que la recherche et développement des vaccins et médicaments.
习近平指出，新形势下，双方要共享发展机遇，做大合作蛋糕。|||Le Président Xi Jinping a indiqué que face à la nouvelle situation, les deux pays devaient partager les opportunités de développement et agrandir le gâteau de la coopération.
抓住新一轮科技革命和产业变革机遇，加快前沿科技产业合作。|||Il a souligné l’importance pour les deux parties de saisir les opportunités offertes par la nouvelle vague de révolution technologique et de transformation industrielle pour accélérer la coopération industrielle sur les technologies d’avant-garde.
中俄能源合作基础牢固，契合点多，双方要巩固传统能源合作存量，补充新能源合作增量，推进核能领域一揽子合作，探讨拓展可再生能源等新合作方向。|||Rappelant que la coopération énergétique entre les deux pays repose sur un fondement solide et une grande complémentarité, il a appelé les deux parties à consolider les partenariats traditionnels existants, à renforcer la coopération dans les énergies nouvelles, à faire avancer la coopération globale dans le nucléaire et à explorer de nouvelles pistes de coopération sur les énergies renouvelables.
习近平指出，今年9月，我在第七十六届联合国大会上提出全球发展倡议。|||Le Président Xi Jinping a rappelé l’Initiative pour le Développement mondial qu’il avait avancée en septembre dernier lors de la 76e session de l’Assemblée générale des Nations Unies.
这是中方着眼各方特别是新兴市场国家和发展中国家面临的市场挑战，致力于落实联合国2030年可持续发展议程提供的又一全球公共产品。|||Cette Initiative, a-t-il dit, est un nouveau bien public mondial que la Chine a proposé dans le but de favoriser la mise en œuvre du Programme de développement durable à l’horizon 2030 des Nations Unies en tenant compte des défis de marchés auxquels font face les différentes parties, surtout les pays émergents et les pays en développement.
中方愿同俄方加强合作，为完善全球治理、推进全球发展事业发挥作用。|||Il a affirmé la volonté de la Chine de renforcer la coopération avec la Russie pour contribuer au perfectionnement de la gouvernance mondiale et à la promotion de la cause du développement mondial.
关于地区合作，习近平指出，上海合作组织成立20年来，中俄始终保持高水平战略协作，同其他成员国一道坚定遵循“上海精神”，不断增进团结互信，深入开展各领域合作。|||Sur la coopération régionale, le Président Xi Jinping a affirmé que depuis la création de l’Organisation de Coopération de Shanghai (OCS) il y a 20 ans, la Chine et la Russie avaient toujours maintenu une coordination stratégique de haut niveau et travaillé avec les autres pays membres pour poursuivre fermement l’esprit de Shanghai, renforcer sans cesse la solidarité et la confiance mutuelle et approfondir la coopération dans tous les domaines.
双方要支持本组织各成员国平稳推进国内重要政治议程，决不允许外部势力以任何借口干涉地区国家内政。|||Il a insisté sur la nécessité pour les deux pays de soutenir les autres pays membres de l’organisation dans leurs efforts visant à faire avancer solidement les importants agendas politiques intérieurs et l’impératif de rejeter les ingérences dans les affaires intérieures des pays de la région par les forces extérieures sous quelque prétexte que ce soit.
要牢牢把握上海合作组织发展正确方向，走团结合作、安危共担、开放融通、互学互鉴、公平正义之路。|||Il a indiqué qu’il fallait tenir fermement le cap du développement de l’OCS, et poursuivre la voie de la solidarité et de la coopération, de la sécurité commune, de l’ouverture et de l’intégration, de l’inspiration mutuelle, de l’équité et de la justice.
中方愿继续同俄方和集体安全条约组织成员国开展灵活多样的合作，维护地区安全和稳定。|||La Chine, a-t-il dit, est prête à poursuivre la coopération flexible et multiforme avec la Russie et les autres pays membres de l’Organisation du Traité de sécurité collective pour préserver la sécurité et la stabilité dans la région.
关于金砖合作，习近平指出，中方将于明年担任金砖国家主席国，主办领导人第十四次会晤等活动。|||Sur la coopération des BRICS, le Président Xi Jinping a indiqué que la Chine assurerait la présidence des BRICS et tiendrait le 14e Sommet des BRICS l’année prochaine.
我们愿同俄方保持高水平战略协作，推动金砖国家全面深化各领域合作。|||Il a affirmé la volonté de la Chine de maintenir la coordination stratégique de haut niveau avec la Russie et d’encourager les pays des BRICS à approfondir leur coopération sur tous les plans.
倡导践行真正的多边主义，支持多边贸易体制，建设开放型世界经济。|||Il a souligné l’importance de porter le véritable multilatéralisme, de soutenir le système commercial multilatéral et de construire une économie mondiale ouverte.
抓好金砖务实合作，深化公共卫生合作，拓展“金砖+”模式，扩大金砖合作的受益范围。|||Il faut, a-t-il poursuivi, œuvrer à la coopération pragmatique, approfondir la coopération sur la santé publique, promouvoir le format de coopération « BRICS Plus » et élargir les bénéfices de la coopération des BRICS.
我相信，在中俄共同努力下，明年的金砖合作一定能够取得积极成果。|||Il s’est dit convaincu que grâce aux efforts conjugués de la Chine et de la Russie, la coopération des BRICS donnera certainement des résultats encourageants en 2022.
关于联合国安理会合作，习近平指出，当前形势下，安理会5个常任理事国有必要就深化抗疫合作、维护国际和平和安全、促进经济复苏加强协调，积极回应国际社会的普遍期待。|||Sur la coopération au Conseil de Sécurité des Nations Unies, le Président Xi Jinping a indiqué que dans la situation actuelle, il était nécessaire pour les cinq membres permanents du Conseil de Sécurité de renforcer la coordination sur l’approfondissement de la coopération contre l’épidémie, la préservation de la paix et de la sécurité mondiales et la promotion de la reprise économique, et de répondre activement aux attentes de la communauté internationale.
中方愿同俄方保持密切沟通。|||La Chine, a-t-il dit, restera en étroite communication avec la Russie.
双方就当前大国关系和民主问题交换意见。|||Les deux parties ont échangé des vues sur les relations entre grands pays et la démocratie.
习近平强调，民主是全人类的美好追求和共同价值，也是各国人民的权利。|||Il a souligné que la démocratie était une noble aspiration et une valeur commune de toute l’humanité et aussi un droit dont jouissent tous les peuples du monde.
一个国家是否民主，如何更好实现民主，只能由本国人民来评判。|||Selon lui, c’est au peuple de juger si son pays est démocratique ou non et de décider de la manière de mieux réaliser la démocratie.
国际上的事应当由各国共同商量着办，推行国际关系民主化、践行真正的多边主义才是人心所向、大势所趋。|||Estimant que les affaires du monde doivent être décidées par tous les pays à travers des consultations, il a affirmé que promouvoir la démocratisation des relations internationales et porter le véritable multilatéralisme étaient l’aspiration de tous les peuples et la tendance générale de notre temps.
中方愿同俄方加强沟通协调，引导国际社会树立正确的民主观，捍卫各国正当民主权利。|||La Chine, a-t-il dit, est prête à renforcer la communication et la coordination avec la Russie pour encourager la communauté internationale à adopter une vision juste de la démocratie et défendre les droits démocratiques légitimes de tous les pays.
普京表示，当前俄中关系正处于前所未有的历史最好时期，体现出高度的战略互信，树立了在互不干涉内政、相互尊重彼此利益基础上实现互利共赢的榜样，堪称21世纪国际关系的典范。|||Le Président Poutine a indiqué que les relations russo-chinoises se trouvaient dans la meilleure période de l’histoire avec une confiance stratégique mutuelle de haut niveau. Ces relations, a-t-il dit, ont donné un bel exemple de bénéfice mutuel basé sur la non-ingérence dans les affaires intérieures et le respect mutuel des intérêts de part et d’autre, devenant un modèle des relations interétatiques au 21e siècle.
今年是《俄中睦邻友好合作条约》签署20周年，俄中正式宣布条约延期。|||Il a rappelé que cette année marquait le 20e anniversaire de la signature du Traité de bon voisinage et de coopération d’amitié russo-chinois et que les deux pays avaient annoncé officiellement la reconduction de ce traité.
双方克服新冠肺炎疫情影响，保持密切交往，积极推动经贸、能源、科技等各领域务实合作稳步发展，就国际和地区问题开展沟通协调。|||En surmontant les impacts de la COVID-19, a-t-il souligné, les deux pays ont maintenu des échanges étroits, œuvré activement à des progrès solides de la coopération pragmatique dans les domaines économique, commercial, énergétique, scientifique et technologique et mené la communication et la coordination sur les questions internationales et régionales.
俄中战略协作已经成为有效解决各种国际热点问题、维护国际和平的重要积极因素，为巩固以国际法为基础的国际秩序发挥了重要作用。|||Il a affirmé que la coordination stratégique entre la Russie et la Chine représentait un facteur positif majeur dans le règlement efficace des dossiers brûlants internationaux et la préservation de la paix mondiale, et jouait un rôle important dans la consolidation de l’ordre international basé sur le droit international.
我期待很快访华并出席北京冬奥会开幕式，俄方一贯反对将体育政治化的图谋。|||Il a exprimé son souhait de se rendre très prochainement en visite en Chine et d’assister à la cérémonie d’ouverture des Jeux Olympiques d’hiver de Beijing, tout en réaffirmant l’opposition constante de la Russie aux tentatives de politisation du sport.
我期待届时同你就共同关心的重要问题深入交换意见，推动俄中关系持续高水平发展。|||Il a aussi exprimé son souhait de procéder à des échanges approfondis avec le Président Xi Jinping sur les questions importantes d’intérêt commun lors de cette visite en Chine pour poursuivre un développement soutenu des relations russo-chinoises à un niveau élevé.
俄方愿同中方继续加强经贸、油气、金融、航空航天等领域以及战略性大项目合作，推进欧亚经济联盟同“一带一路”倡议进一步对接。|||Il a affirmé la volonté de la Russie de continuer de renforcer la coopération avec la Chine dans les domaines tels que l’économie, le commerce, le pétrole et le gaz, la finance, l’aéronautique et l’aérospatiale et sur les grands projets d’importance stratégique, et de promouvoir une plus grande synergie entre l’Union économique eurasiatique et l’Initiative « la Ceinture et la Route ».
加强抗疫合作，反对将疫情政治化。进一步加强人文交流，搞好明后两年体育交流年。|||La Russie travaillera, a-t-il poursuivi, à renforcer la coopération avec la Chine contre la COVID-19, à s’opposer à la politisation de l’épidémie, à intensifier davantage les échanges humains et culturels et à assurer le succès des Années croisées du sport dans les deux ans à venir.
俄方将最坚定地支持中国政府在涉台问题上的正当立场，坚决反对任何势力借涉台问题损害中方利益，坚决反对在亚太地区组建任何形式的“小圈子”，任何挑拨离间俄中关系的图谋都不会得逞。|||Il a affirmé que la Russie accorderait le soutien le plus ferme à la position légitime du gouvernement chinois sur les questions relatives à Taiwan, s’opposerait résolument à ce qu’une force quelconque porte atteinte aux intérêts de la Chine en utilisant les questions liées à Taiwan et rejetterait résolument la création de « petits cercles » en Asie-Pacifique sous quelque forme que ce soit, tout en soulignant qu’aucune tentative de semer la discorde entre la Russie et la Chine n’aboutira.
俄方愿同中方继续深化在上海合作组织、联合国安理会等多边场合的密切协作，支持中方明年担任金砖国家主席国工作，坚决反对干涉俄中两国内政和遏制两国正当发展利益的企图，捍卫国际公平正义，维护国际战略安全与稳定。|||Il a indiqué que la Russie entendait continuer d’approfondir la coordination étroite avec la Chine au sein de l’OCS, du Conseil de Sécurité des Nations Unies et dans d’autres enceintes multilatérales, et soutenait la présidence chinoise des BRICS l’année prochaine. Il a exprimé sa ferme opposition aux tentatives de s’immiscer dans les affaires intérieures de la Russie et de la Chine et de contenir les intérêts de développement légitimes des deux pays. Il a insisté sur l’engagement de son pays à préserver l’équité et la justice internationales, ainsi que la sécurité et la stabilité stratégiques dans le monde.
俄方愿同中方就维护各国真正民主权利问题加强沟通。|||La Russie, a-t-il dit, est prête à renforcer ses échanges avec la Chine sur la défense des vrais droits démocratiques de tous les pays.
双方还就其他共同关心的国际和地区问题交换了意见。|||Les deux parties ont également échangé des vues sur les autres questions internationales et régionales d’intérêt commun.
两国元首相约明年2月北京见。|||Les deux Chefs d’État étaient convenus de se rencontrer en février prochain à Beijing.
丁薛祥、王毅、何立峰等参加上述活动。|||Ding Xuexiang, Wang Yi et He Lifeng étaient présents lors de l’entretien.
