团结起来　践行真正的多边主义|||ENSEMBLE, CONSTRUISONS UN VRAI MULTILATÉRALISME
联合国为和平而生，为和平而存。|||L’ONU a été créée pour la paix et elle œuvre pour la paix.
要继续聚焦这一主责主业，推动对话协商消弭分歧，利用斡旋调解定纷止争，通过政治方式化解热点。|||Aussi doit-elle continuer de se concentrer sur cette mission principale, en aplanissant les divergences par dialogue et concertation, en désamorçant les différends par médiation et bons offices, et en réglant les points chauds par la voie politique.
实施制裁等强制举措必须以穷尽其他非强制手段为前提，以推动政治解决为目标。|||Les sanctions et les autres mesures coercitives ne peuvent être appliquées que lorsque tous les moyens non coercitifs sont épuisés et qu’à seule fin de favoriser le règlement politique.
任何绕开安理会的单边行动都不具合法性，必须加以摒弃。|||Toute action unilatérale prise en dehors du Conseil de Sécurité est illégale et doit être rejetée.
把发展提升至与和平同等重要的地位，是联合国一大创举。|||Accorder au développement une importance aussi grande qu’à la paix est une initiative majeure des Nations Unies.
当前，联合国要更有效地凝聚全球共识，以发展谋和平，以发展促人权。|||Dans le contexte actuel, l’ONU doit mieux fédérer les esprits pour promouvoir le développement au service de la paix et des droits de l’homme.
应该更加重视发展中国家的困难，倾听他们的声音，解决他们的诉求，维护他们的权益，特别是确保如期、高质量实现2030年可持续发展目标。|||Il faut être plus attentif aux difficultés des pays en développement, les écouter, répondre à leurs demandes, défendre leurs droits et intérêts, et surtout réaliser solidement et selon le calendrier établi les objectifs de développement durable à l’horizon 2030.
非传统安全问题对人类的影响，不亚于战争冲突的创伤。|||Les questions sécuritaires non conventionnelles pèsent autant sur l’homme que les guerres et les conflits le font.
联合国应当践行共同、综合、合作、可持续的新安全观，更加重视公共卫生、反恐、气候变化等非传统安全威胁，消除危机的根源，筑牢安全的基础。|||L’ONU doit porter la nouvelle vision de sécurité commune, intégrée, coopérative et durable, accorder une plus grande importance aux menaces sécuritaires non traditionnelles telles que les problèmes de santé publique, le terrorisme et le changement climatique, éliminer les causes profondes des crises et consolider le fondement de la sécurité.
安理会可以在职责范围内发挥更大作用。|||À ce titre, le Conseil de Sécurité peut jouer un rôle accru dans le cadre de son pouvoir.
这场疫情也放大了全球治理体系中的不适应问题。|||L’épidémie de la COVID-19 a amplifié les problèmes d’inadaptation dans le système de la gouvernance mondiale.
联合国也要与时俱进，通过改革提高运行效率、应急反应能力和工作透明度，切实提高发展中国家的代表性和发言权，引领全球治理体系朝着更加公平合理的方向发展。|||L’ONU doit évoluer avec le temps, accroître par la réforme son efficacité, ses capacités de réaction aux urgences et sa transparence, renforcer effectivement la représentation et le droit à la parole des pays en développement et faire évoluer la gouvernance mondiale dans un sens plus équitable et plus raisonnable.
各位同事，|||Chers Collègues,
今年是中国共产党成立100周年，中国脱贫攻坚取得了全面胜利，开启全面建设社会主义现代化国家新征程。|||Cette année marque le centenaire du Parti communiste chinois. La Chine a remporté une victoire globale dans la lutte contre l’extrême pauvreté et entame une nouvelle marche vers un pays socialiste moderne sur tous les plans.
今年也是中华人民共和国恢复在联合国合法席位50周年。|||Cette année, nous célébrerons aussi le 50e anniversaire du rétablissement de la République populaire de Chine dans son siège légitime aux Nations Unies.
这50年是中国积极践行多边主义的50年，是中国全面参与和支持联合国事业的50年，也是中国持续为世界和平发展做出贡献的50年。|||Pendant les 50 années écoulées, la Chine a œuvré activement pour porter le multilatéralisme, participé et apporté son soutien aux causes des Nations Unies sur tous les plans et contribué sans cesse à la paix et au développement dans le monde.
为了维护和平，中国始终致力于政治解决热点问题，迄今参与30多项联合国维和行动，成为安理会常任理事国中最大维和出兵国。|||Pour préserver la paix, la Chine a toujours travaillé au règlement politique des dossiers brûlants. Elle a participé jusqu’ici à plus de 30 opérations onusiennes de maintien de la paix, devenant le premier pays pourvoyeur de casques bleus parmi les membres permanents du Conseil de Sécurité.
为了促进发展，中国全面落实2030年可持续发展议程，提前10年实现减贫目标，推进高质量共建“一带一路”，为全球发展事业注入动力。|||Pour promouvoir le développement, la Chine a mis en œuvre sur tous les plans le Programme de développement durable à l’horizon 2030, réalisé avec 10 ans d’avance l’objectif du Programme sur l’élimination de la pauvreté et développé une coopération de qualité dans le cadre de l’Initiative « la Ceinture et la Route », donnant une impulsion à la cause du développement dans le monde.
为了保护生态，中国推动达成气候变化《巴黎协定》，宣布本国实现碳排放达峰和碳中和目标，间隔时间远短于发达国家。|||Pour protéger l’environnement, la Chine a œuvré à la conclusion de l’Accord de Paris sur le climat et annoncé ses objectifs concernant l’atteinte du pic des émissions de CO2 et la neutralité carbone en définissant un délai entre ces deux objectifs de loin plus court que celui dans les pays développés.
为了应对疫情，中国发起新中国史上规模最大的紧急人道主义行动，把疫苗作为全球公共产品向发展中国家提供，助力全球团结抗疫。|||Pour lutter contre la COVID-19, la Chine a lancé la plus grande opération humanitaire d’urgence dans l’histoire de la Chine nouvelle, a fait des vaccins un bien public mondial et en a fourni aux autres pays en développement pour soutenir la lutte solidaire mondiale contre l’épidémie.
站在新的历史起点上，中国将继续高举多边主义旗帜，扎实落实习近平主席去年出席联合国成立75周年系列高级别会议宣布的重大倡议举措，继续以实际行动支持以联合国为核心的多边机制工作，继续做世界和平的建设者、全球发展的贡献者、国际秩序的维护者和公共产品的提供者。|||Sur un nouveau point de départ historique, la Chine continuera de porter haut l’étendard du multilatéralisme, mettra en œuvre solidement les initiatives et mesures importantes annoncées par le Président Xi Jinping lors des réunions de haut niveau organisées à l’occasion de la célébration du 75e anniversaire de l’ONU, continuera de soutenir par des actions concrètes les travaux des mécanismes multilatéraux centrés sur l’ONU, et restera pour toujours bâtisseur de la paix mondiale, contributeur au développement dans le monde, défenseur de l’ordre international et fournisseur de biens publics.
我们愿同各方一道，共同推动多边主义扬帆再启航，共同推动联合国重整行装再出发，共同构建人类命运共同体！|||Nous entendons œuvrer ensemble avec toutes les parties pour donner une nouvelle impulsion au multilatéralisme, insuffler une nouvelle dynamique aux actions des Nations Unis et construire une communauté d’avenir partagé pour l’humanité.
谢谢！|||Je vous remercie.
