政府工作报告|||Rapport d'activité du gouvernement
居民消费价格年均上涨1.9%，保持较低水平。|||La hausse annuelle moyenne des prix à la consommation des ménages n'a été que de 1,9 %, une hausse relativement faible.
城镇新增就业6600万人以上，13亿多人口的大国实现了比较充分就业。|||Plus de 66 millions de nouveaux emplois ont été créés dans les agglomérations urbaines, permettant à notre grand pays de plus de 1,3 milliard d'habitants de réaliser quasiment le plein emploi.
五年来，经济结构出现重大变革。|||Ces cinq dernières années, la structure économique a connu de grands changements.
消费贡献率由54.9%提高到58.8%，服务业比重从45.3%上升到51.6%，成为经济增长主动力。|||La contribution de la consommation est passée de 54,9 à 58,8 %, tandis que la part des services est passée de 45,3 à 51,6 %, devenant les principaux moteurs de la croissance économique.
高技术制造业年均增长11.7%。|||La valeur ajoutée de l'industrie manufacturière de haute technologie a progressé en moyenne de 11,7 % par an.
粮食生产能力达到1.2万亿斤。|||La production céréalière s'est élevée à 600 millions de tonnes.
城镇化率从52.6%提高到58.5%，8000多万农业转移人口成为城镇居民。|||Plus de 80 millions de travailleurs d'origine rurale sont devenus des citadins à part entière, si bien que le taux d'urbanisation est passé de 52,6 à 58,5 %.
五年来，创新驱动发展成果丰硕。|||Ces cinq dernières années, le développement par l'innovation a porté des fruits abondants.
全社会研发投入年均增长11%，规模跃居世界第二位。|||Les investissements dans la R-D, tous acteurs confondus, ont connu une augmentation en moyenne de 11 % par an, portant la Chine au deuxième rang mondial.
科技进步贡献率由52.2%提高到57.5%。|||La contribution du progrès scientifique et technologique est passée de 52,2 à 57,5 %.
载人航天、深海探测、量子通信、大飞机等重大创新成果不断涌现。|||Il est apparu un grand nombre d'innovations d'importance majeure, telles que les missions spatiales habitées, l'exploration en submersible des abysses, la téléportation quantique et l'avion gros porteur.
高铁网络、电子商务、移动支付、共享经济等引领世界潮流。|||Le réseau ferroviaire à grande vitesse, le cybercommerce, le paiement mobile et l'économie du partage se trouvent dans le peloton de tête mondial.
“互联网+”广泛融入各行各业。|||L'"Internet +" s'est étendu à tous les secteurs d'activité.
大众创业、万众创新蓬勃发展，日均新设企业由5千多户增加到1万6千多户。|||L'innovation et l'entrepreneuriat de masse ont connu un grand essor : le nombre moyen d'entreprises nouvellement créées est passé de plus de 5 000 à plus de 16 000 par jour.
快速崛起的新动能，正在重塑经济增长格局、深刻改变生产生活方式，成为中国创新发展的新标志。|||Ces nouvelles forces motrices, qui ont connu une progression fulgurante, ont donné un nouveau souffle à la croissance économique et entraîné des changements profonds dans les modes de production et de vie. Elles constituent un indice supplémentaire du développement innovant de notre pays.
五年来，改革开放迈出重大步伐。|||Ces cinq dernières années, de grands pas ont été faits dans la réforme et l'ouverture.
改革全面发力、多点突破、纵深推进，重要领域和关键环节改革取得突破性进展，主要领域改革主体框架基本确立。|||En œuvrant pour une réforme tous azimuts, nous avons veillé à réaliser des percées dans plusieurs secteurs et à pousser la réforme en profondeur, aboutissant à des progrès décisifs dans la réforme des secteurs importants et des maillons clés, et mettant en place pour l'essentiel le cadre général de réforme dans les domaines prioritaires.
简政放权、放管结合、优化服务等改革推动政府职能发生深刻转变，市场活力和社会创造力明显增强。|||Le rôle du gouvernement a connu une transformation profonde grâce à la décentralisation et à la simplification administrative, à la combinaison du contrôle et du laissez-faire, et à l'optimisation de son travail. Le fonctionnement du marché et la créativité de la société ont été manifestement dynamisés.
“一带一路”建设成效显著，对外贸易和利用外资结构优化、规模稳居世界前列。|||La mise en œuvre de l'initiative "la Ceinture et la Route" a porté ses fruits. Notre pays se classe solidement aux premiers rangs dans le monde en ce qui concerne le volume du commerce extérieur et l'utilisation des capitaux étrangers, lesquels présentent une meilleure structure.
五年来，人民生活持续改善。|||Ces cinq dernières années, les conditions de vie de la population n'ont cessé de s'améliorer.
脱贫攻坚取得决定性进展，贫困人口减少6800多万，易地扶贫搬迁830万人，贫困发生率由10.2%下降到3.1%。|||Des progrès décisifs ont été obtenus dans la lutte contre la pauvreté, la population pauvre a diminué de plus de 68 millions de personnes, dont 8,3 millions relogés dans des régions plus prospères, et le taux de pauvreté a baissé, passant de 10,2 à 3,1 %.
居民收入年均增长7.4%、超过经济增速，形成世界上人口最多的中等收入群体。|||L'accroissement des revenus des habitants a dépassé la croissance économique, pour atteindre 7,4 % en moyenne par an, ce qui a contribué à former la plus grande population de personnes à revenus moyens du monde.
出境旅游人次由8300万增加到1亿3千多万。|||Le nombre de sorties individuelles à l'étranger est passé de 83 millions à plus de 130 millions.
教育事业全面发展。|||Le secteur de l'éducation a connu un essor général.
社会养老保险覆盖9亿多人，基本医疗保险覆盖13.5亿人，织就了世界上最大的社会保障网。|||Le plus grand réseau de protection sociale au monde a pris forme, plus de 900 millions de personnes étant désormais couvertes par l'assurance vieillesse et 1,35 milliard par l'assurance maladie de base.
人均预期寿命达到76.7岁。|||L'espérance de vie a atteint 76,7 ans.
棚户区住房改造2600多万套，农村危房改造1700多万户，上亿人喜迁新居。|||Plus de cent millions d'habitants ont pu être relogés dans de nouvelles habitations grâce à la rénovation de 26 millions de logements rudimentaires et de 17 millions d'habitations rurales en mauvais état.
五年来，生态环境状况逐步好转。|||Ces cinq dernières années, une amélioration continue de l'environnement a été observée.
制定实施大气、水、土壤污染防治三个“十条”并取得扎实成效。|||Des résultats remarquables ont été obtenus à la suite de l'élaboration et de l'application de trois plans d'action en dix points concernant la pollution de l'air, de l'eau et du sol.
单位国内生产总值能耗、水耗均下降20%以上，主要污染物排放量持续下降，重点城市重污染天数减少一半，森林面积增加1.63亿亩，沙化土地面积年均缩减近2000平方公里，绿色发展呈现可喜局面。|||La consommation d'énergie et d'eau par unité de PIB a diminué de plus de 20 % ; les émissions des principaux polluants ont continué de baisser ; le nombre de jours marqués par une forte pollution dans les villes prioritaires a été réduit de moitié ; la superficie des forêts a augmenté de 163 millions de mu [environ 10,87 millions d'hectares], cependant que celle des terres désertifiées a diminué d'environ 2 000 km2 par an. Une situation encourageante est ainsi apparue dans le développement vert.
刚刚过去的2017年，经济社会发展主要目标任务全面完成并好于预期。|||Nous avons atteint en 2017 les principaux objectifs du développement socioéconomique : les résultats se sont révélés meilleurs que prévu.
国内生产总值增长6.9%，居民收入增长7.3%，增速均比上年有所加快；城镇新增就业1351万人，失业率为多年来最低；工业增速回升，企业利润增长21%；财政收入增长7.4%，扭转了增速放缓态势；进出口增长14.2%，实际使用外资1363亿美元、创历史新高。|||Le PIB a progressé de 6,9 %, et les revenus des habitants ont augmenté de 7,3 %, soit un accroissement plus rapide que celui de l'année passée ; le taux de chômage se trouve aujourd'hui à son niveau le plus bas depuis de nombreuses années grâce à la création de 13,51 millions de nouveaux emplois ; la croissance du secteur industriel a connu un rebond, enregistrant une hausse de 21 % des bénéfices des entreprises ; les recettes budgétaires ont augmenté de 7,4 %, mettant fin à un ralentissement de la croissance ; l'import-export s'est accru de 14,2 %, tandis que le montant réellement utilisé des investissements étrangers a atteint le chiffre record de 136,3 milliards de dollars.
经济发展呈现出增长与质量、结构、效益相得益彰的良好局面。|||Une conjoncture favorable a été créée, caractérisée par une bonne coordination entre la croissance de l'économie, sa qualité, sa structure et sa rentabilité.
这是五年来一系列重大政策效应累积，各方面不懈努力、久久为功的结果。|||Tout cela est dû à l'effet cumulatif d'une série de politiques importantes mises en oeuvre depuis ces cinq dernières années et à la persévérance opiniâtre déployée dans tous les secteurs d'activité.
过去五年取得的全方位、开创性成就，发生的深层次、根本性变革，再次令世界瞩目，全国各族人民倍感振奋和自豪。|||Les résultats que nous avons obtenus depuis cinq ans dans tous les domaines ont une valeur pionnière, alors que les réformes réalisées durant cette période se sont opérées à des niveaux plus profonds et revêtent un caractère fondamental. Notre peuple multiethnique est très fier de ces réalisations, qui ont de nouveau impressionné le monde entier.
五年来，我们认真贯彻以习近平同志为核心的党中央决策部署，主要做了以下工作。|||Au cours des cinq dernières années, afin d'appliquer les décisions et dispositions prises par le Comité central du Parti rassemblé autour du camarade Xi Jinping, nous avons surtout consacré nos efforts aux points suivants :
（一）坚持稳中求进工作总基调，着力创新和完善宏观调控，经济运行保持在合理区间、实现稳中向好。|||Fidèles au principe général dit "aller de l'avant à pas assurés", nous avons mis l'accent sur l'innovation et l'amélioration du macrocontrôle, de sorte que l'économie a évolué dans des marges raisonnables et qu'elle a accusé une stabilité avec une tendance au mieux.
这些年，世界经济复苏乏力，国际金融市场跌宕起伏，保护主义明显抬头。|||Ces dernières années, sur fond d'une reprise morose de l'économie mondiale et de fortes fluctuations sur le marché financier international, le protectionnisme a fait un retour en force.
我国经济发展中结构性问题和深层次矛盾凸显，经济下行压力持续加大，遇到不少两难多难抉择。|||Faisant face à l'aggravation des problèmes structurels et des contradictions profondes, l'économie nationale a subi des pressions toujours plus fortes à la baisse : nous nous sommes heurtés à une succession de dilemmes.
面对这种局面，我们保持战略定力，坚持不搞“大水漫灌”式强刺激，而是适应把握引领经济发展新常态，统筹稳增长、促改革、调结构、惠民生、防风险，不断创新和完善宏观调控，确立区间调控的思路和方式，加强定向调控、相机调控、精准调控。|||Face à cette situation, nous avons fait preuve d'une grande fermeté dans notre stratégie, et au lieu de tomber dans le piège de la surstimulation, nous avons su nous adapter à la nouvelle normalité économique, la maîtriser et l'orienter, tout en planifiant dans l'ensemble la croissance régulière, la bonne marche de la réforme, la restructuration économique, l'amélioration du niveau de vie de la population et la prévention des risques. Nous avons renouvelé et ajusté continuellement le contrôle macroéconomique, fixé nos stratégies et nos méthodes de guidage de l'activité économique dans des marges raisonnables, et renforcé la régulation ciblée, circonstancielle et précise.
明确强调只要经济运行在合理区间，就业增加、收入增长、环境改善，就集中精力促改革、调结构、添动力。|||Notre position est bien arrêtée : pourvu que l'économie évolue dans des marges raisonnables, que l'emploi et les revenus augmentent, et que la qualité de l'environnement s'améliore, nous concentrerons nos efforts sur la bonne marche de la réforme, sur la restructuration et sur l'augmentation des forces motrices.
采取既利当前更惠长远的举措，着力推进供给侧结构性改革，适度扩大总需求，推动实现更高层次的供需动态平衡。|||Adoptant des mesures bénéfiques à la fois pour le présent et pour l'avenir, nous nous sommes attachés à promouvoir la réforme structurelle du côté de l'offre, et nous avons augmenté adéquatement la demande globale, afin de réaliser un équilibre dynamique de plus haut niveau entre l'offre et la demande.
经过艰辛努力，我们顶住了经济下行压力、避免了“硬着陆”，保持了经济中高速增长，促进了结构优化，经济长期向好的基本面不断巩固和发展。|||Grâce à des efforts ardus, nous avons réussi à enrayer la tendance à la récession, évitant un "atterrissage brutal", à assurer une croissance moyennement rapide, et à favoriser l'optimisation structurelle, consolidant et développant sans cesse les fondamentaux de l'économie qui tendent au mieux à long terme.
坚持实施积极的财政政策和稳健的货币政策。|||Nous avons maintenu la politique budgétaire de relance et la politique monétaire prudente.
在财政收支矛盾较大情况下，着眼“放水养鱼”、增强后劲，我国率先大幅减税降费。|||Face à l'écart relativement grand entre les recettes et les dépenses des finances publiques, nous avons recouru à un paquet de mesures, ce que nous avons appelé "bien remplir les viviers", afin d'accroître notre potentiel de développement, et nous avons, les premiers, baissé massivement les impôts et droits divers.
分步骤全面推开营改增，结束了66年的营业税征收历史，累计减税超过2万亿元，加上采取小微企业税收优惠、清理各种收费等措施，共减轻市场主体负担3万多亿元。|||Nous avons généralisé étape par étape et sur toute la ligne le remplacement de l'impôt sur le chiffre d'affaires par la TVA, mettant fin à 66 ans de perception de l'impôt sur le chiffre d'affaires et réduisant les impôts de plus de 2 000 milliards de yuans au total. En outre, nous avons appliqué des mesures fiscales préférentielles en faveur des petites entreprises et microentreprises (PEMIC), et assaini la perception des redevances. Toutes ces mesures ont conduit à une réduction des charges des acteurs du marché de 3 000 milliards de yuans au total.
加强地方政府债务管理，实施地方政府存量债务置换，降低利息负担1.2万亿元。|||La gestion de la dette des pouvoirs locaux ayant été renforcée, il a été procédé à une conversion du stock de leurs dettes qui a réduit d'environ 1 200 milliards de yuans la charge des intérêts.
调整财政支出结构，盘活沉淀资金，保障基本民生和重点项目。|||Nous avons réajusté les structures des dépenses budgétaires, dynamisé les fonds dormants, et garanti les projets clés et les besoins essentiels de la population.
财政赤字率一直控制在3%以内。|||Le taux du déficit budgétaire a été maintenu à moins de 3 %.
货币政策保持稳健中性，广义货币M2增速呈下降趋势，信贷和社会融资规模适度增长。|||Nous avons appliqué une politique monétaire prudente et neutre, ce qui a conduit à un ralentissement de l'augmentation de la masse monétaire M2 et à un accroissement adéquat du volume du crédit bancaire et de l'agrégat de financement de l'économie réelle hors autorités publiques.
采取定向降准、专项再贷款等差别化政策，加强对重点领域和薄弱环节支持，小微企业贷款增速高于各项贷款平均增速。|||Grâce à des mesures différenciées, telles que la réduction ciblée du taux des réserves obligatoires et le recours ciblé au recrédit, nous avons affermi notre soutien aux secteurs clés et aux maillons faibles, si bien que les prêts destinés aux PEMIC ont connu une croissance plus rapide que la moyenne des autres crédits.
改革完善汇率市场化形成机制，保持人民币汇率基本稳定，外汇储备转降为升。|||Par la réforme et l'amélioration du mécanisme de fixation du taux de change du yuan, nous avons maintenu la stabilité générale du taux de change du renminbi. Les réserves en devises étrangères ont cessé de baisser et recommencé à augmenter.
妥善应对“钱荒”等金融市场异常波动，规范金融市场秩序，防范化解重点领域风险，守住了不发生系统性风险的底线，维护了国家经济金融安全。|||Nous avons réglementé le marché financier et réagi de façon adéquate à l'assèchement des liquidités et aux autres fluctuations anormales du marché financier. Nous avons réussi à prévenir et éliminer les risques dans les domaines clés, de sorte que les seuils critiques des risques financiers systémiques n'ont pas été dépassés, et que la sécurité économique et financière de l'état a été sauvegardée.
（二）坚持以供给侧结构性改革为主线，着力培育壮大新动能，经济结构加快优化升级。|||Prenant pour fil conducteur la réforme structurelle du côté de l'offre, nous nous sommes attachés à former et développer de nouveaux moteurs et à accélérer l'optimisation et la mise à niveau de nos structures économiques.
紧紧依靠改革破解经济发展和结构失衡难题，大力发展新兴产业，改造提升传统产业，提高供给体系质量和效率。|||En nous attaquant, à travers des réformes, aux problèmes épineux du développement économique et aux déséquilibres structurels, nous avons développé énergiquement les nouvelles industries, et favorisé la refonte et la modernisation de nos industries traditionnelles, de manière à améliorer la qualité et l'efficacité du système de l'offre.
扎实推进“三去一降一补”。|||De grands efforts ont été régulièrement déployés pour éliminer les capacités de production obsolètes, réduire les stocks immobiliers, diminuer le ratio de levier, abaisser les coûts de production et combler les failles de l'économie.
五年来，在淘汰水泥、平板玻璃等落后产能基础上，以钢铁、煤炭等行业为重点加大去产能力度，中央财政安排1000亿元专项奖补资金予以支持，用于分流职工安置。|||Ces cinq dernières années, après avoir éliminé les capacités de production obsolètes dans la cimenterie et la verrerie, nous avons redoublé d'efforts pour éliminer les surcapacités, notamment dans la sidérurgie et l'industrie houillère. Cette action a été épaulée par les finances centrales, qui ont octroyé 100 milliards de yuans comme fonds spéciaux de récompense et de subvention destinés au reclassement des employés excédentaires.
退出钢铁产能1.7亿吨以上、煤炭产能8亿吨，安置分流职工110多万人。|||Nous avons pu ainsi retirer au total des capacités de production, dans la sidérurgie et l'industrie houillère, de 170 millions et de 800 millions de tonnes respectivement, et plus de 1,1 million d'employés excédentaires ont été réinsérés.
因城施策分类指导，三四线城市商品住宅去库存取得明显成效，热点城市房价涨势得到控制。|||Grâce à l'application de politiques différentes selon les villes et à l'orientation par catégorie, des résultats évidents ont été enregistrés dans la réduction des stocks des logements marchands dans les villes de troisième et quatrième rang, et la montée des prix de l'immobilier a été enrayée dans les villes prioritaires.
积极稳妥去杠杆，控制债务规模，增加股权融资，工业企业资产负债率连续下降，宏观杠杆率涨幅明显收窄、总体趋于稳定。|||Nous avons diminué le ratio de levier de manière active et méthodique, contrôlé l'envergure des dettes et augmenté le financement par actions. C'est ainsi que le taux d'endettement des entreprises industrielles s'est réduit continuellement, et que la hausse des macroleviers s'est atténuée sensiblement, pour tendre vers une stabilité globale.
多措并举降成本，压减政府性基金项目30%，削减中央政府层面设立的涉企收费项目60%以上，阶段性降低“五险一金”缴费比例，推动降低用能、物流、电信等成本。|||Grâce à diverses mesures simultanées en faveur de la réduction des coûts de revient, les projets financés par les fonds gouvernementaux ont été comprimés de 30 %, et plus de 60 % des redevances perçues par les autorités centrales auprès des entreprises ont été supprimées. De plus, nous avons diminué temporairement la part de la cotisation patronale de l'épargne-logement et des cinq types d'assurances [assurance maladie, assurance vieillesse, assurance chômage, assurance contre les accidents du travail et assurance maternité], et favorisé la réduction des coûts de la logistique, des télécommunications, de la consommation d'énergie, etc.
突出重点加大补短板力度。|||Tout en accordant une importance particulière aux domaines clés, nous avons intensifié nos efforts pour combler les failles de notre économie.
加快新旧发展动能接续转换。|||Le remplacement des anciens moteurs de développement par de nouveaux a été accéléré.
深入开展“互联网+”行动，实行包容审慎监管，推动大数据、云计算、物联网广泛应用，新兴产业蓬勃发展，传统产业深刻重塑。|||Nous avons mené en profondeur l'action "Internet +", appliqué une supervision souple mais prudente, et encouragé une large application des mégadonnées, de l'infonuagique et de l'Internet des objets. Des industries émergentes se sont développées vigoureusement, et les secteurs traditionnels ont été refondus.
实施“中国制造2025”，推进工业强基、智能制造、绿色制造等重大工程，先进制造业加快发展。|||Nous avons mis en œuvre le programme "Fabriqué en Chine 2025" et poursuivi des projets d'importance majeure, notamment en ce qui concerne la consolidation des bases industrielles, la fabrication intelligente et la fabrication verte, de sorte que l'industrie manufacturière de pointe a connu une croissance rapide.
出台现代服务业改革发展举措，服务新业态新模式异军突起，促进了各行业融合升级。|||Nous avons élaboré des mesures sur la réforme et le développement des services modernes. Les nouvelles activités et les nouveaux modèles de services se sont multipliés avec vigueur, promouvant la fusion et la mise à niveau des différents secteurs.
深化农业供给侧结构性改革，新型经营主体大批涌现，种植业适度规模经营比重从30%提升到40%以上。|||Grâce à l'approfondissement de la réforme structurelle du côté de l'offre dans le secteur agricole, un grand nombre de nouveaux exploitants agricoles sont apparus. Les exploitations des cultures atteignant une échelle suffisante sont passées de 30 % à plus de 40 %.
采取措施增加中低收入者收入，推动传统消费提档升级、新兴消费快速兴起，网上零售额年均增长30%以上，社会消费品零售总额年均增长11.3%。|||Nous avons pris des mesures pour augmenter les revenus bas et moyens, et promu la montée en gamme de la consommation traditionnelle et le développement rapide de la consommation émergente. Le chiffre des ventes au détail en ligne a connu une croissance annuelle moyenne de plus de 30 %, et le montant total des ventes au détail des articles de consommation, de 11,3 %.
优化投资结构，鼓励民间投资，发挥政府投资撬动作用，引导更多资金投向强基础、增后劲、惠民生领域。|||Nous avons optimisé la structure des investissements, encouragé les investissements privés et mis en valeur le rôle de levier des investissements publics. Davantage de fonds ont été orientés vers les domaines pour notamment consolider nos bases économiques, accroître notre potentiel de développement et améliorer le bien-être de la population.
高速铁路运营里程从9000多公里增加到2万5千公里、占世界三分之二，高速公路里程从9.6万公里增加到13.6万公里，新建改建农村公路127万公里，新建民航机场46个，开工重大水利工程122项，完成新一轮农村电网改造，建成全球最大的移动宽带网。|||La longueur des lignes du train à grande vitesse mises en service est passée de plus de 9 000 à 25 000 kilomètres, soit les deux tiers du total mondial ; la longueur du réseau autoroutier est passée de 96 000 à 136 000 kilomètres ; 1,27 million de kilomètres de routes ont été construites ou rénovées dans les régions rurales ; 46 nouveaux aéroports civils ont été construits ; 122 ouvrages hydrauliques importants ont été mis en chantier ; la nouvelle série de projets de transformation du réseau électrique rural a été achevée ; et le plus grand réseau mobile à haut débit au monde a été mis sur pied.
五年来，发展新动能迅速壮大，经济增长实现由主要依靠投资、出口拉动转向依靠消费、投资、出口协同拉动，由主要依靠第二产业带动转向依靠三次产业共同带动。|||Ces cinq dernières années, les nouveaux moteurs de développement ont gagné rapidement en puissance, si bien que l'on est passé d'une croissance économique tirée par l'investissement et l'exportation à une croissance où jouent ensemble la consommation, l'investissement et l'exportation, et que le secondaire, autrefois prédominant, se range désormais aux côtés du primaire et du tertiaire.
这是我们多年想实现而没有实现的重大结构性变革。|||C'est là le changement structurel majeur que, malgré tous nos efforts, nous n'avions pas réussi à réaliser durant de très nombreuses années.
推进供给侧结构性改革，必须破除要素市场化配置障碍，降低制度性交易成本。|||Pour favoriser la réforme structurelle du côté de l'offre, il est nécessaire d'éliminer les obstacles qui entravent la répartition des facteurs de production selon les règles du marché, et de diminuer les charges réglementaires et administratives des entreprises.
针对长期存在的重审批、轻监管、弱服务问题，我们持续深化“放管服”改革，加快转变政府职能，减少微观管理、直接干预，注重加强宏观调控、市场监管和公共服务。|||Comme il est accordé depuis longtemps une plus grande importance aux formalités de l'approbation administrative qu'à la supervision, et que les services sont faibles, nous avons poursuivi en profondeur la réforme axée sur la décentralisation et la simplification administratives, sur l'association du laisser-faire à la régulation et sur l'amélioration des services. Nous avons accéléré la reconversion des attributions des pouvoirs publics, réduit la microgestion et l'intervention directe, et renforcé le macrocontrôle, le contrôle du marché et les services publics.
五年来，国务院部门行政审批事项削减44%，非行政许可审批彻底终结，中央政府层面核准的企业投资项目减少90%，行政审批中介服务事项压减74%，职业资格许可和认定大幅减少。|||Ces cinq dernières années, les divers services du Conseil des affaires d'État ont supprimé 44 % de leurs catégories d'approbation administrative et toutes les catégories d'approbation non administrative. Les projets d'investissement des entreprises soumis à l'approbation des autorités centrales ont été réduits de 90 %, les services intermédiaires sur l'approbation administrative ont été comprimés de 74 %, et les formalités de certification ou d'homologation professionnelles ont été réduites dans de fortes proportions.
中央政府定价项目缩减80%，地方政府定价项目缩减50%以上。|||Les catégories de prix fixés par les autorités centrales ont diminué de 80 %, et celles de prix fixés par les autorités locales, de plus de 50 %.
全面改革工商登记、注册资本等商事制度，企业开办时间缩短三分之一以上。|||La simplification des formalités d'enregistrement des entreprises industrielles et commerciales, comme l'immatriculation auprès de l'Administration industrielle et commerciale et l'enregistrement du capital social, a été menée sur toute la ligne, si bien que le délai pour la création d'une entreprise a été réduit de plus du tiers.
创新和加强事中事后监管，实行“双随机、一公开”，随机抽取检查人员和检查对象、及时公开查处结果，提高了监管效能和公正性。|||Nous avons renouvelé et renforcé les contrôles pendant et après, en appliquant le contrôle sur échantillon basé sur un double tirage au sort de l'entreprise et du contrôleur et en rendant publics immédiatement les résultats de l'examen et du traitement, de sorte que l'efficacité et l'équité des contrôles se sont améliorées.
推行“互联网+政务服务”，实施一站式服务等举措。|||La formule "Internet + Services administratifs" a été généralisée, et les services "arrêt unique" et d'autres mesures ont été mis en œuvre.
营商环境持续改善，市场活力明显增强，群众办事更加便利。|||L'environnement commercial s'est continuellement amélioré, la vitalité du marché s'est accrue, et la population bénéficie de facilités évidentes pour accomplir les formalités administratives.
（三）坚持创新引领发展，着力激发社会创造力，整体创新能力和效率显著提高。|||Nous avons maintenu la politique faisant de l'innovation la force motrice du développement et veillé à stimuler la créativité sociale, de sorte que, dans l'ensemble, la capacité et l'efficacité de l'innovation se sont sensiblement élevées.
实施创新驱动发展战略，优化创新生态，形成多主体协同、全方位推进的创新局面。|||Nous avons mis en œuvre la stratégie de développement par l'innovation et optimisé l'environnement de l'innovation, de manière à former un système novateur marqué par la coordination de multiples acteurs et une progression tous azimuts.
扩大科研机构和高校科研自主权，改进科研项目和经费管理，深化科技成果权益管理改革。|||Les écoles supérieures et les établissements de recherche ont vu leur autonomie en matière de recherche scientifique augmenter. Nous avons amélioré la gestion des projets et des fonds de recherche scientifique, et approfondi la réforme sur la gestion des droits de disposition et de jouissance des découvertes.
推进全面创新改革试验，支持北京、上海建设科技创新中心，新设14个国家自主创新示范区，带动形成一批区域创新高地。|||La réforme expérimentale en faveur de l'innovation générale a progressé ; Beijing et Shanghai ont été encouragés à construire des centres d'innovation scientifique et technologique ; un total de 14 nouvelles zones modèles d'innovation au niveau national ont été établies, stimulant l'émergence de nouveaux pôles d'innovation régionaux.
以企业为主体加强技术创新体系建设，涌现一批具有国际竞争力的创新型企业和新型研发机构。|||Les entreprises seront appelées à jouer un rôle prédominant dans la mise en place de notre système d'innovation technologique. Un grand nombre d'entreprises innovantes et de centres de R-D de nouveau type, compétitifs sur le plan international, ont vu le jour.
深入开展大众创业、万众创新，实施普惠性支持政策，完善孵化体系。|||Nous avons mené en profondeur la démocratisation de l'entrepreneuriat et de l'innovation, en appliquant des politiques de soutien inclusif et en améliorant le système d'incubation.
