政府工作报告|||RAPPORT D'ACTIVITÉ DU GOUVERNEMENT
精准脱贫有力推进，农村贫困人口减少1386万，易地扶贫搬迁280万人。|||Des progrès substantiels ont été faits en matière d'élimination ciblée de la pauvreté : 13,86 millions de personnes des régions rurales sont sorties de la pauvreté, dont 2,8 millions ont été relogés dans des régions plus prospères.
污染防治得到加强，细颗粒物（PM2.5）浓度继续下降，生态文明建设成效显著。|||Grâce à l'intensification de la lutte contre la pollution, la concentration des particules fines PM2,5 a continué à baisser, ce qui a permis d'enregistrer des progrès notables dans l'édification de la civilisation écologique.
——人民生活持续改善。|||-- Les conditions de vie de la population ont continué à s'améliorer.
居民人均可支配收入实际增长6.5%。|||La hausse du revenu moyen disponible par habitant a été de 6,5 %.
提高个人所得税起征点，设立6项专项附加扣除。|||Le seuil d'imposition sur le revenu des personnes physiques a été augmenté, et six déductions spéciales supplémentaires ont été établies.
加大基本养老、基本医疗等保障力度，资助各类学校家庭困难学生近1亿人次。|||L'assurance vieillesse de base, l'assurance maladie de base et d'autres branches de l'assurance sociale ont été grandement améliorées. Des aides financières ont été versées à environ 100 millions d'élèves issus de familles en difficulté et inscrits dans différents types d'établissements scolaires.
棚户区住房改造620多万套，农村危房改造190万户。|||Plus de 6,2 millions d'habitations rudimentaires et 1,9 million de maisons rurales délabrées ont été rénovées.
城乡居民生活水平又有新提高。|||Enfin, les conditions de vie des Chinois dans les villes et campagnes ont connu de nouveaux progrès.
我们隆重庆祝改革开放40周年，深刻总结改革开放的伟大成就和宝贵经验，郑重宣示在新时代将改革开放进行到底的坚定决心，激励全国各族人民接续奋斗，再创新的历史伟业。|||Nous avons célébré les 40 ans de la politique de réforme et d'ouverture, dressé un bilan pénétrant des grandes réalisations et des précieuses expériences de celle-ci, et réaffirmé solennellement notre ferme détermination à la mener jusqu'au bout, ce qui a énormément encouragé notre peuple multiethnique à poursuivre sa lutte pour réaliser de nouveaux exploits historiques.
回顾过去一年，成绩来之不易。|||Les succès que nous avons connus pendant l'année écoulée ont été obtenus au prix d'efforts ardus.
我们面对的是深刻变化的外部环境。经济全球化遭遇波折，多边主义受到冲击，国际金融市场震荡，特别是中美经贸摩擦给一些企业生产经营、市场预期带来不利影响。|||En effet, il a fallu faire face à un environnement extérieur profondément altéré : la mondialisation économique a connu des vicissitudes, le multilatéralisme a été secoué par des crises, les fluctuations du marché financier international, notamment le différend commercial sino-américain, ont eu des effets néfastes sur la production et le fonctionnement de certaines entreprises ainsi que sur les anticipations du marché.
我们面对的是经济转型阵痛凸显的严峻挑战。|||Nous avons été confrontés aux douleurs inhérentes à la reconversion économique.
新老矛盾交织，周期性、结构性问题叠加，经济运行稳中有变、变中有忧。|||L'enchevêtrement des contradictions anciennes et nouvelles, la superposition des problèmes cycliques et structurels ainsi qu'une activité économique, stable dans son ensemble, mais marquée par des changements inquiétants ont représenté autant de défis redoutables.
我们面对的是两难多难问题增多的复杂局面。实现稳增长、防风险等多重目标，完成经济社会发展等多项任务，处理好当前与长远等多种关系，政策抉择和工作推进的难度明显加大。|||Nous avons connu une conjoncture complexe et vu augmenter le nombre de problèmes à régler : réaliser les divers objectifs tels que le maintien d'une croissance régulière et la prévention des risques ; accomplir de multiples tâches, notamment le développement économique et social ; bien concilier les différentes relations, en particulier entre le présent et l'avenir, d'où une difficulté accrue concernant le choix des mesures politiques à appliquer et la progression du travail à mener.
经过全国上下共同努力，我国经济发展在高基数上总体平稳、稳中有进，社会大局保持稳定。|||Grâce aux efforts conjugués de tous, notre économie a continué à progresser de façon régulière sur la base d'une croissance élevée, et la stabilité sociale a été garantie.
这再次表明，在中国共产党领导下，中国人民有战胜任何艰难险阻的勇气、智慧和力量，中国的发展没有过不去的坎。|||Tout cela a démontré une fois de plus que le peuple chinois, sous la direction du Parti communiste chinois, a le courage, la sagesse et la force de surmonter toutes les difficultés, et qu'il n'existe pas d'obstacle que la Chine ne puisse vaincre au cours de son développement.
一年来，我们深入贯彻以习近平同志为核心的党中央决策部署，坚持稳中求进工作总基调，统筹稳增长、促改革、调结构、惠民生、防风险，稳妥应对中美经贸摩擦，着力稳就业、稳金融、稳外贸、稳外资、稳投资、稳预期，主要做了以下工作。|||Durant l'année écoulée, nous avons persévéré dans l'application des décisions et dispositions prises par le Comité central du Parti rassemblé autour du camarade Xi Jinping et observé fidèlement le principe général selon lequel il faut aller de l'avant à pas assurés, tout en faisant une planification d'ensemble de la croissance régulière, de la bonne marche de la réforme, de la restructuration économique, de l'amélioration du niveau de vie de la population et de la prévention des risques. Nous avons su réagir avec prudence au différend commercial avec les États-Unis et adopté un train de mesures pour stabiliser la situation en ce qui concerne l'emploi, la finance, le commerce extérieur, les capitaux étrangers, les investissements et les anticipations. Nos efforts ont surtout porté sur les points suivants :
一是创新和完善宏观调控，经济保持平稳运行。|||Premièrement, en renouvelant et renforçant le contrôle macroéconomique, nous avons réussi à faire progresser l'économie de manière régulière.
面对新情况新变化，我们坚持不搞“大水漫灌”式强刺激，保持宏观政策连续性稳定性，在区间调控基础上加强定向、相机调控，主动预调、微调。|||Face à une situation nouvelle et à des changements nouveaux, plutôt que de tomber dans le piège de la surstimulation, nous avons préservé la continuité et la stabilité de notre politique macroéconomique, pris l'initiative de mettre en place une microrégulation et des mesures anticipatives, et renforcé la régulation ciblée et circonstancielle sur la base du maintien de l'activité économique dans une fourchette appropriée.
坚持实施积极的财政政策，着力减税降费、补短板调结构。|||En poursuivant la politique budgétaire de relance, de nouveaux efforts ont été accomplis pour diminuer les impôts et les frais divers, remédier aux faiblesses de l'économie et réajuster ses structures.
下调增值税税率，扩大享受税收优惠小微企业范围，出台鼓励研发创新等税收政策。全年为企业和个人减税降费约1.3万亿元。|||Nous avons réajusté à la baisse les taux de la TVA et augmenté le nombre de petites entreprises et microentreprises (PEMIC) bénéficiant de mesures fiscales préférentielles ; nous avons adopté des mesures fiscales pour encourager la R&D et l'innovation, réduisant ainsi en 2018 les impôts de 1 300 milliards de yuans environ en faveur des entreprises et des particuliers.
优化财政支出结构，盘活财政存量资金，重点领域支出得到保障。|||Nous avons veillé à optimiser les structures des dépenses budgétaires, à améliorer l'utilisation des encaisses disponibles pour en tirer le meilleur parti, et à garantir efficacement les dépenses dans les secteurs clés.
坚持实施稳健的货币政策，引导金融支持实体经济。|||Nous avons poursuivi notre politique monétaire prudente, et fait en sorte que la finance soutienne l'économie réelle.
针对融资难融资贵问题，先后4次降低存款准备金率，多措并举缓解民营和小微企业资金紧张状况，融资成本上升势头得到初步遏制。|||Pour aider les entreprises à surmonter leurs difficultés de financement, nous avons baissé, quatre fois, le taux de réserves obligatoires, pris diverses mesures pour remédier au manque de fonds des entreprises privées et surtout des PEMIC. Tout cela a permis de commencer à freiner la tendance à la hausse des coûts du financement.
及时应对股市、债市异常波动，人民币汇率基本稳定，外汇储备保持在3万亿美元以上。|||Par ailleurs, nous avons pris en temps voulu des mesures pour faire face aux fluctuations anormales du marché boursier et du marché des obligations, et maintenu la stabilité générale du taux de change du renminbi ; enfin, les réserves de devises se sont chiffrées à plus de 3 000 milliards de dollars américains.
二是扎实打好三大攻坚战，重点任务取得积极进展。|||Deuxièmement, nous avons poursuivi nos efforts pour mener à bien les trois grandes batailles et réalisé de remarquables progrès dans les tâches prioritaires.
制定并有序实施三大攻坚战三年行动方案。|||Le plan d'action triennal que nous avons élaboré pour remporter la victoire des trois grandes batailles a été appliqué de manière ordonnée.
稳步推进结构性去杠杆，稳妥处置金融领域风险，防控地方政府债务风险，改革完善房地产市场调控机制。|||Nous avons poursuivi méthodiquement la réduction structurelle du ratio de levier, et géré de façon adéquate les risques financiers en prévenant et maîtrisant les risques de l'endettement des gouvernements locaux, et en réformant et améliorant le mécanisme de contrôle du marché immobilier.
深入推进精准脱贫，加强扶贫力量，加大资金投入，强化社会帮扶，贫困地区自我发展能力稳步提高。|||Afin de promouvoir l'élimination ciblée de la pauvreté, nous avons accru les ressources humaines et l'aide financière et fait jouer la solidarité sociale, ce qui a permis aux régions démunies d'améliorer leur capacité d'auto-développement.
全面开展蓝天、碧水、净土保卫战。|||Nous avons poursuivi sur toute la ligne notre campagne « ciel bleu, eaux limpides, terre propre ».
优化能源和运输结构。稳妥推进北方地区“煤改气”“煤改电”。|||La structure du secteur énergétique et des transports a été optimisée, et le remplacement du charbon par le gaz ou l'électricité dans les régions du Nord s'est poursuivi de manière méthodique.
全面建立河长制、湖长制。|||Le système de responsable de rivière et de responsable de lac a été pratiqué sur toute la ligne.
化肥农药使用量实现双下降。|||L'usage des engrais chimiques et des pesticides a diminué.
加强生态环保督察执法。|||Les inspections environnementales et l'application des lois concernées ont été renforcées.
积极应对气候变化。|||Nous avons pris des mesures vigoureuses pour faire face au changement climatique.
三是深化供给侧结构性改革，实体经济活力不断释放。|||Troisièmement, nous avons approfondi la réforme structurelle du côté de l'offre et libéré continuellement la vitalité de l'économie réelle.
加大“破、立、降”力度。|||Nous avons fait davantage d'efforts pour éliminer l'offre ineffective, développer de nouveaux moteurs de croissance et abaisser les coûts de l'économie réelle.
推进钢铁、煤炭行业市场化去产能。|||Dans la sidérurgie et l'industrie houillère, nous avons fait progresser l'élimination des capacités obsolètes selon les règles du marché.
实施稳投资举措，制造业投资、民间投资增速明显回升。|||Grâce à l'adoption des mesures pour stabiliser les investissements, la croissance des investissements dans l'industrie manufacturière ainsi que la croissance des investissements privés ont connu un fort rebond.
出台促进居民消费政策。|||Nous avons mis en œuvre des politiques visant à encourager la consommation des ménages.
全面推进“互联网+”，运用新技术新模式改造传统产业。|||À la suite de l'introduction de l'« Internet + » dans tous les secteurs d'activité, nous avons poursuivi la transformation des secteurs traditionnels à l'aide de nouvelles technologies et de nouveaux modèles.
深入推进简政减税减费。|||Nous avons redoublé d'efforts pour promouvoir la simplification des formalités administratives ainsi que la réduction des impôts et des frais divers.
取消一批行政许可事项，“证照分离”改革在全国推开，企业开办时间大幅压缩，工业生产许可证种类压减三分之一以上。|||Une série d'autorisations ont été supprimées ; la séparation de la délivrance de la licence commerciale d'avec l'octroi du permis d'exploitation s'est poursuivie dans l'ensemble du pays ; le délai pour la création d'une entreprise a été considérablement raccourci ; les licences requises pour la production industrielle ont été comprimées d'au moins un tiers.
“双随机、一公开”监管全面实施。|||Nous avons appliqué dans tout le pays le contrôle sur échantillon, basé sur un double tirage au sort de l'entreprise et du contrôleur, et sur une publication immédiate des résultats de l'examen et du traitement.
清理规范各类涉企收费，推动降低用能、用网和物流等成本。|||Nous avons supprimé ou du moins réglementé les redevances payées par les entreprises, et favorisé la réduction des coûts de la consommation d'énergie, de l'Internet et de la logistique.
深化“互联网+政务服务”，各地探索推广一批有特色的改革举措，企业和群众办事便利度不断提高。|||La formule « Internet + Services administratifs » a été appliquée de façon approfondie. Les autorités locales ont lancé à titre d'essai de mesures originales dans ce domaine, ce qui a permis aux entreprises et aux masses populaires de bénéficier de plus de facilités dans leurs activités.
四是深入实施创新驱动发展战略，创新能力和效率进一步提升。|||Quatrièmement, grâce à l'application de notre stratégie de développement par l'innovation, notre capacité et notre efficacité en matière d'innovation se sont améliorées.
大力优化创新生态，调动各类创新主体积极性。|||Nous n'avons ménagé aucun effort pour créer un climat favorable à l'innovation et mettre en valeur l'enthousiasme de tous les acteurs de l'innovation.
深化科技管理体制改革，推进关键核心技术攻关，加强重大科技基础设施、科技创新中心等建设。|||Pour ce faire, nous avons approfondi la réforme du système de gestion scientifique et technique, promu la réalisation de percées dans le domaine des technologies clés et technologies de base, renforcé la construction des infrastructures scientifiques et techniques importantes ainsi que des centres d'innovation scientifique et technologique.
强化企业技术创新主体地位，将提高研发费用加计扣除比例政策扩大至所有企业。|||Nous avons renforcé le rôle primordial des entreprises dans l'innovation technologique en augmentant le pourcentage de déduction majorée pour les investissements en R&D et en faisant bénéficier toutes les entreprises de cette mesure fiscale.
制定支持双创深入发展的政策措施。|||Des politiques ont été élaborées pour soutenir l'innovation et l'entreprenariat de masse.
技术合同成交额增长30%以上。|||Le chiffre d'affaires des contrats relatifs aux technologies a augmenté de plus de 30 %.
科技进步贡献率提高到58.5%。|||La contribution du progrès scientifique et technologique à la croissance économique s'est élevée à 58,5 %.
五是加大改革开放力度，发展动力继续增强。|||Cinquièmement, nous avons renforcé la réforme et l'ouverture, si bien que la dynamique du développement n'a cessé de gagner en puissance.
深化国资国企改革，国有企业优化重组、提质增效取得新进展。|||Du côté de la réforme, nous avons approfondi la réforme des entreprises publiques et des actifs de l'État. Nous avons réalisé de nouveaux progrès dans l'optimisation du regroupement des entreprises publiques. Leurs performances et leur rentabilité se sont encore améliorées.
针对民营企业发展遇到的困难和问题，千方百计帮助解忧纾困。|||Vis-à-vis des difficultés et des problèmes qu'affrontent les entreprises privées, nous avons cherché tous les moyens possibles pour répondre à leurs préoccupations.
推进财税体制改革，预算绩效管理改革全面启动。|||Nous avons promu la réforme des systèmes budgétaire et fiscal et lancé sur toute la ligne la gestion budgétaire basée sur l'évaluation des performances.
改革金融监管体制，完善利率、汇率市场化形成机制。|||Nous avons réformé le système de supervision et de contrôle financier, et perfectionné le mécanisme de fixation des taux d'intérêt et du taux de change du yuan selon les règles du marché.
农业农村、社会事业、生态环保等领域改革不断深化。|||Les réformes ont été menées en profondeur dans l'agriculture, les régions rurales, le secteur des œuvres sociales et la protection de l'environnement.
推出对外开放一系列重大举措。|||Nous avons lancé un grand nombre de nouvelles mesures importantes pour favoriser l'ouverture sur l'extérieur.
共建“一带一路”引领效应持续释放，同沿线国家的合作机制不断健全，经贸合作和人文交流加快推进。|||Le rôle d'entraînement de la réalisation commune du projet « la Ceinture et la Route » s'est fait davantage sentir, les mécanismes de coopération avec les pays concernés ont été améliorés, et la coopération économique et commerciale ainsi que les échanges humains et culturels ont été accélérés.
出台稳外贸政策，货物通关时间压缩一半以上。|||Des politiques visant à stabiliser le commerce extérieur ont été élaborées, le délai de dédouanement a été réduit de plus de moitié.
下调部分商品进口关税，关税总水平由9.8%降至7.5%。|||Nous avons baissé les droits de douane à l'importation d'une partie des marchandises, ramenant ainsi de 9,8 à 7,5 % le niveau général des tarifs douaniers.
新设一批跨境电商综合试验区。复制推广自贸试验区改革经验。|||Nous avons créé de nouvelles zones pilotes de commerce électronique transfrontalier, et généralisé les expériences de réforme des zones pilotes de libre-échange.
大幅压缩外资准入负面清单，扩大金融、汽车等行业开放，一批重大外资项目落地，新设外资企业增长近70%。|||Nous avons réduit largement la liste négative d'accès au marché pour les investissements étrangers, veillé à une ouverture accrue dans les secteurs tels que la finance et l'automobile, accéléré la mise sur pied d'une série de grands projets à capitaux étrangers, et les entreprises à capitaux étrangers nouvellement crées ont connu une augmentation de 70 % environ.
六是统筹城乡区域发展，良性互动格局加快形成。|||Sixièmement, nous avons promu le développement des diverses régions, ainsi que des villes et campagnes, ce qui a permis d'accélérer la mise sur pied d'une configuration de développement marquée par une interaction bénéfique.
乡村振兴战略有力实施，粮食总产量保持在1.3万亿斤以上。|||La stratégie de redressement des régions rurales a été appliquée avec énergie, et la production céréalière a dépassé 650 millions de tonnes.
新型城镇化扎实推进，近1400万农业转移人口在城镇落户。|||La nouvelle urbanisation s'est poursuivie fermement, et quelque 14 millions de migrants d'origine rurale ont été domiciliés en ville.
推进西部开发、东北振兴、中部崛起、东部率先发展，出台一批改革创新举措。|||Nous avons mis en œuvre de nouvelles mesures de réforme et d'innovation pour favoriser la mise en valeur de l'Ouest, le redressement du Nord-Est et le décollage du Centre, et encourager l'Est à jouer un rôle pionnier dans le développement.
京津冀协同发展取得明显进展，长江经济带生态优先、绿色发展格局不断巩固。|||Nous avons réalisé des progrès notables dans le développement coordonné de la zone Beijing-Tianjin-Hebei et consolidé le respect de la nature et le développement vert dans l'édification de la ceinture économique du Changjiang.
粤港澳大湾区规划建设迈出实质性步伐，港珠澳大桥建成通车。|||Nous avons fait des progrès substantiels dans l'élaboration du plan d'aménagement de la région de la Grande Baie Guangdong-Hong Kong-Macao et son exécution, et mis en service le grand pont reliant Hong Kong, Zhuhai et Macao.
加大对革命老区、民族地区、边疆地区、贫困地区改革发展支持力度。|||Un soutien accru a été apporté à la réforme et au développement des anciennes bases révolutionnaires, des régions peuplées de minorités ethniques, des régions frontalières et des régions pauvres.
新增高速铁路运营里程4100公里，新建改建高速公路6000多公里、农村公路30多万公里。|||La longueur des lignes ferroviaires à grande vitesse nouvellement mises en service a atteint 4 100 kilomètres, plus de 6 000 kilomètres d'autoroutes et plus de 300 000 kilomètres de routes rurales ont été construits ou refaits.
城乡区域发展协调性持续增强。|||Le développement des diverses régions, ainsi que des villes et campagnes a été mieux harmonisé.
七是坚持在发展中保障和改善民生，改革发展成果更多更公平惠及人民群众。|||Septièmement, nous avons travaillé à garantir et à améliorer la qualité de vie de la population par le développement, en sorte que les fruits de la réforme et du développement ont profité davantage et de façon plus équitable à la population.
针对外部环境变化给就业带来的影响，及时出台稳就业举措。|||Vu les effets négatifs des changements de l'environnement extérieur sur l'emploi, nous avons pris en temps voulu des mesures pour stabiliser la situation de l'emploi.
大力推动义务教育教师工资待遇政策落实，加强乡村小规模学校和乡镇寄宿制学校建设，促进高等教育内涵式发展。|||Nous avons fait de grands efforts pour mettre en œuvre la politique garantissant le versement du salaire aux enseignants des écoles du cycle obligatoire, construit davantage d'écoles de petite taille dans les villages et d'internats dans les bourgs ou cantons, et favorisé le développement qualitatif de l'enseignement supérieur.
建立企业职工基本养老保险基金中央调剂制度，提高退休人员基本养老金，城乡居民基础养老金最低标准从每月70元提高到88元。|||Un système de péréquation au niveau central des fonds de l'assurance vieillesse de base pour les ouvriers et employés des entreprises a été introduit ; la pension de vieillesse de base des retraités a été majorée ; le minimum mensuel de la pension sociale de vieillesse des habitants des villes et des campagnes a été porté de 70 à 88 yuans par personne.
继续提高优抚、低保等标准，残疾人“两项补贴”惠及所有符合条件人员。加强退役军人服务管理工作，维护退役军人合法权益。|||Les pensions allouées aux invalides, aux familles de militaires et d'autres agents de l'État morts en service commandé, ainsi que le minimum vital garanti ont continué à s'élever. Les subventions aux handicapés en difficulté et pour les soins infirmiers aux handicapées graves ont bénéficié à tous les sujets remplissant les conditions requises. Nous nous sommes mieux occupés des militaires démobilisés en améliorant les services qui leur sont destinés et en protégeant davantage leurs droits et intérêts légitimes.
深化医疗、医保、医药联动改革。|||La réforme coordonnée des soins médicaux, de l'assurance maladie et des services pharmaceutiques a été poursuivie.
稳步推进分级诊疗。|||La mise en place du système de traitement échelonné selon la gravité des maladies a bien avancé.
提高居民基本医保补助标准和大病保险报销比例。|||L'allocation accordée aux personnes qui ont souscrit à l'assurance maladie de base a été augmentée, et le taux de remboursement des frais médicaux par la caisse de l'assurance contre les maladies graves a été élevé.
加快新药审评审批改革，17种抗癌药大幅降价并纳入国家医保目录。|||La réforme de la procédure de test des nouveaux médicaments et d'autorisation de leur commercialisation a été accélérée ; le prix de 17 médicaments contre le cancer a largement diminué, et ils figurent désormais sur la liste nationale des médicaments couverts par l'assurance maladie.
加快推进文化惠民工程，持续加强基层公共文化服务。|||Les projets culturels bénéfiques à la population ont avancé à un rythme accéléré, alors que les services culturels publics de base ont été améliorés.
全民健身蓬勃开展，体育健儿在国际大赛上再创佳绩。|||Les activités sportives de masse se sont bien développées, et nos sportifs ont brillé dans les grandes compétitions internationales.
八是推进法治政府建设和治理创新，保持社会和谐稳定。|||Huitièmement, nous avons réussi à maintenir l'harmonie et la stabilité sociales en promouvant l'édification d'un gouvernement respectueux du droit et le renouveau de la gouvernance.
提请全国人大常委会审议法律议案18件，制定修订行政法规37部。|||Nous avons soumis à l'examen du Comité permanent de l'Assemblée populaire nationale 18 propositions concernant l'élaboration ou la révision de lois, et établi ou révisé 37 règlements administratifs.
改革调整政府机构设置和职能配置。|||Nous avons réajusté par les réformes la structure gouvernementale ainsi que la répartition de ses fonctions.
深入开展国务院大督查，推动改革发展政策和部署落实。|||Le Conseil des affaires d'État a mené en profondeur ses tournées d'inspection de grande envergure et veillé à ce que toutes les politiques formulées et toutes les tâches annoncées à propos de la réforme et du développement soient concrétisées comme il se doit.
发挥审计监督作用。改革完善城乡基层治理。创新信访工作方式。|||Nous avons veillé à faire valoir le rôle des audits, à améliorer la gouvernance à la base dans les villes et les campagnes, et à rénover les procédures de traitement des doléances populaires orales et écrites.
改革和加强应急管理，及时有效应对重大自然灾害，生产安全事故总量和重特大事故数量继续下降。|||Nous avons renforcé notre capacité à maîtriser les situations d'urgence et à combattre de façon immédiate et efficace les calamités naturelles très graves, si bien que le nombre des accidents du travail a reculé et la fréquence des accidents extrêmement graves a continué à diminuer.
加强食品药品安全监管，严厉查处长春长生公司等问题疫苗案件。|||Le contrôle des produits alimentaires et pharmaceutiques a été rendu plus rigoureux, et des sanctions sévères ont été prises à l'encontre des responsables du scandale des vaccins défectueux de la société Changchun Changsheng Life Sciences Limited et d'autres scandales du même genre.
健全国家安全体系。|||Nous avons travaillé à perfectionner le système de sécurité de l'État.
强化社会治安综合治理，开展扫黑除恶专项斗争，依法打击各类违法犯罪，平安中国建设取得新进展。|||Nous avons fait un effort énergique pour mieux assurer l'ordre public, en lançant une campagne spéciale contre les bandes mafieuses et en sévissant, en vertu de la loi, contre toutes sortes de crimes, ce qui nous a permis de réaliser de nouveaux progrès dans l'édification d'une Chine sûre.
认真贯彻党中央全面从严治党战略部署，加强党风廉政建设。|||Nous avons appliqué les dispositions stratégiques du Comité central du Parti sur l'application intégrale d'une discipline rigoureuse dans les rangs du Parti et promu énergiquement la probité au sein du Parti.
