共同构建人与自然生命共同体|||CONSTRUIRE ENSEMBLE UN AVENIR PARTAGÉ POUR L’HOMME ET LA NATURE
要顺应当代科技革命和产业变革大方向，抓住绿色转型带来的巨大发展机遇，以创新为驱动，大力推进经济、能源、产业结构转型升级，让良好生态环境成为全球经济社会可持续发展的支撑。|||Nous devons suivre le courant de la révolution technologique et de la transformation industrielle de l’époque, saisir les énormes opportunités de développement générées par la transition verte, et valoriser le rôle moteur de l’innovation dans nos efforts visant à favoriser la restructuration et la montée en gamme économiques, énergétiques et industrielles en vue d’assurer un développement économique et social durable basé sur la protection de l’environnement au niveau planétaire.
——坚持系统治理。|||— Nous devons promouvoir une gouvernance systémique.
山水林田湖草沙是不可分割的生态系统。|||Les montagnes, les rivières, les forêts, les champs, les lacs, les steppes et les déserts font partie intégrante d’un ensemble d’écosystèmes.
保护生态环境，不能头痛医头、脚痛医脚。|||Pour protéger l’environnement, il ne suffit pas de traiter que les symptômes.
我们要按照生态系统的内在规律，统筹考虑自然生态各要素，从而达到增强生态系统循环能力、维护生态平衡的目标。|||Nous devons suivre les lois inhérentes aux écosystèmes et gérer toutes les composantes de la nature dans leur ensemble en vue de renforcer la capacité de circulation des écosystèmes et de préserver leur équilibre.
——坚持以人为本。|||— Nous devons mettre le bien-être du peuple au cœur de nos actions.
生态环境关系各国人民的福祉，我们必须充分考虑各国人民对美好生活的向往、对优良环境的期待、对子孙后代的责任，探索保护环境和发展经济、创造就业、消除贫困的协同增效，在绿色转型过程中努力实现社会公平正义，增加各国人民获得感、幸福感、安全感。|||L’environnement touche au bien-être de nos peuples. Nous devons prendre pleinement en compte leur aspiration à une vie et un environnement meilleurs et assumer nos responsabilités envers les générations futures. Nous devons explorer des voies et moyens pour protéger l’environnement, développer l’économie, créer des emplois et réduire la pauvreté afin d’assurer l’équité et la justice sociales dans la transition verte et donner à nos peuples un plus grand sentiment de satisfaction, de bonheur et de sécurité.
——坚持多边主义。|||— Nous devons défendre le multilatéralisme.
我们要坚持以国际法为基础、以公平正义为要旨、以有效行动为导向，维护以联合国为核心的国际体系，遵循《联合国气候变化框架公约》及其《巴黎协定》的目标和原则，努力落实2030年可持续发展议程；强化自身行动，深化伙伴关系，提升合作水平，在实现全球碳中和新征程中互学互鉴、互利共赢。|||Nous devons prendre des actions basées sur le droit international, axées sur l’équité et la justice et orientées vers des résultats concrets, préserver le système international centré sur l’ONU, poursuivre les objectifs et les principes de la Convention-cadre des Nations Unies sur les changements climatiques et son Accord de Paris, et travailler à mettre en œuvre le Programme de développement durable à l’horizon 2030. Nous devons prendre chacun des actions plus fortes, approfondir les partenariats et intensifier la coopération pour nous inspirer mutuellement et réaliser des bénéfices partagés dans la nouvelle marche vers la neutralité carbone au niveau mondial.
要携手合作，不要相互指责；要持之以恒，不要朝令夕改；要重信守诺，不要言而无信。|||Pour y parvenir, il faut coopérer et non s’accuser mutuellement, persévérer et non revenir sur sa parole, et honorer ses engagements et non manquer aux promesses.
中方欢迎美方重返多边气候治理进程。|||La Chine salue le retour des États-Unis dans la gouvernance climatique multilatérale.
中美刚刚共同发布了《应对气候危机联合声明》，中方期待同包括美方在内的国际社会一道，共同为推进全球环境治理而努力。|||Les deux pays viennent de publier une déclaration conjointe pour affronter la crise climatique. La Chine entend travailler avec les États-Unis et les autres membres de la communauté internationale pour faire avancer la gouvernance environnementale mondiale.
——坚持共同但有区别的责任原则。|||— Nous devons rester attachés au principe des responsabilités communes mais différenciées.
共同但有区别的责任原则是全球气候治理的基石。|||Le principe des responsabilités communes mais différenciées est la pierre angulaire de la gouvernance climatique mondiale.
发展中国家面临抗击疫情、发展经济、应对气候变化等多重挑战。|||Les pays en développement font face à de multiples défis tels que la lutte contre la COVID-19, le développement de l’économie et la réponse au changement climatique.
我们要充分肯定发展中国家应对气候变化所作贡献，照顾其特殊困难和关切。|||Nous devons reconnaître pleinement leur contribution à la lutte contre le changement climatique et prendre en considération leurs difficultés et préoccupations particulières.
发达国家应该展现更大雄心和行动，同时切实帮助发展中国家提高应对气候变化的能力和韧性，为发展中国家提供资金、技术、能力建设等方面支持，避免设置绿色贸易壁垒，帮助他们加速绿色低碳转型。|||Les pays développés doivent faire preuve d’une plus grande ambition et prendre des actions plus énergiques, et en même temps, aider effectivement les pays en développement à accroître leurs capacités et résilience face au changement climatique, leur fournir des soutiens en matière de fonds, de technologies et de renforcement de capacités, s’abstenir d’ériger des barrières commerciales vertes et contribuer à l’accélération de la transition verte et bas carbone dans les pays en développement.
尊敬的各位同事：|||Chers Collègues,
中华文明历来崇尚天人合一、道法自然，追求人与自然和谐共生。|||Depuis toujours, la civilisation chinoise préconise l’unité entre le Ciel et l’homme, le respect des lois de la nature et la coexistence harmonieuse entre l’homme et la nature.
中国将生态文明理念和生态文明建设写入《中华人民共和国宪法》，纳入中国特色社会主义总体布局。|||L’idée de construire la civilisation écologique est inscrite dans la Constitution de la République populaire de Chine et fait partie des dispositions d’ensemble pour la construction du socialisme à la chinoise.
中国以生态文明思想为指导，贯彻新发展理念，以经济社会发展全面绿色转型为引领，以能源绿色低碳发展为关键，坚持走生态优先、绿色低碳的发展道路。|||À la lumière de la pensée sur la civilisation écologique, la Chine concrétise le nouveau concept de développement, suit l’orientation de la transition verte sur tous les plans du développement économique et social, accorde une importance prioritaire au développement des énergies vertes et bas carbone, et poursuit une voie de développement écologique, vert et bas carbone.
去年，我正式宣布中国将力争2030年前实现碳达峰、2060年前实现碳中和。|||L’année dernière, j’ai annoncé officiellement les objectifs de la Chine d’atteindre le pic des émissions de CO2 avant 2030 et de réaliser la neutralité carbone avant 2060.
这是中国基于推动构建人类命运共同体的责任担当和实现可持续发展的内在要求作出的重大战略决策。|||C’est une décision stratégique majeure prise par la Chine pour assumer ses responsabilités dans la promotion de la construction d’une communauté d’avenir partagé pour l’humanité et répondre aux exigences inhérentes au développement durable.
中国承诺实现从碳达峰到碳中和的时间，远远短于发达国家所用时间，需要中方付出艰苦努力。|||La Chine s’est fixé un délai de loin plus court que celui dans les pays développés pour passer du pic des émissions à la réalisation de la neutralité carbone, ce qui implique des efforts extrêmement durs.
中国将碳达峰、碳中和纳入生态文明建设整体布局，正在制定碳达峰行动计划，广泛深入开展碳达峰行动，支持有条件的地方和重点行业、重点企业率先达峰。|||Atteindre le pic des émissions et réaliser la neutralité carbone ont été inscrits dans les dispositions globales de l’édification de la civilisation écologique en Chine. Nous sommes en train d’élaborer des plans d’action pour atteindre le pic des émissions et de prendre des actions y relatives, et nous encouragerons les régions où les conditions sont réunies et les secteurs et entreprises clé à être les pionniers pour atteindre le pic.
中国将严控煤电项目，“十四五”时期严控煤炭消费增长、“十五五”时期逐步减少。|||Nous effectuerons un contrôle plus strict des projets de centrales à charbon de sorte que la consommation du charbon n’augmente plus pendant la période du 14e Plan quinquennal et qu’elle diminue progressivement pendant la période du 15e Plan quinquennal.
此外，中国已决定接受《〈蒙特利尔议定书〉基加利修正案》，加强非二氧化碳温室气体管控，还将启动全国碳市场上线交易。|||Par ailleurs, la Chine a décidé d’accepter l’Amendement de Kigali au Protocole de Montréal, renforcera le contrôle des émissions des gaz à effet de serre autres que le CO2 et lancera le marché national du carbone.
作为全球生态文明建设的参与者、贡献者、引领者，中国坚定践行多边主义，努力推动构建公平合理、合作共赢的全球环境治理体系。|||En tant qu’acteur, contributeur et pionnier dans l’édification de la civilisation écologique à l’échelle mondiale, la Chine défend fermement le multilatéralisme et œuvre à promouvoir la construction d’un système de gouvernance environnementale mondiale juste, équitable et basé sur la coopération gagnant-gagnant.
中方将在今年10月承办《生物多样性公约》第十五次缔约方大会，同各方一道推动全球生物多样性治理迈上新台阶，支持《联合国气候变化框架公约》第二十六次缔约方会议取得积极成果。|||La Chine accueillera en octobre prochain la 15e réunion de la Conférence des Parties à la Convention sur la diversité biologique et travaillera avec toutes les parties pour améliorer la gouvernance mondiale de la biodiversité. Elle soutient les efforts visant à obtenir des résultats positifs lors de la 26e session de la Conférence des Parties à la Convention-cadre des Nations Unies sur les changements climatiques.
中方秉持“授人以渔”理念，通过多种形式的南南务实合作，尽己所能帮助发展中国家提高应对气候变化能力。|||Convaincue que « mieux vaut apprendre à quelqu’un à pêcher que de lui donner des poissons », la Chine s’est engagée dans une coopération Sud-Sud pragmatique multiforme pour accompagner autant qu’elle peut les autres pays en développement dans le renforcement de leurs capacités à répondre au changement climatique.
从非洲的气候遥感卫星，到东南亚的低碳示范区，再到小岛国的节能灯，中国应对气候变化南南合作成果看得见、摸得着、有实效。|||Des satellites de télédétection aux fins d’observation climatique pour l’Afrique, des zones de démonstration à faibles émissions de carbone en Asie du Sud-Est, et l’éclairage écoénergétique dans de petits pays insulaires, ce sont autant de résultats visibles, tangibles et effectifs obtenus dans la coopération Sud-Sud menée par la Chine sur la réponse au changement climatique.
中方还将生态文明领域合作作为共建“一带一路”重点内容，发起了系列绿色行动倡议，采取绿色基建、绿色能源、绿色交通、绿色金融等一系列举措，持续造福参与共建“一带一路”的各国人民。|||La Chine a fait de l’édification de la civilisation écologique une priorité dans la coopération dans le cadre de l’Initiative « la Ceinture et la Route », en lançant plusieurs initiatives vertes et en prenant des mesures pour promouvoir les infrastructures vertes, les énergies vertes, le transport vert et la finance verte, afin d’apporter sans cesse des bénéfices aux populations des pays partenaires de cette initiative.
各位同事！|||Chers Collègues,
“众力并，则万钧不足举也。”|||Un homme de lettres de la Chine antique disait : « La synergie de tous permet de soulever le poids le plus lourd. »
气候变化带给人类的挑战是现实的、严峻的、长远的。|||Le changement climatique représente pour l’humanité un défi réel, sérieux et de long terme.
但是，我坚信，只要心往一处想、劲往一处使，同舟共济、守望相助，人类必将能够应对好全球气候环境挑战，把一个清洁美丽的世界留给子孙后代。|||Mais je suis convaincu que si nous unissons nos efforts et travaillons en solidarité pour le même objectif, l’humanité relèvera les défis climatiques et environnementaux et laissera aux générations futures un monde propre et beau.
谢谢大家。|||Je vous remercie.
