共同构建地球生命共同体|||BÂTIR ENSEMBLE UNE COMMUNAUTÉ DE TOUTES LES VIES SUR LA TERRE
我们要加快形成绿色发展方式，促进经济发展和环境保护双赢，构建经济与环境协同共进的地球家园。|||Nous devons accélérer l’instauration d’un mode de développement vert et obtenir des résultats gagnant-gagnant du développement économique et de la protection de l’environnement pour construire une planète Terre où l’économie et l’environnement vont de pair.
新冠肺炎疫情给全球发展蒙上阴影，推进联合国2030年可持续发展议程面临更大挑战。|||La COVID-19 pèse sur le développement mondial et pose des défis plus sérieux à la concrétisation du Programme de développement durable à l’horizon 2030 des Nations Unies.
面对恢复经济和保护环境的双重任务，发展中国家更需要帮助和支持。|||Face à la double tâche de relancer l’économie et de protéger l’environnement, les pays en développement ont d’autant plus besoin d’aide et de soutien.
我们要加强团结、共克时艰，让发展成果、良好生态更多更公平惠及各国人民，构建世界各国共同发展的地球家园。|||Nous devons être plus solidaires face aux épreuves et faire bénéficier encore davantage et de manière plus équitable les acquis de développement et la protection environnementale à tous les peuples du monde, pour construire une planète Terre où tous les pays se développent ensemble.
我们处在一个充满挑战，也充满希望的时代。|||Nous vivons aujourd’hui une époque pleine de défis, mais aussi pleine d’espoir.
行而不辍，未来可期。|||En persévérant dans l’effort, nous sommes promis à un bel avenir.
为了我们共同的未来，我们要携手同行，开启人类高质量发展新征程。|||Pour façonner notre avenir commun, il est temps pour nous de travailler main dans la main et entamer une nouvelle marche vers un développement de haute qualité.
第一，以生态文明建设为引领，协调人与自然关系。|||Premièrement, nous devons nous guider sur la vision de la civilisation écologique pour coordonner les relations entre l’homme et la nature.
我们要解决好工业文明带来的矛盾，把人类活动限制在生态环境能够承受的限度内，对山水林田湖草沙进行一体化保护和系统治理。|||Il nous faut résoudre les problèmes issus de la civilisation industrielle, encadrer les activités humaines dans les limites de la capacité de charge des écosystèmes, et mettre en place une protection intégrée et une gouvernance systémique des montagnes, des rivières, des lacs, des forêts, des champs, des steppes et des déserts.
第二，以绿色转型为驱动，助力全球可持续发展。|||Deuxièmement, nous devons faire jouer le moteur de la transition verte pour contribuer au développement durable dans le monde.
我们要建立绿色低碳循环经济体系，把生态优势转化为发展优势，使绿水青山产生巨大效益。|||Nous devons mettre en place une économie verte, bas carbone et circulaire pour transformer le capital écologique en atouts de développement et valoriser les bénéfices qu’un bon environnement apporte à l’homme.
我们要加强绿色国际合作，共享绿色发展成果。|||Nous avons à renforcer la coopération internationale en vue d’un développement vert pour tous les pays.
第三，以人民福祉为中心，促进社会公平正义。|||Troisièmement, nous devons placer le bien-être du peuple au cœur de nos préoccupations pour promouvoir l’équité et la justice sociales.
我们要心系民众对美好生活的向往，实现保护环境、发展经济、创造就业、消除贫困等多面共赢，增强各国人民的获得感、幸福感、安全感。|||Nous devons toujours garder à l’esprit les aspirations des peuples à une vie meilleure et rechercher des résultats gagnant-gagnant dans la protection de l’environnement, le développement économique, la création d’emplois et la réduction de la pauvreté pour apporter à nos peuples un plus grand sentiment de satisfaction, de bonheur et de sécurité.
第四，以国际法为基础，维护公平合理的国际治理体系。|||Quatrièmement, nous devons baser nos actions sur le droit international pour préserver le système de gouvernance internationale juste et équitable.
我们要践行真正的多边主义，有效遵守和实施国际规则，不能合则用、不合则弃。|||Nous devons poursuivre le véritable multilatéralisme, respecter et appliquer de manière effective les règles internationales qui ne doivent être exploitées ou abandonnées à la volonté de certains.
设立新的环境保护目标应该兼顾雄心和务实平衡，使全球环境治理体系更加公平合理。|||Dans l’élaboration de nouveaux objectifs de protection de l’environnement, nous devons être ambitieux, pragmatiques et équilibrés pour que le système de gouvernance environnementale mondiale soit plus juste et plus équitable.
尊敬的各位同事，|||Chers Collègues,
中国生态文明建设取得了显著成效。|||La Chine a réalisé des progrès remarquables dans la construction de la civilisation écologique.
前段时间，云南大象的北上及返回之旅，让我们看到了中国保护野生动物的成果。|||La migration d’éléphants vers le nord et leur récent retour dans leur réserve du Yunnan sont une illustration concrète de ce que nous avons fait pour protéger les animaux sauvages.
中国将持续推进生态文明建设，坚定不移贯彻创新、协调、绿色、开放、共享的新发展理念，建设美丽中国。|||Nous continuerons de faire avancer la civilisation écologique et de mettre en œuvre résolument la nouvelle vision d’un développement innovant, coordonné, vert, ouvert et partagé pour construire une belle Chine.
在此，我宣布，中国将率先出资15亿元人民币，成立昆明生物多样性基金，支持发展中国家生物多样性保护事业。|||Je voudrais saisir cette occasion pour annoncer l’initiative de la Chine de mettre en place un Fonds Kunming pour la biodiversité en y apportant en premier une contribution de 1,5 milliard de yuans RMB, dans le but de soutenir la conservation de la biodiversité dans les pays en développement.
中方呼吁并欢迎各方为基金出资。|||Nous appelons et invitons les différentes parties à apporter leurs contributions.
为加强生物多样性保护，中国正加快构建以国家公园为主体的自然保护地体系，逐步把自然生态系统最重要、自然景观最独特、自然遗产最精华、生物多样性最富集的区域纳入国家公园体系。|||Pour renforcer la conservation de la biodiversité, la Chine travaille à accélérer l’établissement d’un système d’aires protégées axé sur les parcs nationaux pour intégrer progressivement dans le réseau des parcs nationaux les zones aux écosystèmes naturels les plus importants, aux paysages naturels les plus particuliers, au patrimoine naturel le plus précieux et à la biodiversité la plus riche.
中国正式设立三江源、大熊猫、东北虎豹、海南热带雨林、武夷山等第一批国家公园，保护面积达23万平方公里，涵盖近30%的陆域国家重点保护野生动植物种类。|||Les premiers parcs nationaux ont été officiellement inclus, y compris le parc national des sources des trois rivières, le parc national des pandas géants, le parc national du tigre et du léopard du Nord-Est de Chine, le parc national de la forêt tropicale à Hainan et le parc national du mont Wuyi. Ces parcs s’étendent sur une superficie de 230 000 kilomètres carrés et couvrent près de 30% des espèces sauvages terrestres protégées au niveau national.
同时，本着统筹就地保护与迁地保护相结合的原则，启动北京、广州等国家植物园体系建设。|||En plus, dans l’esprit de relier la conservation in situ et ex situ, nous avons lancé la construction d’un réseau de jardins botaniques nationaux dans des villes comme Beijing et Guangzhou.
为推动实现碳达峰、碳中和目标，中国将陆续发布重点领域和行业碳达峰实施方案和一系列支撑保障措施，构建起碳达峰、碳中和“1+N”政策体系。|||Pour atteindre les objectifs du pic des émissions et de la neutralité carbone, la Chine publiera des plans d’action et des mesures d’accompagnement pour l’atteinte du pic des émissions dans les domaines et secteurs prioritaires et mettra en place un ensemble de politiques « 1+N » pour la réalisation de ces objectifs.
中国将持续推进产业结构和能源结构调整，大力发展可再生能源，在沙漠、戈壁、荒漠地区加快规划建设大型风电光伏基地项目，第一期装机容量约1亿千瓦的项目已于近期有序开工。|||La Chine continuera de restructurer son tissu industriel et son mix énergétique, développera activement les énergies renouvelables et accélérera la planification et la construction de grandes bases éoliennes et photovoltaïques dans des déserts, des déserts rocheux et des zones arides. Les travaux des projets de la première phase d’une capacité installée de près de 100 000 mégawatts ont été récemment lancés.
各位同事！|||Chers Collègues,
人不负青山，青山定不负人。|||Quand l’homme respecte la nature, la nature lui rapporte des bénéfices.
生态文明是人类文明发展的历史趋势。|||La civilisation écologique est une tendance historique qui va dans le sens du développement de la civilisation humaine.
让我们携起手来，秉持生态文明理念，站在为子孙后代负责的高度，共同构建地球生命共同体，共同建设清洁美丽的世界！|||À nous de travailler main dans la main à la lumière de la vision de la civilisation écologique et d’assumer notre responsabilité envers les générations futures pour bâtir ensemble une communauté de toutes les vies sur la Terre et un monde propre et beau pour nous tous.
