政府工作报告|||RAPPORT D’ACTIVITÉ DU GOUVERNEMENT
常住人口城镇化率首次超过60%，重大区域战略深入实施。|||Le taux d’urbanisation de la population permanente a pour la première fois dépassé la barre des 60 %. Nos grandes stratégies de développement interrégional ont été mises en œuvre de manière approfondie.
——发展新动能不断增强。|||— Les nouveaux moteurs de croissance n’ont cessé de se renforcer.
科技创新取得一批重大成果。|||L’innovation scientifique et technologique a abouti à des résultats remarquables.
新兴产业持续壮大，传统产业加快升级。|||Les industries émergentes ont continué à se développer, et les industries traditionnelles ont été mises à niveau à un rythme accéléré.
大众创业万众创新深入开展，企业数量日均净增1万户以上。|||L’innovation et l’entrepreneuriat de masse se sont poursuivis de manière approfondie : le nombre net d’entreprises nouvellement créées a dépassé 10 000 par jour.
——改革开放迈出重要步伐。供给侧结构性改革继续深化，重要领域改革取得新突破。|||— La réforme et l’ouverture sur l’extérieur ont réalisé des progrès importants.La réforme structurelle du côté de l’offre s’est poursuivie en profondeur, et les réformes dans les domaines prioritaires ont réalisé de nouvelles percées.
减税降费2.36万亿元，超过原定的近2万亿元规模，制造业和小微企业受益最多。|||La réduction des impôts, droits et frais divers a dépassé les 2 000 milliards de yuans, atteignant 2 360 milliards de yuans. L’industrie manufacturière et les petites entreprises et microentreprises (PEMIC) en ont été les principaux bénéficiaires.
政府机构改革任务完成。|||La réforme des organes gouvernementaux a été achevée.
“放管服”改革纵深推进。|||La réforme visant à promouvoir la décentralisation et la simplification administratives, à concilier le contrôle et le laissez-faire et à améliorer les services publics a progressé à grands pas.
设立科创板。|||Une plateforme dédiée à la science et à l’innovation technologique a été établie.
共建“一带一路”取得新成效。|||La mise en œuvre conjointe de l’initiative « Ceinture et Route » a remporté de nouveaux succès.
出台外商投资法实施条例，增设上海自贸试验区新片区。|||Le règlement d’application de la Loi sur les investissements étrangers a été promulgué. Un nouveau parc a été créé dans la zone pilote de libre-échange de Shanghai.
外贸外资保持稳定。|||La situation concernant le commerce extérieur et les capitaux étrangers est demeurée stable.
——三大攻坚战取得关键进展。|||— Les trois grandes batailles [Il s’agit de la prévention et de la résorption des risques majeurs, de l’élimination ciblée de la pauvreté et de la lutte contre la pollution. — N.D.T.] ont réalisé des avancées importantes.
农村贫困人口减少1109万，贫困发生率降至0.6%，脱贫攻坚取得决定性成就。|||L’élimination de la pauvreté a remporté des succès décisifs : 11,09 millions de ruraux supplémentaires sont sortis de la pauvreté, et le taux de pauvreté a été réduit à 0,6 %.
污染防治持续推进，主要污染物排放量继续下降，生态环境总体改善。|||La lutte contre la pollution s’est poursuivie : l’émission des principaux polluants a continué à baisser, et l’environnement écologique s’est amélioré dans l’ensemble.
金融运行总体平稳。|||Le secteur financier est resté stable dans l’ensemble.
——民生进一步改善。|||— Les conditions de vie de la population ont continué à s’améliorer.
居民人均可支配收入超过3万元。|||Le revenu disponible par habitant a atteint plus de 30 000 yuans.
基本养老、医疗、低保等保障水平提高。|||Le niveau de l’assurance vieillesse de base, de l’assurance maladie et du minimum vital garanti s’est élevé.
城镇保障房建设和农村危房改造深入推进。|||La construction de logements sociaux et la rénovation de maisons vétustes rurales ont progressé.
义务教育阶段学生生活补助人数增加近40%，高职院校扩招100万人。|||Le nombre d’élèves subventionnés durant l’étape de l’enseignement obligatoire a augmenté de près de 40 %, et un million d’élèves supplémentaires ont été admis dans l’enseignement supérieur professionnel.
我们隆重庆祝中华人民共和国成立70周年，极大激发全国各族人民的爱国热情，汇聚起夺取新时代中国特色社会主义伟大胜利的磅礴力量。|||Nous avons célébré solennellement le 70e anniversaire de la République populaire de Chine, ce qui a suscité un grand enthousiasme patriotique au sein du peuple chinois multiethnique, et rassemblé d’immenses forces pour faire triompher le socialisme à la chinoise de la nouvelle ère.
我们加强党风廉政建设，扎实开展“不忘初心、牢记使命”主题教育，严格落实中央八项规定精神，持续纠治“四风”，为基层松绑减负。|||Pour améliorer sur toute la ligne le style de travail du Parti et faire régner l’intégrité dans ses rangs, nous avons mené efficacement la campagne ayant pour thème « Rester fidèle à notre engagement initial et garder toujours à l’esprit notre mission », appliqué l’esprit des « huit recommandations » du Comité central du Parti, corrigé sans relâche les « quatre vices » [Il s’agit de la prévention et de la résorption des risques majeurs, de l’élimination ciblée de la pauvreté et de la lutte contre la pollution. — N.D.T.] et œuvré à alléger le fardeau des échelons de base.
中国特色大国外交成果丰硕。|||Notre diplomatie de grand pays aux caractéristiques chinoises a connu de vifs succès.
成功举办第二届“一带一路”国际合作高峰论坛等重大主场外交活动，习近平主席等党和国家领导人出访多国，出席二十国集团领导人峰会、金砖国家领导人会晤、亚信峰会、上海合作组织峰会、东亚合作领导人系列会议、中欧领导人会晤、中日韩领导人会晤等重大活动。|||Nous avons bien organisé une série d’activités diplomatiques en Chine, dont le deuxième Forum « Ceinture et Route » pour la coopération internationale. Le président Xi Jinping et d’autres dirigeants du Parti et de l’État ont effectué des visites dans de nombreux pays et participé à des activités importantes, notamment le Sommet du G20, le Sommet des BRICS, le Sommet de la Conférence pour l’interaction et les mesures de confiance en Asie, le Sommet de l’Organisation de coopération de Shanghai, les réunions des dirigeants sur la coopération en Asie de l’Est, le Sommet Chine-UE et la réunion des dirigeants Chine-Japon-République de Corée.
积极参与全球治理体系建设和改革，推动构建人类命运共同体。|||Nous avons pris une part active au développement et à la réforme du système de gouvernance mondiale et promu la construction d’une communauté de destin pour l’humanité.
经济外交、人文交流卓有成效。|||Notre diplomatie économique et nos échanges culturels et humains avec l’extérieur ont été fructueux.
中国为促进世界和平与发展作出了重要贡献。|||La Chine a apporté une contribution importante à la paix et au développement dans le monde.
各位代表！|||Mesdames et Messieurs les députés,
新冠肺炎疫情发生后，党中央将疫情防控作为头等大事来抓，习近平总书记亲自指挥、亲自部署，坚持把人民生命安全和身体健康放在第一位。|||Lorsque le COVID-19 s’est déclaré, le Comité central du Parti a attaché une importance primordiale à la prévention et au contrôle de l’épidémie. Le secrétaire général Xi Jinping, accordant la priorité absolue à la vie et à la santé du peuple chinois, a pris les commandes de la lutte contre le COVID-19 en mettant en place les dispositions nécessaires.
在党中央领导下，中央应对疫情工作领导小组及时研究部署，中央指导组加强指导督导，国务院联防联控机制统筹协调，各地区各部门履职尽责，社会各方面全力支持，开展了疫情防控的人民战争、总体战、阻击战。|||Sous la direction du Comité central du Parti, le Groupe dirigeant central chargé de la lutte contre le COVID-19 a fait rapidement des analyses et pris des mesures ; l’équipe d’orientation centrale a été envoyée au Hubei par le Comité central pour y guider la lutte contre l’épidémie et inspecter le travail sur le terrain ; le Conseil des affaires d’État a coordonné les actions de prévention et de contrôle de l’épidémie par le biais d’un mécanisme interministériel ; toutes les autorités locales et tous les départements gouvernementaux ont assumé pleinement leurs responsabilités ; tous les milieux de la société se sont mobilisés. Ainsi s’est déclenchée une guerre populaire et globale contre le COVID-19.
广大医务人员英勇奋战，人民解放军指战员勇挑重担，科技工作者协同攻关，社区工作者、公安干警、基层干部、新闻工作者、志愿者坚守岗位，快递、环卫、抗疫物资生产运输人员不辞劳苦，亿万普通劳动者默默奉献，武汉人民、湖北人民坚韧不拔，社会各界和港澳台同胞、海外侨胞捐款捐物。|||Notre personnel soignant s’est battu héroïquement, les officiers et soldats de notre Armée populaire de Libération ont relevé courageusement d’énormes défis, et nos scientifiques et techniciens ont uni leurs efforts pour réaliser des percées. Les travailleurs communautaires, les policiers, les cadres aux échelons de base, les professionnels des médias ainsi que les bénévoles sont restés à leur poste dans le combat contre le virus ; les livreurs, les éboueurs et les personnes chargées de produire et de transporter le matériel servant à la lutte contre le COVID-19 ont travaillé sans ménager leurs efforts. Comme eux, d’innombrables travailleurs ont apporté une contribution désintéressée à la lutte contre le virus. Les habitants de Wuhan et du Hubei ont fait preuve d’un esprit inébranlable. Les divers milieux sociaux, nos compatriotes de Hong Kong, de Macao et de Taiwan, ainsi que les ressortissants chinois à l’étranger ont offert des dons et une aide matérielle.
中华儿女风雨同舟、守望相助，筑起了抗击疫情的巍峨长城。|||Animés par l’esprit de solidarité et d’entraide fraternelle, les enfants de la patrie ont élevé ensemble un rempart solide contre le COVID-19.
在疫情防控中，我们按照坚定信心、同舟共济、科学防治、精准施策的总要求，抓紧抓实抓细各项工作。|||Conformément aux exigences générales, à savoir « raffermir la confiance, rester solidaires, adopter une démarche scientifique et prendre des mesures ciblées », nous avons mené sans tarder notre travail de lutte contre l’épidémie de manière effective et minutieuse.
及时采取应急举措，对新冠肺炎实行甲类传染病管理，各地启动重大突发公共卫生事件一级响应。|||Nous avons, en adoptant rapidement des mesures d’urgence, traité le COVID-19 comme une maladie infectieuse de grade A. La réponse de niveau I qui correspond aux urgences de santé publique majeures a été activée dans tout le pays.
坚决打赢武汉和湖北保卫战并取得决定性成果，通过果断实施严格管控措施，举全国之力予以支援，调派4万多名医护人员驰援，建设火神山、雷神山医院和方舱医院，快速扩充收治床位，优先保障医用物资，不断优化诊疗方案，坚持中西医结合，坚持“四集中”，全力救治患者，最大程度提高治愈率、降低病亡率。|||Nous avons résolu de remporter la bataille de défense de Wuhan et du Hubei et obtenu des résultats décisifs grâce aux mesures rigoureuses de contrôle prises avec fermeté, au soutien de l’ensemble du pays, à l’envoi de plus de 40 000 soignants venant de toute la Chine, à la construction des hôpitaux de Huoshenshan et de Leishenshan ainsi que des hôpitaux temporaires, à l’augmentation rapide du nombre de lits médicalisés disponibles et à un accès prioritaire au matériel médical. En mettant sans cesse au point des solutions pour le dépistage et le traitement, en combinant la médecine occidentale et la médecine traditionnelle chinoise et en insistant sur le principe dit « regroupement des patients, des experts, des ressources et des services de soins », nous avons fait tout notre possible pour soigner les patients, augmenter au maximum le taux de guérison et réduire le taux de mortalité.
延长全国春节假期，推迟开学、灵活复工、错峰出行，坚持群防群控，坚持“四早”，坚决控制传染源，有效遏制疫情蔓延。|||Les vacances nationales de la fête du Printemps ont été prolongées, la rentrée scolaire a été reportée, la reprise du travail a été effectuée de manière souple, et les déplacements ont été réorganisés selon des horaires décalés. En nous appuyant sur toute la population pour assurer la prévention et le contrôle, en persévérant dans le principe de précocité concernant le dépistage, le signalement, la quarantaine et le traitement, et en maîtrisant résolument les sources de contamination, nous avons réussi à endiguer effectivement la propagation du virus.
加强药物、疫苗和检测试剂研发。|||La R-D en matière de médicaments, de vaccins et de tests de dépistage a été renforcée.
迅速扩大医用物资生产，短时间内大幅增长，抓好生活必需品保供稳价，保障交通干线畅通和煤电油气供应。|||Nous avons accru considérablement et en peu de temps la production de matériel médical, tout en garantissant l’approvisionnement en produits de première nécessité et en stabilisant leurs prix. La circulation sur les principales artères de transport ainsi que l’approvisionnement en charbon, en électricité, en carburant et en gaz ont été également assurés.
因应疫情变化，适时推进常态化防控。|||Nous avons, en fonction de l’évolution de l’épidémie, instauré en temps utile un dispositif permanent de prévention et de contrôle.
针对境外疫情蔓延情况，及时构建外防输入体系，加强对境外我国公民的关心关爱。|||Pour faire face à la propagation du COVID-19 à l’étranger, nous avons créé rapidement un système visant à prévenir l’importation de cas et nous sommes préoccupés davantage de nos concitoyens résidant à l’étranger.
积极开展国际合作，本着公开、透明、负责任态度，及时通报疫情信息，主动分享防疫技术和做法，相互帮助、共同抗疫。|||La Chine, activement engagée dans la coopération internationale, a adopté une approche ouverte et transparente de même qu’une attitude responsable : elle a communiqué sans tarder les informations concernant le COVID-19 et pris l’initiative de partager les techniques et les méthodes de lutte contre l’épidémie, afin que tous les pays puissent s’entraider pour combattre ensemble le COVID-19.
对我们这样一个拥有14亿人口的发展中国家来说，能在较短时间内有效控制疫情，保障了人民基本生活，十分不易、成之惟艰。|||Pour un pays en voie de développement peuplé de 1,4 milliard d’habitants comme le nôtre, il a été extrêmement difficile de contrôler efficacement l’épidémie dans un temps relativement court, tout en garantissant les moyens d’existence de la population.
我们也付出巨大代价，一季度经济出现负增长，生产生活秩序受到冲击，但生命至上，这是必须承受也是值得付出的代价。|||Nous y sommes finalement parvenus, mais nous l’avons payé chèrement : l’économie de notre pays a connu une croissance négative durant le premier trimestre, et l’ordre de la vie et de la production a subi un choc brutal. Tous ces sacrifices étaient inévitables et nécessaires, car rien n’est plus important que la vie humaine.
我们统筹推进疫情防控和经济社会发展，不失时机推进复工复产，推出8个方面90项政策措施，实施援企稳岗，减免部分税费，免收所有收费公路通行费，降低用能成本，发放贴息贷款。|||Nous avons mené de front la lutte contre le COVID-19 et la promotion du développement économique et social, en préconisant la reprise sans tarder du travail et de la production, et en adoptant 90 mesures politiques concernant huit domaines, dont une aide aux entreprises pour stabiliser leur emploi, la réduction ou l’exemption de certaines taxes et charges, la suspension des péages routiers, la baisse du coût de revient relatif à la consommation énergétique et l’octroi de prêts bonifiés.
按程序提前下达地方政府债务限额。|||Les plafonds des dettes des gouvernements locaux ont été définis à l’avance selon la procédure requise.
不误农时抓春耕。|||Les travaux agricoles du printemps se sont bien déroulés, et la bonne saison n’a pas été manquée.
不懈推进脱贫攻坚。|||La lutte pour éradiquer la pauvreté a bien avancé grâce à nos efforts inlassables.
发放抗疫一线和困难人员补助，将价格临时补贴标准提高1倍。|||Des subventions ont été versées aux travailleurs de première ligne dans la lutte contre le COVID-19 ainsi qu’aux personnes en difficulté, et les subventions exceptionnelles liées à la hausse des prix ont été doublées.
这些政策使广大人民群众从中受益，及时有效促进了保供稳价和复工复产，我国经济表现出坚强韧性和巨大潜能。|||Ces politiques ont profité aux masses populaires, et assuré efficacement et en temps voulu le ravitaillement, la stabilisation des prix, ainsi que la reprise du travail et de la production. Notre économie a fait montre d’une forte résilience et d’un potentiel immense.
各位代表：|||Mesdames et Messieurs les députés,
去年以来经济社会发展和今年疫情防控取得的成绩，是以习近平同志为核心的党中央坚强领导的结果，是习近平新时代中国特色社会主义思想科学指引的结果，是全党全军全国各族人民团结奋斗的结果。|||Tous les résultats que nous avons obtenus dans le développement économique et social depuis l’année dernière, ainsi que dans la lutte contre le COVID-19 de cette année, nous les devons à la ferme direction du Comité central du Parti rassemblé autour du camarade Xi Jinping, aux lumières de sa pensée sur le socialisme à la chinoise de la nouvelle ère, et aux efforts conjugués du Parti, de l’armée et du peuple chinois multiethnique.
我代表国务院，向全国各族人民，向各民主党派、各人民团体和各界人士，表示诚挚感谢！向香港特别行政区同胞、澳门特别行政区同胞、台湾同胞和海外侨胞，表示诚挚感谢！|||Je tiens ici à exprimer, au nom du Conseil des affaires d’État, nos sincères remerciements à toutes nos communautés ethniques, à tous les partis et groupements démocratiques, à toutes les organisations populaires et aux personnalités de tous les milieux. Je tiens également à remercier cordialement nos concitoyens des régions administratives spéciales de Hong Kong et de Macao, ainsi que nos compatriotes de Taiwan et d’outre-mer.
向关心支持中国现代化建设和抗击疫情的各国政府、国际组织和各国朋友，表示诚挚感谢！|||Nous remercions aussi de tout cœur les gouvernements des divers pays, les organisations internationales et nos amis partout dans le monde qui s’intéressent et apportent leur soutien à notre modernisation ainsi qu’à notre lutte contre l’épidémie.
在肯定成绩的同时，我们也清醒看到面临的困难和问题。|||Tout en appréciant légitimement les succès remportés, nous sommes conscients des difficultés et des problèmes qui se dressent devant nous.
受全球疫情冲击，世界经济严重衰退，产业链供应链循环受阻，国际贸易投资萎缩，大宗商品市场动荡。|||Sous le choc du COVID-19, l’économie mondiale connaît une récession extrêmement importante ; le fonctionnement des chaînes industrielles et d’approvisionnement est entravé ; le commerce et l’investissement internationaux se contractent fortement ; et le marché des produits primaires essentiels est touché par des fluctuations.
国内消费、投资、出口下滑，就业压力显著加大，企业特别是民营企业、中小微企业困难凸显，金融等领域风险有所积聚，基层财政收支矛盾加剧。|||À l’intérieur du pays, la consommation, l’investissement et l’exportation se ralentissent ; la pression sur l’emploi augmente sensiblement ; les entreprises, en particulier les entreprises privées, les PME et les microentreprises sont confrontées à des difficultés aiguës ; des risques s’accumulent dans certains secteurs comme la finance ; et les budgets des administrations locales affichent des déficits accrus.
政府工作存在不足，形式主义、官僚主义仍较突出，少数干部不担当、不作为、不会为、乱作为。|||Il existe aussi des insuffisances dans le travail gouvernemental, comme l’existence alarmante du formalisme et de la bureaucratie, ainsi que l’irresponsabilité, l’inaction, l’incompétence ou l’intervention arbitraire de certains cadres.
一些领域腐败问题多发。|||Un certain nombre de cas de corruption se sont déclarés dans plusieurs domaines.
在疫情防控中，公共卫生应急管理等方面暴露出不少薄弱环节，群众还有一些意见和建议应予重视。|||Au cours de la lutte contre l’épidémie, des maillons faibles se sont révélés dans des domaines tels que la gestion des situations d’urgence de santé publique, et certains avis et conseils émanant des masses populaires méritent une plus grande attention.
我们一定要努力改进工作，切实履行职责，尽心竭力不辜负人民的期待。|||Aussi il nous faut améliorer notre travail, assumer scrupuleusement nos responsabilités, et faire de notre mieux pour ne pas décevoir les attentes du peuple.
二、今年发展主要目标和下一阶段工作总体部署|||OBJECTIFS PRINCIPAUX DU DÉVELOPPEMENT DE CETTE ANNÉE ET DISPOSITIONS GÉNÉRALES POUR LA PÉRIODE À VENIR
做好今年政府工作，要在以习近平同志为核心的党中央坚强领导下，以习近平新时代中国特色社会主义思想为指导，全面贯彻党的十九大和十九届二中、三中、四中全会精神，坚决贯彻党的基本理论、基本路线、基本方略，增强“四个意识”、坚定“四个自信”、做到“两个维护”，紧扣全面建成小康社会目标任务，统筹推进疫情防控和经济社会发展工作，在疫情防控常态化前提下，坚持稳中求进工作总基调，坚持新发展理念，坚持以供给侧结构性改革为主线，坚持以改革开放为动力推动高质量发展，坚决打好三大攻坚战，加大“六稳”工作力度，保居民就业、保基本民生、保市场主体、保粮食能源安全、保产业链供应链稳定、保基层运转，坚定实施扩大内需战略，维护经济发展和社会稳定大局，确保完成决战决胜脱贫攻坚目标任务，全面建成小康社会。|||Pour mener à bien l’activité gouvernementale de cette année, nous devons, sous la ferme direction du Comité central du Parti rassemblé autour du camarade Xi Jinping, et à la lumière de sa pensée sur le socialisme à la chinoise de la nouvelle ère, valoriser intégralement l’esprit du XIXe Congrès du Parti et des 2e, 3e et 4e plénums du Comité central issu de ce congrès. Il nous faut appliquer fermement la théorie, la ligne et la stratégie fondamentales du Parti, tout en renforçant les « quatre consciences » [Il s’agit de la conscience politique, de la conscience de l’intérêt général, de la conscience du noyau dirigeant et de la conscience de l’alignement. — N.D.T.] et la « quadruple confiance en soi » [Il s’agit de la confiance dans notre voie, notre théorie, notre régime et notre culture. — N.D.T.], et en nous attachant à préserver résolument la position centrale du secrétaire général Xi Jinping au sein du Comité central et du Parti ainsi que l’autorité et la direction centralisée et unifiée du Comité central du Parti. Il faut également, en nous focalisant sur l’objectif de parachever l’édification intégrale de la société de moyenne aisance, faire avancer de manière coordonnée la lutte contre le COVID-19 et le développement économique et social. Tout en assurant en permanence la prévention et le contrôle de l’épidémie, nous continuerons de suivre la nouvelle vision du développement et le principe général dit « aller de l’avant à pas assurés », de prendre pour fil conducteur la réforme structurelle du côté de l’offre, et de faire jouer à la réforme et à l’ouverture leur rôle moteur dans la promotion d’un développement de qualité. Nous devons mener à bien les trois grandes batailles, redoubler nos efforts pour maintenir les « six stabilisations » [Il s’agit de mettre en œuvre des mesures pour stabiliser l’emploi, la finance, le commerce extérieur, les capitaux étrangers, les investissements et les anticipations. — N.D.T.] et garantir l’emploi, le bien-être de la population, le maintien du dynamisme des acteurs du marché, la sécurité alimentaire et énergétique, la stabilité des chaînes industrielles et d’approvisionnement ainsi que le fonctionnement des administrations de base [Il s’agit de ce qu’on appelle les « six garanties ». — N.D.T.]. Nous appliquerons fermement notre stratégie visant à relancer la demande intérieure, et travaillerons à préserver le développement économique et la stabilité sociale. Nous allons tout mettre en œuvre pour conduire à la victoire finale la lutte contre la pauvreté et parachever l’édification intégrale de la société de moyenne aisance.
当前和今后一个时期，我国发展面临风险挑战前所未有，但我们有独特政治和制度优势、雄厚经济基础、巨大市场潜力，亿万人民勤劳智慧。|||À l’heure actuelle, nous sommes confrontés à des risques et défis sans précédent dans notre développement, et nous le resterons dans les prochaines années. Cependant, nous disposons d’avantages politiques et institutionnels particuliers, d’une base économique puissante, d’un marché au potentiel immense, de la diligence et de l’intelligence de plus d’un milliard de Chinois.
只要直面挑战，坚定发展信心，增强发展动力，维护和用好我国发展重要战略机遇期，当前的难关一定能闯过，中国的发展必将充满希望。|||Pourvu que nous relevions les défis qui se dressent sur notre route, raffermissions notre confiance dans le développement, renforcions les forces motrices de notre développement, préservions et saisissions cette importante période stratégique pour notre développement, il ne fait aucun doute que nous pourrons surmonter les difficultés actuelles et que le développement de la Chine restera tout à fait prometteur.
综合研判形势，我们对疫情前考虑的预期目标作了适当调整。|||Après l’analyse et l’évaluation de l’ensemble de la situation, nous avons ajusté adéquatement les objectifs qui avaient été définis avant l’apparition du COVID-19.
今年要优先稳就业保民生，坚决打赢脱贫攻坚战，努力实现全面建成小康社会目标任务；城镇新增就业900万人以上，城镇调查失业率6%左右，城镇登记失业率5.5%左右；|||Cette année, nous accorderons la priorité à la stabilisation de l’emploi et au maintien du bien-être de la population, mènerons jusqu’à la victoire finale la lutte contre la pauvreté, et nous efforcerons de réaliser l’objectif de parachever l’édification intégrale de la société de moyenne aisance. Dans les agglomérations urbaines, plus de neuf millions d’emplois seront créés ; le taux de chômage au sens du recensement sera maintenu à environ 6 % ; et le taux de chômage enregistré, à environ 5,5 %.
居民消费价格涨幅3.5%左右；|||La hausse des prix à la consommation des ménages se chiffrera à environ 3,5 %.
进出口促稳提质，国际收支基本平衡；|||La stabilité et la qualité de l’import-export s’amélioreront, et l’équilibre global de la balance des paiements internationaux sera réalisé.
居民收入增长与经济增长基本同步；|||Les revenus des habitants augmenteront au même rythme que la croissance économique.
现行标准下农村贫困人口全部脱贫、贫困县全部摘帽；|||Toutes les populations rurales démunies et tous les districts pauvres, définis selon les critères en vigueur dans notre pays, devront sortir de la pauvreté.
重大金融风险有效防控；|||Les risques financiers majeurs seront prévus et contrôlés efficacement.
单位国内生产总值能耗和主要污染物排放量继续下降，努力完成“十三五”规划目标任务。|||La consommation d’énergie par unité de PIB et le volume global des émissions de principaux polluants continueront à baisser. Nous nous efforcerons d’atteindre les objectifs fixés dans le XIIIe Plan quinquennal.
需要说明的是，我们没有提出全年经济增速具体目标，主要因为全球疫情和经贸形势不确定性很大，我国发展面临一些难以预料的影响因素。|||Il est à noter que nous n’avons pas défini d’objectif précis de la croissance économique pour 2020. Cela s’explique surtout par la forte incertitude liée à l’évolution de l’épidémie et de la conjoncture économique et commerciale dans le monde. Notre développement économique risque d’être affecté par toute une série de facteurs difficiles à prévoir.
这样做，有利于引导各方面集中精力抓好“六稳”、“六保”。|||C’est ainsi que nous parviendrons à inciter tous les secteurs à concentrer leur énergie sur les « six stabilisations » et les « six garanties ».
“六保”是今年“六稳”工作的着力点。|||C’est en nous attaquant aux « six garanties » que nous mènerons à bien le travail des « six stabilisations ».
守住“六保”底线，就能稳住经济基本盘；以保促稳、稳中求进，就能为全面建成小康社会夯实基础。|||En réalisant les « six garanties », nous réussirons à stabiliser les bases de notre économie ; en faisant progresser les « six stabilisations » grâce aux « six garanties » et en avançant à pas assurés, nous consoliderons la base de l’édification intégrale de la société de moyenne aisance.
要看到，无论是保住就业民生、实现脱贫目标，还是防范化解风险，都要有经济增长支撑，稳定经济运行事关全局。|||Nous devons être conscients que le maintien de l’emploi et du bien-être de la population, la réalisation des objectifs de lutte contre la pauvreté ainsi que la prévention et l’élimination des risques doivent tous s’appuyer sur la croissance économique, et que par conséquent, la stabilisation du fonctionnement économique touche l’ensemble de la situation nationale.
要用改革开放办法，稳就业、保民生、促消费，拉动市场、稳定增长，走出一条有效应对冲击、实现良性循环的新路子。|||Il nous faudra, en prenant appui sur la réforme et l’ouverture, stabiliser l’emploi, assurer le bien-être du peuple, stimuler la consommation, dynamiser le marché et garantir une croissance régulière, de manière à ouvrir une nouvelle voie qui nous permette de résister aux chocs et de réaliser un cercle économique vertueux.
积极的财政政策要更加积极有为。|||Notre politique budgétaire de relance sera appliquée de manière plus active et efficace.
今年赤字率拟按3.6%以上安排，财政赤字规模比去年增加1万亿元，同时发行1万亿元抗疫特别国债。|||Le taux du déficit devrait atteindre plus de 3,6 %, soit un accroissement de 1 000 milliards de yuans par rapport à l’année précédente ; en même temps, nous émettrons des emprunts d’État spéciaux pour lutter contre le COVID-19 totalisant 1 000 milliards de yuans.
