坚持以人民为中心 推进全球人权进步|||PLACER LE PEUPLE AU CŒUR DE L’ACTION ET FAIRE PROGRESSER LES DROITS DE L’HOMME DANS LE MONDE
在中国共产党领导下，我们成功开创出一条得到人民广泛拥护的中国特色社会主义道路，也成功走出了一条符合中国国情和需要的人权发展道路。|||Sous la direction du PCC, nous avons frayé avec succès la voie socialiste aux couleurs chinoises soutenue par l’ensemble du peuple chinois et la voie de développement des droits de l’homme adaptée aux réalités et aux besoins du pays.
我们实现了现行标准下农村贫困人口全部脱贫，提前10年完成2030年可持续发展议程减贫目标，圆了中华民族的千年梦想，是具有里程碑意义的人权成就。|||Nous avons sorti de la pauvreté l’ensemble de la population rurale vivant sous l’actuel seuil de pauvreté et réalisé, avec dix ans d’avance, l’objectif d’élimination de la pauvreté du Programme de développement durable à l’horizon 2030. C’est un rêve millénaire de la nation chinoise devenu réalité et un progrès historique accompli en matière de droits de l’homme.
中国的脱贫攻坚不仅体现在人民收入和生活水平的提高，更体现在确保每一个人的教育权、医疗权和住房权。|||L’éradication de la pauvreté en Chine se traduit non seulement par l’augmentation des revenus et l’amélioration du bien-être social, mais aussi et surtout par la garantie effective des droits de chacun à l’éducation, aux soins médicaux et au logement.
中国建成了世界上最大的社会保障体系。|||La Chine a mis en place le plus grand système de protection sociale du monde.
这一保障体系涵盖养老、医疗、低保、住房在内方方面面。|||Il couvre un large éventail d’aspects comme la prise en charge des personnes âgées, les soins médicaux, le minimum vital et le logement.
中国国内生产总值突破100万亿人民币，社会长期保持稳定，为推进中国人权事业奠定了坚实基础。|||Un PIB de plus de 100 000 milliards de yuans RMB et une stabilité sociale constante permettent à la cause des droits de l’homme en Chine de progresser sur des bases solides.
面对突如其来的新冠肺炎疫情，中国政府坚持人民至上、生命至上，始终把每一个人的安全和健康放在第一位，全力捍卫人的生命价值和尊严。|||Face à l’éclatement de la COVID-19, le gouvernement chinois, plaçant le peuple et la vie au-dessus de tout, a toujours donné la première priorité à la sécurité et à la santé de chaque individu et s’est totalement investi pour défendre la vie et la dignité du peuple.
我们还开展了新中国历史上规模最大的全球紧急人道行动，向有需要的各国和国际组织施以援手，践行人类卫生健康共同体理念。|||Nous avons mené la plus grande opération humanitaire d’urgence à l’échelle mondiale dans l’histoire de la Chine nouvelle pour venir en aide à différents pays et organisations internationales qui en avaient besoin. Il s’agit d’une étape concrète pour honorer notre engagement à bâtir une communauté de santé pour tous.
疫苗事关人民的健康权、生存权和发展权，是当前优先推进的工作。|||Le vaccin, qui est un enjeu pour les droits à la santé, à la survie et au développement de tous les peuples, est la priorité du moment.
疫苗应全球公平分配，尤其是确保发展中国家的可及性和可负担性。|||Il est nécessaire de promouvoir une distribution équitable des vaccins dans le monde, et surtout d’en assurer l’accessibilité et l’abordabilité pour les pays en développement.
中国是最早承诺将疫苗作为全球公共产品的国家，我们克服自身困难，正在向53个有需求的国家提供无偿援助，向22个愿意购买的国家出口疫苗，这些绝大多数都是发展中国家。|||La Chine est le premier pays à s’engager à faire des vaccins un bien public mondial. Malgré nos propres difficultés, nous sommes en train d’apporter des dons de vaccins à 53 pays qui en ont besoin et d’exporter des vaccins vers 22 pays qui en ont exprimé le souhait. La grande majorité de ces pays sont des pays en développement.
我们希望所有有能力的国家携起手来，共同为此作出应有贡献。|||Nous espérons que tous les pays qui en ont la capacité apporteront ensemble leur part de contribution.
各位同事：|||Chers Collègues,
中国支持世界各国本着相互尊重的原则加强人权交流与合作，但反对以双重标准对别国攻击抹黑，反对借人权问题干涉别国内政。|||La Chine soutient le renforcement des échanges et de la coopération en matière de droits de l’homme entre différents pays sur la base du respect mutuel, mais s’oppose au recours au « deux poids, deux mesures » pour attaquer et dénigrer d’autres pays et à l’ingérence dans les affaires intérieures d’autrui sous prétexte des droits de l’homme.
涉疆问题的本质是反暴恐、反分裂问题。|||Les questions liées au Xinjiang sont au fond des questions concernant la lutte contre le terrorisme violent et le séparatisme.
中国新疆地区认真落实联合国制定的《防止暴力极端主义行动计划》，借鉴其他国家的类似做法，依法开展去极端化工作，完全符合《联合国全球反恐战略》的原则和精神。|||La région chinoise du Xinjiang a mis en œuvre scrupuleusement le Plan d’action pour la prévention de l’extrémisme violent élaboré par les Nations Unies et fait avancer la déradicalisation conformément à la loi et en s’inspirant des pratiques similaires d’autres pays. Ces efforts s’inscrivent parfaitement dans la ligne des principes et de l’esprit de la Stratégie antiterroriste mondiale des Nations Unies.
经过各族人民的努力，新疆地区已连续4年多没有再发生暴恐案件，社会安全稳定，发展持续向好，人民安居乐业。|||Grâce aux efforts de la population multiethnique, il n’y a eu plus aucun cas de terrorisme violent dans la région du Xinjiang depuis plus de quatre ans. Les habitants vivent heureux dans une société sûre, stable et de plus en plus prospère.
2010年至2018年，新疆维吾尔族人口增加近255万，增长25%，远远高于同期全疆人口13.99%和汉族人口2%的增幅。|||Sur la période 2010-2018, la population ouïghoure au Xinjiang a augmenté de près de 2,55 millions de personnes, soit une croissance de 25% qui dépasse de loin celles de la population totale et de l’ethnie han dans la région, respectivement de 13,99% et de 2%.
新疆各族劳动者根据自己的意愿选择职业，享有各项劳动权益，人身自由从未受到任何限制。|||Les travailleurs multiethniques au Xinjiang choisissent leur métier de leur propre volonté et jouissent de tous les droits et intérêts liés au travail. Il n’y a jamais eu de restriction de la liberté individuelle.
新疆依法保障各族民众宗教信仰自由的权利，建有2.4万多座清真寺，平均每530位穆斯林就拥有一座清真寺。|||La liberté de croyance religieuse de la population multiethnique y est garantie en vertu de la loi. La région compte plus de 24 000 mosquées, soit une pour 530 musulmans en moyenne.
这些基本事实表明，新疆地区从来就不存在什么“种族灭绝”、“强迫劳动”和“宗教压迫”。|||Ces faits fondamentaux démontrent qu’il n’a jamais existé de prétendus « génocide », « travail forcé » ou « répression religieuse » dans la région.
这些耸人听闻的说法源于无知和偏见，纯属恶意的政治炒作，与事实完全相反。|||Ces allégations sensationnalistes, résultat de l’ignorance et du préjugé, sont des manœuvres politiques malintentionnées au mépris total de la réalité.
新疆地区的大门始终是敞开的，到访过新疆的各国人士都能实地了解到事实和真相，我们也欢迎联合国人权高专访问新疆。|||La porte de la région du Xinjiang est toujours ouverte. Les personnalités de différents pays qui s’y sont rendues ont tous vu sur le terrain les faits et la réalité, et nous serons heureux d’y accueillir la Haute-Commissaire des Nations Unies aux droits de l’homme.
香港国安法弥补了香港地区在维护国家安全方面长期存在的法律漏洞，开启了香港形势由乱及治的重大转折，有利于“一国两制”实践行稳致远，也保护了香港居民根据基本法所享有的合法权利和自由。|||La Loi sur la sauvegarde de la sécurité nationale à Hong Kong a comblé les lacunes juridiques qui avaient longtemps existé dans la région de Hong Kong en matière de préservation de la sécurité nationale, et marqué un tournant majeur pour mettre fin aux instabilités et rétablir l’ordre public. Elle permet une mise en œuvre solide et durable du principe d’« un pays, deux systèmes » et protège les droits et libertés légaux que la Loi fondamentale confère aux Hongkongais.
近300万香港市民自发签名力挺香港国安法，近70%香港市民认为香港在国安法实施后更安全稳定，充分说明香港国安法深得人心。|||Près de trois millions de Hongkongais ont signé une pétition pour exprimer leur soutien ferme à cette loi, et près de 70% de la population locale estime que Hong Kong est devenu plus sûr et plus stable depuis l’application de cette loi. Voilà qui démontre parfaitement la grande adhésion des Hongkongais à la Loi sur la sauvegarde de la sécurité nationale à Hong Kong.
我们对香港的未来充满信心。|||Nous sommes pleinement confiants dans l’avenir de Hong Kong.
主席女士，|||Madame la Présidente,
各位同事！|||Chers Collègues,
我们刚刚迎来了中国农历牛年。|||Nous venons d’entrer dans l’Année du Buffle du calendrier lunaire chinois.
牛象征着勤劳和力量，牛年预示着收获和希望。|||Le buffle est le symbole de la diligence et de la vigueur, et l’Année du Buffle annonce la récolte et l’espoir.
让我们携起手来，坚持以人民为中心，共同促进和保护人权，推动构建人类命运共同体！|||Travaillons main dans la main pour promouvoir et protéger les droits de l’homme en plaçant le peuple au cœur de notre action et bâtir une communauté d’avenir partagé pour l’humanité.
最后，预祝本届人权理事会取得积极成果！|||Pour terminer, je souhaite des résultats positifs à la présente session.
谢谢。|||Je vous remercie.
