携手共建人类卫生健康共同体|||BÂTIR ENSEMBLE UNE COMMUNAUTÉ DE SANTÉ POUR TOUS
实践证明，要彻底战胜疫情，必须把人民生命安全和身体健康放在突出位置，以极大的政治担当和勇气，以非常之举应对非常之事，尽最大努力做到不遗漏一个感染者、不放弃一个病患者，切实尊重每个人的生命价值和尊严。|||Comme les faits l’ont démontré, pour vaincre définitivement le virus, il nous faut mettre la vie et la santé de nos peuples au centre de nos préoccupations, faire preuve d’un sens fort des responsabilités et d’un grand courage politique et prendre des mesures exceptionnelles face aux épreuves exceptionnelles. Nous devons tout faire pour qu’aucune personne infectée ni aucun patient ne soient laissés de côté, et que la vie et la dignité de chacun soient effectivement respectées.
同时，要保证人民群众生活少受影响、社会秩序总体正常。|||Dans le même temps, nous devons travailler à minimiser les impacts sur la vie quotidienne du peuple et à maintenir l’ordre public dans son ensemble.
第二，坚持科学施策，统筹系统应对。|||Deuxièmement, nous devons adopter des mesures basées sur la science et une approche coordonnée et systématique.
面对这场新型传染性疾病，我们要坚持弘扬科学精神、秉持科学态度、遵循科学规律。|||Face à cette nouvelle maladie infectieuse, nous devons privilégier l’esprit scientifique, adopter une approche scientifique et respecter les lois scientifiques.
抗击疫情是一场总体战，要系统应对，统筹药物和非药物干预措施，统筹常态化精准防控和应急处置，统筹疫情防控和经济社会发展。|||La lutte contre la COVID-19 est un combat sur tous les fronts qui nécessite une réponse systématique associant interventions pharmaceutiques et non-pharmaceutiques, mesures ciblées régulières et gestion des urgences, contrôle sanitaire et développement économique et social.
二十国集团成员要采取负责任的宏观经济政策，加强相互协调，维护全球产业链供应链安全顺畅运转。|||Les membres du G20 sont appelés à adopter des politiques macroéconomiques responsables, à renforcer leur coordination et à préserver la sûreté et le bon fonctionnement des chaînes industrielles et d’approvisionnement mondiales.
要继续通过缓债、发展援助等方式支持发展中国家尤其是困难特别大的脆弱国家。|||Il faut continuer de prendre des mesures telles que la suspension de la dette et l’aide au développement pour soutenir les pays en développement, notamment les pays fragiles en grandes difficultés.
第三，坚持同舟共济，倡导团结合作。|||Troisièmement, nous devons rester unis et renforcer la solidarité et la coopération.
这场疫情再次昭示我们，人类荣辱与共、命运相连。|||L’épidémie que nous traversons nous rappelle combien les hommes sont interdépendants.
面对传染病大流行，我们要秉持人类卫生健康共同体理念，团结合作、共克时艰，坚决反对各种政治化、标签化、污名化的企图。|||Face à la pandémie, nous devons porter la vision d’une communauté de santé pour tous et renforcer la solidarité et la coopération pour surmonter ensemble l’épreuve. Nous devons nous opposer fermement à toute tentative de politisation, d’étiquetage et de stigmatisation.
搞政治操弄丝毫无助于本国抗疫，只会扰乱国际抗疫合作，给世界各国人民带来更大伤害。|||Les manipulations politiques n’aident en rien à la riposte sanitaire au niveau national, mais au contraire perturbent la coopération internationale contre l’épidémie et portent davantage atteinte aux peuples du monde.
第四，坚持公平合理，弥合“免疫鸿沟”。|||Quatrièmement, nous devons assurer la justice et l’équité et combler le « fossé vaccinal ».
我在一年前提出，疫苗应该成为全球公共产品。|||Il y a un an, j’ai proposé de faire du vaccin un bien public mondial.
当前，疫苗接种不平衡问题更加突出，我们要摒弃“疫苗民族主义”，解决好疫苗产能和分配问题，增强发展中国家的可及性和可负担性。|||Aujourd’hui, l’inégalité d’accès à la vaccination augmente. Il nous faut rejeter le nationalisme vaccinal, résoudre les problèmes de production et de distribution des vaccins et en renforcer l’accessibilité et l’abordabilité dans les pays en développement.
疫苗研发和生产大国要负起责任，多提供一些疫苗给有急需的发展中国家，支持本国企业同有能力的国家开展联合研究、授权生产。|||Les grands pays de la recherche et de la production de vaccins ont à assumer leurs responsabilités de fournir plus de vaccins aux pays en développement qui en ont un besoin urgent et de soutenir leurs entreprises dans la R&D conjointe et la production sous licence en partenariat avec les pays qui en ont la capacité.
多边金融机构应该为发展中国家采购疫苗提供包容性的融资支持。|||Les institutions financières multilatérales doivent soutenir par la finance inclusive les pays en développement pour faciliter leurs achats de vaccins.
世界卫生组织要加速推进“新冠肺炎疫苗实施计划”。|||L’OMS est appelée à intensifier les efforts dans le cadre de la facilité COVAX.
第五，坚持标本兼治，完善治理体系。|||Cinquièmement, nous devons combattre tant les symptômes que les causes profondes pour perfectionner le système de gouvernance.
这次疫情是对全球卫生治理体系的一次集中检验。|||Cette épidémie a mis à rude épreuve la gouvernance mondiale de la santé.
我们要加强和发挥联合国和世界卫生组织作用，完善全球疾病预防控制体系，更好预防和应对今后的疫情。|||Nous devons renforcer et valoriser le rôle de l’ONU et de l’OMS et perfectionner le système mondial de prévention et de contrôle des maladies pour améliorer la préparation et la réponse aux épidémies futures.
要坚持共商共建共享，充分听取发展中国家意见，更好反映发展中国家合理诉求。|||Il nous faut poursuivre l’esprit d’amples consultations, de contribution conjointe et de bénéfice partagé, prêter une oreille attentive aux pays en développement et mieux refléter leurs revendications légitimes.
要提高监测预警和应急反应能力、重大疫情救治能力、应急物资储备和保障能力、打击虚假信息能力、向发展中国家提供支持能力。|||Il est aussi important de renforcer nos capacités de surveillance, d’alerte et de réaction rapide, de traitement en cas de grandes épidémies, de gestion du stock du matériel d’urgence et du soutien logistique, de lutte contre la désinformation et de soutien aux pays en développement.
各位同事：|||Chers Collègues,
在这场史无前例的抗疫斗争中，中国得到很多国家支持和帮助，中国也开展了大规模的全球人道主义行动。|||Dans ce combat sans précédent contre l’épidémie, la Chine a bénéficié des soutiens et aides de nombreux pays et a engagé pour sa part une opération humanitaire internationale de grande envergure.
去年5月，我在第七十三届世界卫生大会上宣布中国支持全球抗疫合作的5项举措，正在抓紧落实。|||Les cinq mesures que j’ai annoncées à la 73e Assemblée mondiale de la Santé en mai dernier pour soutenir la coopération internationale contre la COVID-19 sont en cours de réalisation.
在产能有限、自身需求巨大的情况下，中国履行承诺，向80多个有急需的发展中国家提供疫苗援助，向43个国家出口疫苗。|||Malgré les capacités de production limitées et les demandes domestiques considérables, nous avons tenu nos promesses en offrant des vaccins à plus de 80 pays en développement dans le besoin urgent et en en exportant à 43 pays.
中国已为受疫情影响的发展中国家抗疫以及恢复经济社会发展提供了20亿美元援助，向150多个国家和13个国际组织提供了抗疫物资援助，为全球供应了2800多亿只口罩、34亿多件防护服、40多亿份检测试剂盒。|||Nous avons apporté une aide de 2 milliards de dollars US aux pays en développement touchés par l’épidémie pour les accompagner dans la riposte sanitaire et la reprise du développement économique et social. Nous avons offert du matériel médical à plus de 150 pays et 13 organisations internationales et fourni au reste du monde plus de 280 milliards de masques, plus de 3,4 milliards de combinaisons de protection et plus de 4 milliards de kits de test.
中非建立了41个对口医院合作机制，中国援建的非洲疾控中心总部大楼项目已于去年年底正式开工。|||Des partenariats entre des hôpitaux chinois et 41 hôpitaux africains ont été mis en place, et le siège du CDC africain, projet d’aide chinoise, a été officiellement mis en chantier fin 2020.
中国同联合国合作在华设立全球人道主义应急仓库和枢纽也取得了重要进展。|||D’importants progrès ont été réalisés dans le projet Chine-ONU du dépôt et hub de réponse humanitaire globale en Chine.
中国全面落实二十国集团“暂缓最贫困国家债务偿付倡议”，总额超过13亿美元，是二十国集团成员中落实缓债金额最大的国家。|||Nous avons mis intégralement en œuvre l’Initiative du G20 sur la suspension du service de la dette pour les pays les plus pauvres, avec la suspension des remboursements de plus de 1,3 milliard de dollars US, le montant le plus important parmi les membres du G20.
为继续支持全球团结抗疫，我宣布：|||Pour continuer de soutenir la solidarité mondiale contre la COVID-19, j’aimerais annoncer ce qui suit :
——中国将在未来3年内再提供30亿美元国际援助，用于支持发展中国家抗疫和恢复经济社会发展。|||La Chine accordera d’ici trois ans une aide supplémentaire de 3 milliards de dollars US pour soutenir les autres pays en développement dans la riposte sanitaire et la reprise économique et sociale.
——中国已向全球供应3亿剂疫苗，将尽己所能对外提供更多疫苗。|||En plus des 300 millions de doses déjà fournies, la Chine fournira davantage de vaccins au reste du monde au mieux de ses capacités.
——中国支持本国疫苗企业向发展中国家进行技术转让，开展合作生产。|||La Chine soutient ses entreprises de vaccins dans le transfert des technologies vers les autres pays en développement et la production conjointe avec eux.
中国已宣布支持新冠肺炎疫苗知识产权豁免，也支持世界贸易组织等国际机构早日就此作出决定。|||La Chine a annoncé son soutien à la levée des droits de propriété intellectuelle sur les vaccins contre la COVID-19 et soutient l’OMC et d’autres organisations internationales dans une prise de décision rapide sur ce sujet.
中国倡议设立疫苗合作国际论坛，由疫苗生产研发国家、企业、利益攸关方一道探讨如何推进全球疫苗公平合理分配。|||La Chine propose de créer un forum international sur la coopération en matière de vaccins, où les pays et entreprises lancés dans la production et le développement de vaccins et les autres parties prenantes pourront discuter ensemble d’une distribution juste et équitable des vaccins dans le monde.
各位同事：|||Chers Collègues,
古罗马哲人塞涅卡说过，我们是同一片大海的海浪。|||Comme le dit Sénèque le Philosophe, nous sommes des vagues de la même mer.
让我们携手并肩，坚定不移推进抗疫国际合作，共同推动构建人类卫生健康共同体，共同守护人类健康美好未来！|||Travaillons main dans la main pour promouvoir avec détermination la coopération internationale contre la COVID-19 et construire une communauté de santé pour tous, en vue d’un avenir plus sain et plus beau pour l’humanité.
