携手抗疫　共克时艰|||ŒUVRONS ENSEMBLE À COMBATTRE L’ÉPIDÉMIE DE COVID-19
中国将同各国一道，加大对相关国际和地区组织的支持力度。|||La Chine travaillera de concert avec les autres pays pour accorder des soutiens accrus aux organisations internationales et régionales concernées.
第四，加强国际宏观经济政策协调。|||Quatrièmement, renforcer la coordination internationale des politiques macroéconomiques.
疫情对全球生产和需求造成全面冲击，各国应该联手加大宏观政策对冲力度，防止世界经济陷入衰退。|||L’épidémie a eu des répercussions sur tous les aspects de la production et de la demande à l’échelle mondiale. Les différents pays doivent conjuguer leurs efforts pour atténuer ces impacts par des politiques macroéconomiques, de sorte à éviter une récession de l’économie mondiale.
要实施有力有效的财政和货币政策，促进各国货币汇率基本稳定。|||Nous devons appliquer des politiques budgétaires et monétaires fortes et efficaces pour assurer la stabilité globale des taux de change des devises.
要加强金融监管协调，维护全球金融市场稳定。|||Nous devons renforcer la coordination en matière de régulation financière pour maintenir la stabilité des marchés financiers du monde.
要共同维护全球产业链供应链稳定，中国将加大力度向国际市场供应原料药、生活必需品、防疫物资等产品。|||Nous devons préserver ensemble la stabilité des chaînes industrielle et d’approvisionnement du monde et, à cet égard, la Chine redoublera d’efforts pour offrir aux marchés internationaux davantage d’ingrédients pharmaceutiques actifs, de produits de première nécessité, de fournitures médicales et d’autres produits pour la lutte contre l’épidémie.
要保护妇女儿童，保护老年人、残疾人等弱势群体，保障人民基本生活。|||Nous devons protéger les femmes, les enfants, les personnes âgées ou en situation de handicap, et d’autres groupes vulnérables et garantir les besoins essentiels de la population.
中国将继续实施积极的财政政策和稳健的货币政策，坚定不移扩大改革开放，放宽市场准入，持续优化营商环境，积极扩大进口，扩大对外投资，为世界经济稳定作出贡献。|||La Chine continuera à appliquer une politique budgétaire de relance et une politique monétaire prudente, à accroître indéfectiblement son ouverture sur l’extérieur, à élargir l’accès au marché, à améliorer son climat d’affaires et à augmenter activement les importations et les investissements à l’étranger pour contribuer à la stabilité de l’économie mondiale.
我呼吁二十国集团成员采取共同举措，减免关税、取消壁垒、畅通贸易，发出有力信号，提振世界经济复苏士气。|||J’appelle les membres du G20 à adopter des mesures conjointes en matière de baisse des tarifs douaniers, d’élimination des barrières et de facilitation du commerce et à émettre un message fort pour restaurer la confiance dans la reprise de l’économie mondiale.
我们应该制定二十国集团行动计划，并就抗疫宏观政策协调及时作出必要的机制性沟通和安排。|||Nous devons élaborer un plan d’action du G20 et mettre en place à temps des mécanismes de communication et des arrangements institutionnels nécessaires pour la coordination de politiques macroéconomiques face à l’épidémie.
各位同事：|||Chers Collègues,
值此关键时刻，我们应该直面挑战、迅速行动。|||En ce moment crucial, à nous de relever les défis et d’agir vite.
我坚信，只要我们同舟共济、守望相助，就一定能够彻底战胜疫情，迎来人类发展更加美好的明天！|||Je suis convaincu qu’en restant unis et solidaires, nous vaincrons cette épidémie et contribuerons à un avenir plus radieux de l’humanité.
谢谢大家。|||Je vous remercie.
