政府工作报告|||﻿RAPPORT D'ACTIVITÉ DU GOUVERNEMENT
稳妥化解地方政府债务风险，及时处置一批重大金融风险隐患。|||Nous avons aplani de manière adéquate les risques d'endettement des instances locales et résolu en temps opportun une série de risques financiers majeurs.
四是坚定不移推进改革开放，发展活力和内生动力进一步增强。|||Quatrièmement, nous avons poursuivi inébranlablement la réforme et l'ouverture, si bien que la vitalité et les forces endogènes du développement se sont renforcées.
完善要素市场化配置体制机制。|||Le mécanisme d'allocation des facteurs de production selon les règles du marché a mieux fonctionné.
加强产权保护。|||La protection des droits de propriété a été renforcée.
深入推进“放管服”改革，实施优化营商环境条例。|||La réforme visant à promouvoir la décentralisation et la simplification administratives, à concilier le contrôle et le laissez-faire et à améliorer les services publics a été conduite en profondeur. Le Règlement sur l'amélioration de l'environnement des affaires a été appliqué.
出台国企改革三年行动方案。|||Le plan d'action triennal en matière de réforme des entreprises publiques a été lancé.
支持民营企业发展。完善资本市场基础制度。扎实推进农业农村、社会事业等领域改革。|||Nous avons soutenu le développement des entreprises privées, perfectionné le système fondamental du marché des capitaux, et fait progresser les réformes dans divers domaines tels que l'agriculture, les campagnes et les œuvres sociales.
共建“一带一路”稳步推进。|||La mise en œuvre commune de l'initiative « Ceinture et Route » a bien progressé.
海南自由贸易港建设等重大举措陆续推出。|||Un lot de mégaprojets dont la transformation de Hainan en port de libre-échange a été lancé.
成功举办第三届中国国际进口博览会、中国国际服务贸易交易会。|||Nous avons organisé avec succès la 3e Exposition internationale d'importation de Chine et le Salon international du commerce des services de Chine.
推动区域全面经济伙伴关系协定签署。|||Nous avons contribué à la conclusion de l'accord du Partenariat régional économique global.
完成中欧投资协定谈判。|||Les négociations sur l'accord d'investissement Chine-UE ont abouti.
维护产业链供应链稳定，对外贸易和利用外资保持增长。|||Nous avons sauvegardé la stabilité de nos chaînes industrielles et d'approvisionnement. Le commerce extérieur et l'utilisation de capitaux étrangers ont maintenu leur croissance.
五是大力促进科技创新，产业转型升级步伐加快。|||Cinquièmement, nous avons déployé de grands efforts pour favoriser l'innovation scientifique et technologique, de sorte que la conversion et la montée en gamme des industries se sont accélérées.
建设国际科技创新中心和综合性国家科学中心，成功组建首批国家实验室。|||Nous avons construit des centres internationaux d'innovation technoscientifique ainsi que des centres nationaux de recherche scientifique pluridisciplinaire. Le premier lot de laboratoires nationaux a été créé avec succès.
“天问一号”、“嫦娥五号”、“奋斗者”号等突破性成果不断涌现。|||Nous n'avons cessé de réaliser des percées : la sonde chinoise Tianwen-1, la sonde lunaire Chang'e-5, le sous-marin Fendouzhe, etc.
加强关键核心技术攻关。|||Nous avons redoublé d'efforts pour réaliser des percées dans le domaine des technologies clés et des technologies de base.
加大知识产权保护力度。|||Nous avons mieux protégé les droits de propriété intellectuelle.
支持科技成果转化应用，促进大中小企业融通创新，推广全面创新改革试验相关举措。|||Nous avons favorisé la conversion et la mise en valeur des acquis scientifiques et technologiques, encouragé l'innovation synergique entre les grandes, moyennes et petites entreprises, et généralisé les mesures concernant les expériences de réforme en faveur de l'innovation générale.
推动产业数字化智能化改造，战略性新兴产业保持快速发展势头。|||Nos industries ont été incitées à se reconvertir vers la numérisation et la production intelligente. Les industries émergentes d'importance stratégique ont maintenu un rythme de développement rapide.
六是推进新型城镇化和乡村振兴，城乡区域发展格局不断优化。|||Sixièmement, la nouvelle urbanisation et le redressement rural ont bien avancé, en sorte que la configuration de développement des zones urbaines et rurales ainsi que des différentes régions a été optimisée.
加大城镇老旧小区改造力度，因城施策促进房地产市场平稳健康发展。|||Nous avons renforcé la rénovation des quartiers urbains anciens et délabrés, et favorisé le développement sain et stable du marché immobilier grâce à des politiques différenciées dans les villes en fonction de leur situation particulière.
粮食实现增产，生猪产能加快恢复，乡村建设稳步展开，农村人居环境整治成效明显。|||La production céréalière a augmenté ; l'élevage porcin s'est remis rapidement ; le développement des régions rurales s'est poursuivi ; et l'amélioration de l'habitat rural a enregistré des progrès sensibles.
推进煤电油气产供储销体系建设，提升能源安全保障能力。|||Nous avons favorisé la construction des réseaux de production, d'offre, d'entreposage et de vente de charbon, d'électricité, de pétrole et de gaz naturel, et amélioré notre capacité à assurer la sécurité énergétique.
健全区域协调发展体制机制，在实施重大区域发展战略方面出台一批新举措。|||Les systèmes et mécanismes de développement coordonné interrégional ont été perfectionnés, et un paquet de nouvelles mesures ont été édictées dans le cadre des stratégies majeures de développement interrégional.
七是加强依法行政和社会建设，社会保持和谐稳定。|||Septièmement, nous avons renforcé l'exercice du pouvoir en vertu de la loi et l'édification sociale, si bien que l'harmonie et la stabilité de la société ont été maintenues.
提请全国人大常委会审议法律议案9件，制定修订行政法规37部。|||Nous avons soumis à l'examen du Comité permanent de l'Assemblée populaire nationale 9 propositions de loi, et élaboré ou révisé 37 règlements administratifs.
认真办理人大代表建议和政协委员提案。|||Nous avons traité avec le plus grand sérieux les propositions présentées par les députés de l'APN ou les membres du Comité national de la CCPPC.
广泛开展线上教学，秋季学期实现全面复学，1000多万高中毕业生顺利完成高考。|||Nous avons généralisé l'enseignement en ligne. Les écoles ont rouvert leurs portes pour le semestre d'automne, et plus de 10 millions de lycéens en terminale ont participé au gaokao [concours national d'admission à l'université].
全面深化教育领域综合改革。|||La réforme synthétique de l'éducation a été approfondie.
实现高职院校扩招100万人目标。|||Un million d'élèves supplémentaires ont été admis dans l'enseignement supérieur professionnel.
加大公共卫生体系建设力度。|||Le système sanitaire public a été renforcé.
提升大规模核酸检测能力，新冠肺炎患者治疗费用全部由国家承担。|||Nous avons amélioré notre capacité à effectuer des tests de dépistage de masse, et les frais médicaux des patients du COVID-19 ont été complètement assurés par l'État.
提高退休人员基本养老金，上调城乡居民基础养老金最低标准，保障养老金按时足额发放，实现企业养老保险基金省级统收统支。|||Nous avons majoré la pension de vieillesse de base des retraités, augmenté le minimum de la pension sociale de vieillesse des habitants des villes et des campagnes, et assuré le versement ponctuel et intégral des pensions de retraite. Les encaissements et les décaissements du fonds de l'assurance vieillesse de base des entreprises ont pu dès lors être centralisés au niveau provincial.
加强公共文化服务。|||Nous avons amélioré les services culturels publics.
完善城乡基层治理。|||La gouvernance à la base dans les villes comme à la campagne a été optimisée.
扎实做好信访工作。|||Nous avons veillé à mener à bien le travail concernant les doléances orales et écrites de la population.
发挥审计监督作用。|||Nous avons veillé à faire valoir le rôle des audits.
开展国务院大督查。|||Le Conseil des affaires d'État a organisé plusieurs tournées d'inspection.
做好第七次全国人口普查、国家脱贫攻坚普查。|||Nous avons mené à bien le 7e recensement démographique national et le recensement des habitants pauvres.
加强生产安全事故防范和处置。|||La prévention et le traitement des accidents du travail ont été renforcés.
严格食品药品疫苗监管。|||Un contrôle plus strict a été effectué sur les aliments, les médicaments et les vaccins.
强化社会治安综合治理，持续推进扫黑除恶专项斗争，平安中国建设取得新成效。|||Nous avons renforcé les mesures destinées au maintien de l'ordre public, et poussé constamment en avant la campagne spéciale contre les bandes mafieuses. L'édification d'une Chine sûre a enregistré de nouveaux résultats.
贯彻落实党中央全面从严治党战略部署，加强党风廉政建设和反腐败斗争。|||Nous avons mis en pratique les dispositions stratégiques du Comité central du Parti sur l'application intégrale d'une discipline rigoureuse dans les rangs du Parti, et promu énergiquement la probité et la lutte anticorruption au sein du Parti.
巩固深化“不忘初心、牢记使命”主题教育成果。|||Les résultats obtenus dans la campagne ayant pour thème « Rester fidèle à notre engagement initial et toujours garder à l'esprit notre mission » ont été consolidés.
严格落实中央八项规定精神，持续为基层减负。|||Nous avons appliqué sérieusement l'esprit des « huit recommandations » formulées par le Comité central et œuvré continuellement à alléger le fardeau des échelons de base.
中国特色大国外交卓有成效。|||Notre diplomatie de grand pays à la chinoise a enregistré des succès notables.
习近平主席等党和国家领导人通过视频方式主持中非团结抗疫特别峰会，出席联合国成立75周年系列高级别会议、世界卫生大会、二十国集团领导人峰会、亚太经合组织领导人非正式会议、中国－欧盟领导人会晤、东亚合作领导人系列会议等重大活动。|||Le président Xi Jinping et d'autres dirigeants du Parti et de l'État ont, par visioconférence, présidé le Sommet extraordinaire Chine-Afrique sur la lutte solidaire contre le COVID-19 et participé aux importants événements internationaux et régionaux tels que la série de conférences de haut niveau en commémoration du 75e anniversaire de l'ONU, l'Assemblée mondiale de la Santé, le Sommet du G20, la réunion informelle des dirigeants de l'APEC, la réunion des dirigeants Chine-UE et les réunions des dirigeants sur la coopération en Asie de l'Est.
坚持多边主义，推动构建人类命运共同体。|||En continuant à défendre le multilatéralisme, nous avons travaillé à la construction d'une communauté de destin pour l'humanité.
支持国际抗疫合作，倡导建设人类卫生健康共同体。|||Nous avons soutenu la coopération internationale contre l'épidémie et appelé à former une communauté de santé pour l'humanité.
中国为促进世界和平与发展作出了重要贡献。|||La Chine a apporté une contribution importante à la promotion de la paix et du développement du monde.
一年来的工作殊为不易。|||Le travail de l'année dernière fut extrêmement dur.
各地区各部门顾全大局、尽责担当，上亿市场主体在应对冲击中展现出坚强韧性，广大人民群众勤劳付出、共克时艰，诠释了百折不挠的民族精神，彰显了人民是真正的英雄，这是我们战胜一切困难挑战的力量源泉。|||Les différentes régions et les différents secteurs ont, en prenant en considération l'intérêt général, assumé leurs responsabilités et rempli leurs devoirs ; la centaine de millions d'acteurs du marché ont fait preuve d'une grande résilience ; les masses populaires ont travaillé avec acharnement pour vaincre les difficultés. Tous ont incarné le courage inébranlable de la nation chinoise devant les obstacles, prouvant que le peuple est le véritable héros de l'histoire. C'est là la source d'énergie qui nous permettra de surmonter à l'avenir toutes les difficultés et tous les défis.
各位代表：|||Mesdames et Messieurs les députés,
过去一年取得的成绩，是以习近平同志为核心的党中央坚强领导的结果，是习近平新时代中国特色社会主义思想科学指引的结果，是全党全军全国各族人民团结奋斗的结果。|||Les succès que nous avons obtenus l'année dernière, nous les devons à la ferme direction du Comité central du Parti rassemblé autour du camarade Xi Jinping, aux lumières de sa pensée sur le socialisme à la chinoise de la nouvelle ère, et aux efforts conjugués du Parti, de l'armée et du peuple chinois multiethnique.
我代表国务院，向全国各族人民，向各民主党派、各人民团体和各界人士，表示诚挚感谢！向香港特别行政区同胞、澳门特别行政区同胞、台湾同胞和海外侨胞，表示诚挚感谢！|||Je tiens ici à exprimer, au nom du Conseil des affaires d'État, nos sincères remerciements à toutes nos communautés ethniques, à tous les partis et groupements démocratiques, à toutes les organisations populaires et aux personnalités de tous les milieux. Je tiens également à remercier cordialement nos concitoyens des régions administratives spéciales de Hong Kong et de Macao, nos compatriotes de Taiwan et ceux résidant à l'étranger.
向关心和支持中国现代化建设的各国政府、国际组织和各国朋友，表示诚挚感谢！|||Nous remercions aussi de tout cœur les gouvernements des divers pays, les organisations internationales et nos amis partout dans le monde qui s'intéressent et apportent leur soutien à la modernisation de la Chine.
在肯定成绩的同时，我们也清醒看到面临的困难和挑战。|||Tout en nous félicitant des succès obtenus, nous sommes pleinement conscients des difficultés et défis auxquels nous sommes encore confrontés.
新冠肺炎疫情仍在全球蔓延，国际形势中不稳定不确定因素增多，世界经济形势复杂严峻。|||L'épidémie de COVID-19 continue à se propager à l'échelle mondiale, les facteurs d'incertitude et d'instabilité se multiplient à l'extérieur, et la conjoncture économique internationale reste dure et complexe.
国内疫情防控仍有薄弱环节，经济恢复基础尚不牢固，居民消费仍受制约，投资增长后劲不足，中小微企业和个体工商户困难较多，稳就业压力较大。|||À l'intérieur du pays, la prévention et le contrôle de l'épidémie présentent encore des maillons faibles ; la base du redressement économique reste à consolider ; la consommation des ménages se heurte toujours à des limites ; l'investissement manque de forces de réserve pour sa croissance ultérieure ; les PME, les microentreprises et les autoentrepreneurs connaissent de nombreuses difficultés ; la stabilisation de l'emploi reste un problème.
关键领域创新能力不强。|||La capacité d'innovation est insuffisante dans les domaines clés.
一些地方财政收支矛盾突出，防范化解金融等领域风险任务依然艰巨。|||Les budgets de certaines administrations locales souffrent d'un déséquilibre flagrant, la tâche s'avère toujours lourde pour prévenir et résorber les risques dans la finance et d'autres domaines.
生态环保任重道远。|||La protection des écosystèmes et de l'environnement s'annonce lourde et ardue.
民生领域还有不少短板。|||De nombreuses failles existent encore dans les secteurs liés au bien-être social.
政府工作存在不足，形式主义、官僚主义不同程度存在，少数干部不担当不作为不善为。|||Il faut reconnaître que le travail gouvernemental laisse encore à désirer, que le formalisme et la bureaucratie se manifestent à des degrés divers, et qu'un petit nombre de cadres font preuve d'un comportement irresponsable, d'apathie ou d'incompétence.
一些领域腐败问题仍有发生。|||La corruption existe encore dans certains domaines.
我们一定要直面问题和挑战，尽心竭力改进工作，决不辜负人民期待！|||Nous avons à affronter directement ces problèmes et défis, et à tout mettre en œuvre pour améliorer notre travail. Jamais nous ne nous permettrons de décevoir les attentes du peuple.
二、“十三五”时期发展成就和“十四五”时期主要目标任务|||SUCCÈS OBTENUS DURANT LE XIIIe PLAN QUINQUENNAL ET OBJECTIFS PRINCIPAUX POUR LE XIVe PLAN QUINQUENNAL
过去五年，我国经济社会发展取得新的历史性成就。|||Durant les cinq années écoulées, le développement économique et social de la Chine a enregistré de nouveaux succès de portée historique.
经济运行总体平稳，经济结构持续优化，国内生产总值从不到70万亿元增加到超过100万亿元。|||L'économie a progressé à un rythme régulier et connu une amélioration continue de sa structure. Notre PIB est passé de moins de 70 000 milliards de yuans à plus de 100 000 milliards de yuans.
创新型国家建设成果丰硕，在载人航天、探月工程、深海工程、超级计算、量子信息等领域取得一批重大科技成果。|||Nos efforts visant à faire de la Chine un pays innovant ont porté leurs fruits, et nous avons obtenu d'importants résultats scientifiques et technologiques dans les domaines tels que le vol spatial habité, l'exploration lunaire, l'ingénierie en mer profonde, le supercalcul et l'information quantique.
脱贫攻坚成果举世瞩目，5575万农村贫困人口实现脱贫，960多万建档立卡贫困人口通过易地扶贫搬迁摆脱了“一方水土难养一方人”的困境，区域性整体贫困得到解决，完成了消除绝对贫困的艰巨任务。|||Les résultats que nous avons obtenus dans la lutte contre la pauvreté ont impressionné le monde entier : nous avons sorti de la pauvreté 55,75 millions d'habitants des campagnes ; plus de 9,6 millions de personnes inscrites sur le registre national ont été relogées, ce qui leur a permis de quitter des régions aux conditions naturelles difficiles et de jouir d'une vie meilleure ; les régions généralement pauvres ont vu leur problème résolu une fois pour toutes, et nous avons accompli la lourde tâche d'éradication de la pauvreté absolue.
农业现代化稳步推进，粮食生产连年丰收。|||Nous avons promu à pas assurés la modernisation de l'agriculture et obtenu de bonnes récoltes céréalières pendant plusieurs années consécutives.
1亿农业转移人口和其他常住人口在城镇落户目标顺利实现，城镇棚户区住房改造超过2100万套。|||L'objectif consistant à accorder le statut de citadin à cent millions d'habitants d'origine rurale et d'autres habitants permanents a été atteint, et plus de 21 millions d'habitations rudimentaires en ville ont été rénovées.
区域重大战略扎实推进。|||Nous avons continué à mettre en œuvre nos grandes stratégies de développement régional.
污染防治力度加大，资源能源利用效率显著提升，生态环境明显改善。|||La lutte contre la pollution a été menée plus énergiquement, l'utilisation des ressources et des énergies a été sensiblement optimisée, et l'environnement écologique s'est nettement amélioré.
金融风险处置取得重要阶段性成果。|||Nous avons enregistré de premiers résultats importants dans la maîtrise des risques financiers.
全面深化改革取得重大突破，供给侧结构性改革持续推进，“放管服”改革不断深入，营商环境持续改善。|||L'approfondissement intégral de la réforme a réalisé des percées majeures ; la réforme du côté de l'offre s'est poursuivie ; la réforme visant à promouvoir la décentralisation et la simplification administratives, à concilier le contrôle et le laissez-faire et à améliorer les services publics a été sans cesse approfondie ; et l'environnement des affaires du pays a été amélioré de façon continue.
对外开放持续扩大，共建“一带一路”成果丰硕。|||L'ouverture sur l'extérieur s'est constamment élargie, et la coopération dans le cadre de l'initiative « Ceinture et Route » a remporté d'énormes succès.
人民生活水平显著提高，城镇新增就业超过6000万人，建成世界上规模最大的社会保障体系。|||Nous avons nettement amélioré la qualité de vie de la population, créé plus de 60 millions d'emplois dans les agglomérations urbaines, et mis en place le plus grand système de protection sociale du monde.
全面建立实施困难残疾人生活补贴和重度残疾人护理补贴制度。|||Le système d'allocation de subsistance pour les handicapés dans la gêne et d'allocation de soins pour les handicapés graves a été créé et appliqué dans tout le pays.
教育、卫生、文化等领域发展取得新成就，教育公平和质量较大提升，医疗卫生事业加快发展，文化事业和文化产业繁荣发展。|||De nouveaux résultats ont été obtenus dans le développement des secteurs éducatif, sanitaire et culturel : nous avons amélioré l'équité et la qualité de l'éducation, développé de façon accélérée le secteur médical et sanitaire, et fait prospérer la culture et l'industrie culturelle.
